event,px,py,pz,E,pT,eta,phi
1,-3.0052064579,8.4064950566,0.20568834191,8.929878649,8.927509450638745,0.02303779678597294,1.9141247883967076
2,3.8237409217,0.28303873714,-11.561352809,12.180557636,3.8342020764436726,-1.8232805099775569,0.07388667186081516
3,-182.65761408,86.315009449,-383.65145118,433.59257469,202.02496092705766,-1.397546476830169,2.7001445056516524
4,14.903158138,14.894335183,-47.777431706,52.217126725,21.070010513281368,-1.557265042035818,0.7851020661839309
5,3.0739358117,-12.550017071,-53.837733038,55.366537805,12.920991055520592,-2.1343669703349115,-1.3305905711615194
6,2.7833459007,-5.0412063056,15.326421443,16.372537057,5.75853934766141,1.7055999683645495,-1.0663276825823893
7,-3.744450047,-2.1607231571,-24.799656669,25.173648953,4.3231505544112725,-2.447504543850166,-2.618221461764531
8,2.505950839,-9.2504324543,18.843750434,21.140889778,9.583855706293345,1.428415400103916,-1.3062449595949035
9,0.41873576391,0.28285807611,1.2990758796,1.3938961482,0.5053200284947568,1.6732087574282106,0.5940964727014593
10,-3.8589823191,-2.940420454,11.721505901,12.685878667,4.851578813688177,1.6155815521988721,-2.490476017915004
11,1.1586893861,30.403163397,73.223676554,79.293137873,30.425234685013383,1.6120024961039576,1.5327039452253692
12,1.2607464092,-0.12783150382,6.2032105019,6.3313223684,1.2672104804173523,2.2916694523093013,-0.10104817428733669
13,-16.456292381,-84.782835986,146.49857762,170.06108338,86.36514827613009,1.2989275082012495,-1.7625117892331994
14,0.83847036161,-0.42215452333,5.1235705788,5.2088599966,0.9387475639736083,2.3984962192108616,-0.46642912641976686
15,-36.707909326,-6.6030560513,-3.0323651505,37.420130875,37.29706364182638,-0.08121374723112906,-2.9636149669527567
16,-0.74239297053,0.93458488681,6.6472704244,6.7535768544,1.1935645074088026,2.4183737204447904,2.2420862251717963
17,-65.317634958,49.075906106,101.71415778,130.46305182,81.69968174131078,1.0444508081618744,2.4972329867565946
18,1.2140016763,0.024824397758,0.26753718376,1.2433794535,1.214255459441405,0.21858541284081576,0.02044555547859771
19,-1.5064412239,-31.429336181,-64.031631863,71.345093853,31.4654181275155,-1.4591723473704192,-1.6186907263829338
20,0.16560403116,-0.57372457545,2.8419032334,2.9039625637,0.5971470368441302,2.26407250745289,-1.2897871486997934
21,0.95436391273,-5.6915163987,-1.8679344945,6.0657521108,5.770976468033147,-0.31827652300784814,-1.4046600810854761
22,-4.3771187495,-4.5491214985,16.202690761,17.389101842,6.31297671113551,1.6716744590005514,-2.336927535648129
