event,particle,charge,x,y,z,px,py,pz,E,photon_pT,weight,eta
1.0,positron,1,-7.910644301317116,22.128526989793947,0.5414361151462161,-1.5026032289500015,4.2032475283,0.1028441709549994,4.464939324482522,8.927509450638745,0.01,0.023037796785972894
1.0,electron,-1,-7.910644301317116,22.128526989793947,0.5414361151462161,-1.5026032289500015,4.2032475283,0.1028441709549994,4.464939324482522,8.927509450638745,0.01,0.023037796785972894
3.0,positron,1,-21.24714644756109,10.040356957593312,-44.62720379381841,-91.32880704000002,43.157504724500015,-191.8257255900001,216.79628734718872,202.0249609270577,0.01,-1.3975464768301689
3.0,electron,-1,-21.24714644756109,10.040356957593312,-44.62720379381841,-91.32880704000002,43.157504724500015,-191.8257255900001,216.79628734718872,202.0249609270577,0.01,-1.3975464768301689
4.0,positron,1,16.621928879543656,16.61208837935172,-53.28756928636883,7.451579069000001,7.4471675915,-23.88871585300001,26.10856336267511,21.070010513281368,0.01,-1.557265042035818
4.0,electron,-1,16.621928879543656,16.61208837935172,-53.28756928636883,7.451579069000001,7.4471675915,-23.88871585300001,26.10856336267511,21.070010513281368,0.01,-1.557265042035818
6.0,positron,1,11.35854506108619,-20.57263848161617,62.545531456126646,1.39167295035,-2.5206031528,7.663210721499994,8.186268528258381,5.75853934766141,0.01,1.7055999683645495
6.0,electron,-1,11.35854506108619,-20.57263848161617,62.545531456126646,1.39167295035,-2.5206031528,7.663210721499994,8.186268528258381,5.75853934766141,0.01,1.7055999683645495
8.0,positron,1,6.14469233690876,-22.682432763809416,46.20563463911627,1.2529754194999998,-4.625216227149999,9.421875216999997,10.570444889146415,9.583855706293344,0.01,1.428415400103916
8.0,electron,-1,6.14469233690876,-22.682432763809416,46.20563463911627,1.2529754194999998,-4.625216227149999,9.421875216999997,10.570444889146415,9.583855706293344,0.01,1.428415400103916
9.0,positron,1,19.47338299888326,13.154366369339291,60.41376048667102,0.209367881955,0.141429038055,0.6495379398000002,0.6969480741340162,0.5053200284947568,0.01,1.6732087574282106
9.0,electron,-1,19.47338299888326,13.154366369339291,60.41376048667102,0.209367881955,0.141429038055,0.6495379398000002,0.6969480741340162,0.5053200284947568,0.01,1.6732087574282106
10.0,positron,1,-18.69207694678473,-14.24276164988654,56.77644314389656,-1.92949115955,-1.470210227,5.8607529504999984,6.342939333869704,4.851578813688177,0.01,1.615581552198872
10.0,electron,-1,-18.69207694678473,-14.24276164988654,56.77644314389656,-1.92949115955,-1.470210227,5.8607529504999984,6.342939333869704,4.851578813688177,0.01,1.615581552198872
11.0,positron,1,0.8949544960046717,23.48295246450244,56.55688170801841,0.5793446930500001,15.2015816985,36.61183827700001,39.64656893642548,30.425234685013383,0.01,1.6120024961039576
11.0,electron,-1,0.8949544960046717,23.48295246450244,56.55688170801841,0.5793446930500001,15.2015816985,36.61183827700001,39.64656893642548,30.425234685013383,0.01,1.6120024961039576
13.0,positron,1,-4.477765379584068,-23.06945203522178,39.86233617133165,-8.228146190499999,-42.391417993,73.24928881000002,85.03054169156093,86.36514827613009,0.01,1.2989275082012497
13.0,electron,-1,-4.477765379584068,-23.06945203522178,39.86233617133165,-8.228146190499999,-42.391417993,73.24928881000002,85.03054169156093,86.36514827613009,0.01,1.2989275082012497
15.0,positron,1,-23.128787763163388,-4.160429858385265,-1.910621750845702,-18.353954663,-3.301528025649998,-1.5161825752499976,18.710065437542,37.29706364182638,0.01,-0.081213747231129
15.0,electron,-1,-23.128787763163388,-4.160429858385265,-1.910621750845702,-18.353954663,-3.301528025649998,-1.5161825752499976,18.710065437542,37.29706364182638,0.01,-0.081213747231129
17.0,positron,1,-18.787887404178925,14.11613569245829,29.25694025832873,-32.65881747899999,24.537953053,50.85707888999999,65.23152590873181,81.69968174131078,0.01,1.0444508081618744
17.0,electron,-1,-18.787887404178925,14.11613569245829,29.25694025832873,-32.65881747899999,24.537953053,50.85707888999999,65.23152590873181,81.69968174131078,0.01,1.0444508081618744
18.0,positron,1,23.49508842741728,0.4804370800040458,5.17776038763068,0.60700083815,0.0124121988789999,0.1337685918799999,0.6216897267684036,1.214255459441405,0.01,0.21858541284081562
18.0,electron,-1,23.49508842741728,0.4804370800040458,5.17776038763068,0.60700083815,0.0124121988789999,0.1337685918799999,0.6216897267684036,1.214255459441405,0.01,0.21858541284081562
19.0,positron,1,-1.1250881401983543,-23.47305213807495,-47.82213103548911,-0.7532206119499999,-15.7146680905,-32.01581593150001,35.67254692679702,31.4654181275155,0.01,-1.4591723473704192
19.0,electron,-1,-1.1250881401983543,-23.47305213807495,-47.82213103548911,-0.7532206119499999,-15.7146680905,-32.01581593150001,35.67254692679702,31.4654181275155,0.01,-1.4591723473704192
21.0,positron,1,3.886266401082509,-23.176430559079137,-7.606418231629126,0.4771819563650004,-2.84575819935,-0.9339672472499996,3.0328760554272285,5.770976468033147,0.01,-0.31827652300784803
21.0,electron,-1,3.886266401082509,-23.176430559079137,-7.606418231629126,0.4771819563650004,-2.84575819935,-0.9339672472499996,3.0328760554272285,5.770976468033147,0.01,-0.31827652300784803
22.0,positron,1,-16.293785850945778,-16.934064563580687,60.31437312478421,-2.18855937475,-2.27456074925,8.101345380500005,8.69455092071946,6.31297671113551,0.01,1.6716744590005514
22.0,electron,-1,-16.293785850945778,-16.934064563580687,60.31437312478421,-2.18855937475,-2.27456074925,8.101345380500005,8.69455092071946,6.31297671113551,0.01,1.6716744590005514
23.0,positron,1,-19.119158166984867,13.664105934374772,1.0629198929382058,-1.45048885815,1.0366373478,0.0806391917649999,1.7846673633256205,3.5656892284500112,0.01,0.045215225707175954
23.0,electron,-1,-19.119158166984867,13.664105934374772,1.0629198929382058,-1.45048885815,1.0366373478,0.0806391917649999,1.7846673633256205,3.5656892284500112,0.01,0.045215225707175954
24.0,positron,1,23.22046402172131,-3.613869202938392,7.571655591880383,0.6825733755000001,-0.106230904695,0.222571371125,0.7257612784505968,1.3815808598178858,0.01,0.3168688443405837
24.0,electron,-1,23.22046402172131,-3.613869202938392,7.571655591880383,0.6825733755000001,-0.106230904695,0.222571371125,0.7257612784505968,1.3815808598178858,0.01,0.3168688443405837
25.0,positron,1,18.795005108493594,14.10665739896237,-10.637540096230133,99.483900485,74.66799252,-56.305596845,136.53818439816692,248.7758474022441,0.01,-0.43847533829885965
25.0,electron,-1,18.795005108493594,14.10665739896237,-10.637540096230133,99.483900485,74.66799252,-56.305596845,136.53818439816692,248.7758474022441,0.01,-0.43847533829885965
26.0,positron,1,-13.582324363362178,-19.177342487644587,-15.367190569840735,-4.903779747150001,-6.9238122415,-5.548190123500001,10.137487134916954,16.968940068737798,0.01,-0.6145105818270348
26.0,electron,-1,-13.582324363362178,-19.177342487644587,-15.367190569840735,-4.903779747150001,-6.9238122415,-5.548190123500001,10.137487134916954,16.968940068737798,0.01,-0.6145105818270348
30.0,positron,1,-23.36257122963453,-2.537767826309784,9.403131470560751,-19.0735309685,-2.0718692625999884,7.676848474500001,20.66461294938931,38.37145948997172,0.01,0.3901590402226395
30.0,electron,-1,-23.36257122963453,-2.537767826309784,9.403131470560751,-19.0735309685,-2.0718692625999884,7.676848474500001,20.66461294938931,38.37145948997172,0.01,0.3901590402226395
31.0,positron,1,-23.39531514117563,2.215678100509731,35.605065768951775,-9.6363282615,0.9126186747000004,14.665419099999996,17.571744722350125,19.35889410155392,0.01,1.203115166194701
31.0,electron,-1,-23.39531514117563,2.215678100509731,35.605065768951775,-9.6363282615,0.9126186747000004,14.665419099999996,17.571744722350125,19.35889410155392,0.01,1.203115166194701
32.0,positron,1,18.23763482141176,14.820211743454593,-7.681557296782209,1.01151667235,0.8219756241999999,-0.4260433631549999,1.3712486472224574,2.606768041250312,0.01,-0.3213171183405768
32.0,electron,-1,18.23763482141176,14.820211743454593,-7.681557296782209,1.01151667235,0.8219756241999999,-0.4260433631549999,1.3712486472224574,2.606768041250312,0.01,-0.3213171183405768
33.0,positron,1,22.98987462915417,-4.869873153971619,-8.631900899884275,6.711032355,-1.4215769693499998,-2.5197599882,7.308079552644241,13.719888680254396,0.01,-0.35951979976942905
33.0,electron,-1,22.98987462915417,-4.869873153971619,-8.631900899884275,6.711032355,-1.4215769693499998,-2.5197599882,7.308079552644241,13.719888680254396,0.01,-0.35951979976942905
34.0,positron,1,9.809422851788533,-21.35474709086504,-38.06299268313197,0.67799380785,-1.4759671914,-2.63078406725,3.09179228960624,3.248479492668622,0.01,-1.2593792581276249
34.0,electron,-1,9.809422851788533,-21.35474709086504,-38.06299268313197,0.67799380785,-1.4759671914,-2.63078406725,3.09179228960624,3.248479492668622,0.01,-1.2593792581276249
35.0,positron,1,-9.619239491421109,21.441087463248792,-9.978477297728867,-1.84842531655,4.120102105449999,-1.9174561641999996,4.90597142794626,9.031482161903767,0.01,-0.4127926141674531
35.0,electron,-1,-9.619239491421109,21.441087463248792,-9.978477297728867,-1.84842531655,4.120102105449999,-1.9174561641999996,4.90597142794626,9.031482161903767,0.01,-0.4127926141674531
38.0,positron,1,-20.251940543559314,-11.920943931591086,-1.7626385191235847,-0.41547754772,-0.24456345507,-0.036161311449,0.4834671826100634,0.9642258578055264,0.01,-0.07493574280590196
38.0,electron,-1,-20.251940543559314,-11.920943931591086,-1.7626385191235847,-0.41547754772,-0.24456345507,-0.036161311449,0.4834671826100634,0.9642258578055264,0.01,-0.07493574280590196
40.0,positron,1,-14.441888358256213,-18.538658544988188,30.62574715978148,-35.576592056,-45.66870176249998,75.44440768999999,95.09565118703452,115.78124585598847,0.01,1.0804147999739178
40.0,electron,-1,-14.441888358256213,-18.538658544988188,30.62574715978148,-35.576592056,-45.66870176249998,75.44440768999999,95.09565118703452,115.78124585598847,0.01,1.0804147999739178
41.0,positron,1,-10.827118652624003,20.857217016706745,-34.97570725015279,-12.389325885999998,23.866632202500004,-40.02223020899999,48.21711770213055,53.78146627227338,0.01,-1.1882712507955506
41.0,electron,-1,-10.827118652624003,20.857217016706745,-34.97570725015279,-12.389325885999998,23.866632202500004,-40.02223020899999,48.21711770213055,53.78146627227338,0.01,-1.1882712507955506
45.0,positron,1,15.292798549553153,-17.843214747426682,-13.575877720003549,2.6218521846,-3.0591046769000005,-2.3274971250500003,4.652899436828531,8.057848423027886,0.01,-0.5496063338944749
45.0,electron,-1,15.292798549553153,-17.843214747426682,-13.575877720003549,2.6218521846,-3.0591046769000005,-2.3274971250500003,4.652899436828531,8.057848423027886,0.01,-0.5496063338944749
46.0,positron,1,15.610578638972616,-17.565871300805203,31.535085541034743,8.365364477999998,-9.413162651000002,16.898956182,21.07514351042767,25.18626244157442,0.01,1.1037528161923846
46.0,electron,-1,15.610578638972616,-17.565871300805203,31.535085541034743,8.365364477999998,-9.413162651000002,16.898956182,21.07514351042767,25.18626244157442,0.01,1.1037528161923846
48.0,positron,1,19.058635600211787,-13.748396599543526,-32.26288312905166,43.905973387,-31.6726101425,-74.32501034000002,91.95159538768132,108.27536621593568,0.01,-1.1221222123729937
48.0,electron,-1,19.058635600211787,-13.748396599543526,-32.26288312905166,43.905973387,-31.6726101425,-74.32501034000002,91.95159538768132,108.27536621593568,0.01,-1.1221222123729937
49.0,positron,1,19.529215382630333,-13.07133300542966,-46.47399088051211,2.47232406465,-1.6547808252000002,-5.883429712,6.592831791888938,5.950020457140325,0.01,-1.4335802819147416
49.0,electron,-1,19.529215382630333,-13.07133300542966,-46.47399088051211,2.47232406465,-1.6547808252000002,-5.883429712,6.592831791888938,5.950020457140325,0.01,-1.4335802819147416
50.0,positron,1,-23.390158610340222,2.2694669380995127,42.63535607966889,-5.900344523999999,0.5724902102499991,10.755091231499998,12.280626935975908,11.856105691622163,0.01,1.357350172566579
50.0,electron,-1,-23.390158610340222,2.2694669380995127,42.63535607966889,-5.900344523999999,0.5724902102499991,10.755091231499998,12.280626935975908,11.856105691622163,0.01,1.357350172566579
