event,particle,charge,x,y,z,px,py,pz,E,photon_pT,weight
1.0,positron,1,-7.076440115663442,22.409239060919255,-2.5288199098295787,-1.3714188954853987,4.342925733741316,-0.49008701422393397,4.5806090203375645,9.108631887542044,0.01
1.0,electron,-1,-7.076440115663442,22.409239060919255,-2.5288199098295787,-1.3714188954853987,4.342925733741316,-0.49008701422393397,4.5806090203375645,9.108631887542044,0.01
2.0,positron,1,-0.4527287762957933,23.495638673062576,-94.02160362682551,-0.042247090082772686,2.192532075594453,-8.773772214457209,9.043675170543905,4.385878119205312,0.01
2.0,electron,-1,-0.4527287762957933,23.495638673062576,-94.02160362682551,-0.042247090082772686,2.192532075594453,-8.773772214457209,9.043675170543905,4.385878119205312,0.01
3.0,positron,1,-20.74253153151437,11.04524267112914,-44.066168103707284,-90.27700482856221,48.0718288623167,-191.78766413494654,217.35534602425398,204.55647954522595,0.01
3.0,electron,-1,-20.74253153151437,11.04524267112914,-44.066168103707284,-90.27700482856221,48.0718288623167,-191.78766413494654,217.35534602425398,204.55647954522595,0.01
4.0,positron,1,13.534196959924166,19.211338127521973,-68.21680550564697,4.889384752537455,6.940317478361399,-24.64410778812785,26.065420361691046,16.979292088752636,0.01
4.0,electron,-1,13.534196959924166,19.211338127521973,-68.21680550564697,4.889384752537455,6.940317478361399,-24.64410778812785,26.065420361691046,16.979292088752636,0.01
5.0,positron,1,5.647861215779149,-22.811217935202357,-95.61334052214397,1.5972439861649457,-6.451128891465427,-27.03994083981177,27.844688056183358,13.291839951735806,0.01
5.0,electron,-1,5.647861215779149,-22.811217935202357,-95.61334052214397,1.5972439861649457,-6.451128891465427,-27.03994083981177,27.844688056183358,13.291839951735806,0.01
6.0,positron,1,12.525813454250526,-19.88351068874198,36.579729764662254,1.1952672793673502,-1.8973705629584823,3.4905959788953957,4.148847937703709,4.484943220290583,0.01
6.0,electron,-1,12.525813454250526,-19.88351068874198,36.579729764662254,1.1952672793673502,-1.8973705629584823,3.4905959788953957,4.148847937703709,4.484943220290583,0.01
7.0,positron,1,-19.830944620197442,-12.608871300424246,-127.76027438072407,-1.892099029157074,-1.2030305970397934,-12.189792052286142,12.394287056201717,4.4843377899311125,0.01
7.0,electron,-1,-19.830944620197442,-12.608871300424246,-127.76027438072407,-1.892099029157074,-1.2030305970397934,-12.189792052286142,12.394287056201717,4.4843377899311125,0.01
8.0,positron,1,-2.1441142855043984,-23.401982264985506,65.3983212892299,-0.3330502370356399,-3.6350840965661178,10.158472687003732,10.794411803433212,7.300618836645946,0.01
8.0,electron,-1,-2.1441142855043984,-23.401982264985506,65.3983212892299,-0.3330502370356399,-3.6350840965661178,10.158472687003732,10.794411803433212,7.300618836645946,0.01
10.0,positron,1,-18.170458130207237,-14.90249815763739,44.71177117961425,-2.3361181997187037,-1.915966945789611,5.748450679991952,6.494079057165479,6.042641005525755,0.01
10.0,electron,-1,-18.170458130207237,-14.90249815763739,44.71177117961425,-2.3361181997187037,-1.915966945789611,5.748450679991952,6.494079057165479,6.042641005525755,0.01
11.0,positron,1,4.805737679495199,23.003366826529554,19.181672128056714,1.712401597502241,8.196660893446216,6.834897821201675,10.808949868490746,16.747246822481447,0.01
11.0,electron,-1,4.805737679495199,23.003366826529554,19.181672128056714,1.712401597502241,8.196660893446216,6.834897821201675,10.808949868490746,16.747246822481447,0.01
12.0,positron,1,23.453210699775532,-1.4821969747420347,117.61031886419005,0.6378227367193395,-0.04030914755718877,3.198476166212493,3.261700853340524,1.2781903940382828,0.01
12.0,electron,-1,23.453210699775532,-1.4821969747420347,117.61031886419005,0.6378227367193395,-0.04030914755718877,3.198476166212493,3.261700853340524,1.2781903940382828,0.01
13.0,positron,1,-5.141212624751082,-22.93072028408833,40.592478820068635,-9.205060912262566,-41.056204515040356,72.67862027716679,83.97932436601216,84.1509376199525,0.01
13.0,electron,-1,-5.141212624751082,-22.93072028408833,40.592478820068635,-9.205060912262566,-41.056204515040356,72.67862027716679,83.97932436601216,84.1509376199525,0.01
15.0,positron,1,-23.36373426942184,-2.5270379870202895,2.533086481102763,-23.997828301672982,-2.5956220450464365,2.601834695849645,24.277614396431844,48.27558459500238,0.01
15.0,electron,-1,-23.36373426942184,-2.5270379870202895,2.533086481102763,-23.997828301672982,-2.5956220450464365,2.601834695849645,24.277614396431844,48.27558459500238,0.01
17.0,positron,1,-20.543934451823176,11.410379364385426,23.28141754716145,-31.08845266903616,17.266947557553294,35.230994782441215,50.05858927966905,71.12353667556745,0.01
17.0,electron,-1,-20.543934451823176,11.410379364385426,23.28141754716145,-31.08845266903616,17.266947557553294,35.230994782441215,50.05858927966905,71.12353667556745,0.01
18.0,positron,1,23.376614175859054,-2.4049760233785102,3.7878347852913947,0.5326433775075075,-0.054798121844342296,0.08630698604597603,0.5423658337327424,1.070909523275001,0.01
18.0,electron,-1,23.376614175859054,-2.4049760233785102,3.7878347852913947,0.5326433775075075,-0.054798121844342296,0.08630698604597603,0.5423658337327424,1.070909523275001,0.01
