hit_id,trajectory_step,x,y,z,r,phi,volume_id,layer_id,module_id,module_index,local_u_mm,local_v_mm,distance_to_module,event,particle,charge
0,33,-18.852120946026915,25.31599212049561,157.22783313847916,31.56425068346503,2.2108790517115358,8,2,158,913,1.6260477862435427,-17.77216686150307,0.0,53.0,positron,1
1,243,-43.21149365962747,58.70257585639542,363.0951705459284,72.89187606634833,2.2053477510696893,8,4,412,1391,-3.875493496726163,-21.904829454049697,0.0,53.0,positron,1
2,483,-70.38359369992233,97.24509641272945,598.0,120.04357141653523,2.1973012641856973,9,2,92,3339,-3.1097386485592313,-19.99700229624625,0.0,53.0,positron,1
3,487,-70.84048831843094,97.90546578253705,602.0,120.84641084984395,2.197160061212684,9,2,94,3341,8.046477743528557,-19.421998534090868,0.0,53.0,positron,1
4,585,-81.74740543611166,113.79463434534941,698.0,140.11372916787204,2.1937494216930884,9,4,92,3447,-3.132109584389651,0.07842852102901232,0.0,53.0,positron,1
5,707,-95.22234646351268,133.76407436798686,818.0,164.1953801345871,2.1894429749973647,9,6,92,3555,-2.963445944998451,24.1683459780324,0.0,53.0,positron,1
6,1113,-138.58583369367813,200.7506583322714,1215.5,243.9402798256413,2.175008337422041,14,2,143,10962,-5.472290176381421,-74.12108848817168,0.0,53.0,positron,1
7,1116,-138.90561187126082,201.26101569878983,1218.5,244.54195028550393,2.174898828222541,14,2,147,10966,22.95990473999189,-74.53792706353683,0.0,53.0,positron,1
8,1398,-167.94301623319058,248.68562923416795,1495.5,300.0823201874708,2.1647675571761695,14,4,143,11132,-3.659166284153587,-17.93996902825849,0.0,53.0,positron,1
9,1704,-198.29108528265843,300.7055666414058,1795.5,360.19882330693906,2.153764797831376,14,6,143,11302,-0.4291905612889444,42.19859131123305,0.0,53.0,positron,1
10,2068,-232.7996100318533,363.2887026511443,2151.5,431.47924620418826,2.140685062601193,14,8,145,11474,20.362678250411335,-39.00209480672476,0.0,53.0,positron,1
11,2071,-233.0834105449336,363.81990881938043,2154.5,432.07962498201687,2.1405747654674716,14,8,142,11471,-28.013398808695907,-38.82949027284704,0.0,53.0,positron,1
12,2476,-269.59708578001874,434.66013814266074,2551.5,511.4802287002653,2.125971180553893,14,10,145,11644,31.652672807480965,40.49930171210978,0.0,53.0,positron,1
13,2479,-269.8650884891995,435.19948707623894,2554.5,512.0798370729948,2.1258607768109368,14,10,142,11641,-25.677910374409887,41.43558007710719,0.0,53.0,positron,1
14,2881,-304.0204858897505,506.5393151946531,2948.5,590.7711347709095,2.1113564708659647,14,12,144,11813,20.907707037419463,-31.598615722643125,0.0,53.0,positron,1
0,33,-18.86397778571141,25.305401537217286,157.22081695839154,31.562842154337314,2.211380751981687,8,2,158,913,1.6419457452785398,-17.77918304159068,0.0,53.0,electron,-1
1,242,-43.790291025530216,58.07321723729374,362.3036830959786,72.73299215892705,2.216886393952394,8,4,412,1391,-3.020450420494289,-22.69631690399869,0.0,53.0,electron,-1
2,483,-73.04587710244365,95.26152883914641,598.0,120.04357141653536,2.2249586364115594,9,2,92,3339,-6.4271019888826935,-20.12888748330897,0.0,53.0,electron,-1
3,487,-73.5479410817328,95.88824421130715,602.0,120.8464108498441,2.2250998393845722,9,2,94,3341,4.674846824099241,-19.244267624928987,0.0,53.0,electron,-1
4,585,-85.65284666910983,110.88483646922063,698.0,140.1137291678722,2.2285104789041683,9,4,92,3447,-7.99852146295451,-0.11504068179466032,0.0,53.0,electron,-1
5,589,-86.15952071556532,111.50783069678441,702.0,140.9164976737595,2.2286533674645197,9,4,94,3449,4.950855745141274,0.8292781981811408,0.0,53.0,electron,-1
6,711,-101.44501631601611,130.12787888953224,822.0,164.99804907830136,2.232961077445023,9,6,94,3557,5.086566180777103,24.919403833556125,0.0,53.0,electron,-1
