hit_id,trajectory_step,x,y,z,r,phi,volume_id,layer_id,module_id,module_index,local_u_mm,local_v_mm,distance_to_module,event,particle,charge
0,9,29.611468835939622,10.565632355097431,31.34749898215751,31.43996936520303,0.3427276320231503,8,2,121,876,4.631006596194565,-3.6525010178388366,0.0,5.0,positron,1
1,12,31.970827153514325,11.40160476201608,33.84321916949606,33.94304612183645,0.3425648257459173,8,2,122,877,-8.3637980946848,-1.1567808305027838,0.0,5.0,positron,1
2,66,67.8064170731588,23.844158386403713,71.66610747229056,71.87665883619708,0.3381444133250745,8,4,274,1253,3.1651993631432407,-33.3338925276761,0.0,5.0,positron,1
3,128,109.50010633023722,37.724003210999435,115.48050608254508,115.81612022769866,0.33177659593526865,8,6,445,1872,3.473198043361244,10.480506082534594,0.0,5.0,positron,1
4,206,162.03807475651305,54.31294520548584,170.41388560591506,170.89831388194392,0.32341731002384805,8,8,745,2900,7.15681911865357,-4.586114394080358,0.0,5.0,positron,1
5,208,163.89801815138733,54.881997098895994,172.35321211669225,172.8426855829188,0.3231190239376389,8,8,746,2901,-6.8707273285686545,-2.646787883305105,0.0,5.0,positron,1
6,326,243.95158223720233,78.20875021335193,255.49323913525924,256.181543218806,0.3102392102541598,13,2,543,5566,-21.340372546565042,-53.506760864687244,0.0,5.0,positron,1
7,330,246.8109456364749,79.00014000030481,258.45137261903704,259.14603027258346,0.309778791951296,13,2,503,5526,-21.708058541006068,52.451372618984585,0.0,5.0,positron,1
8,335,249.68877912980503,79.79374896757702,261.4278461298358,262.12884007226916,0.3093154026787844,13,2,542,5565,19.519651548575336,-47.57215387011661,0.0,5.0,positron,1
9,472,343.84223347918913,104.17343355120201,358.40416817947613,359.2764754082904,0.29417813971511103,13,4,759,6622,4.970194766551381,49.40416817942672,0.0,5.0,positron,1
10,476,346.74203789536097,104.87589500313761,361.37906765604134,362.25542673166,0.2937129323489756,13,4,815,6678,4.841058179198003,-50.62093234390803,0.0,5.0,positron,1
11,668,479.4430272174313,133.98122001531962,496.84504506504163,497.81179542494573,0.2725002909904678,13,6,1213,8252,-4.751072144956408,-18.15495493494021,0.0,5.0,positron,1
12,896,638.7815898698016,161.21733919891423,658.0363927181425,658.8117713087473,0.24721982161365166,13,8,1688,10365,-19.972014395229117,40.03639271810241,0.0,5.0,positron,1
13,905,644.8335628386606,162.08875881934787,664.1327981576966,664.8932918136545,0.246263204216947,13,8,1687,10364,20.616101554891898,46.13279815765045,0.0,5.0,positron,1
14,1126,799.778695397155,180.39548880469607,819.7122391816955,819.871022778742,0.22184430839221556,17,2,2225,14652,-11.421348823261221,-4.287760818300203,0.0,5.0,positron,1
15,1414,1003.7373332914773,192.88056021772096,1023.4864440212966,1022.1015334852932,0.18984815930511195,17,4,3121,18068,3.9621295924600686,-6.513555978696866,0.0,5.0,positron,1
0,9,29.60717507404834,10.577913073783984,31.347584404220914,31.44005503910385,0.34314141760368594,8,2,121,876,4.644016301903648,-3.6524155957754334,0.0,5.0,electron,-1
1,12,31.95280003314458,11.421787283656286,33.83305808531571,33.93285509224381,0.3433034970123145,8,2,122,877,-8.336736844739884,-1.16694191468312,0.0,5.0,electron,-1
2,66,67.51570819341897,24.470539520725385,71.60312693902966,71.8134956487587,0.3477158700456952,8,4,274,1253,3.8557534726761107,-33.39687306093693,0.0,5.0,electron,-1
3,127,108.39210225890132,40.06492491335819,115.22480934942703,115.55970768575503,0.3540540452073051,8,6,445,1872,6.063099091404919,10.224809349416807,0.0,5.0,electron,-1
4,130,110.35071033863251,40.82830095256935,117.32074172423248,117.66150360638075,0.3543682667596201,8,6,446,1873,-8.137800489910568,12.320741724220154,0.0,5.0,electron,-1
5,207,160.5814417092228,60.9171537819169,171.2611432482434,171.74777741299079,0.3625820827211153,8,8,746,2901,0.0156937655293478,-3.738856751752861,0.0,5.0,electron,-1
6,329,239.87627596187843,94.66939390668539,257.1896496503382,257.8816044466887,0.37589383017015604,13,2,543,5566,-4.382751485932819,-51.81035034960999,0.0,5.0,electron,-1
7,471,331.310209883369,136.79127955577658,357.56755689072094,358.4387107100301,0.39156007253416675,13,4,760,6623,-0.41281893776371875,48.567556890672364,0.0,5.0,electron,-1
8,475,334.0405997342969,138.10330874746128,360.58791254856385,361.4632016649072,0.3920323943333461,13,4,816,6679,-0.24383740051085973,-51.412087451384735,0.0,5.0,electron,-1
9,666,454.7040324841502,199.3391591402387,495.51260407753085,496.4794633457506,0.4131599039971696,13,6,1215,8254,-15.003458328591016,-19.487395922449657,0.0,5.0,electron,-1
10,897,596.9124603484732,280.0933044032497,658.5868021804279,659.3608605997168,0.4387356069970243,13,8,1691,10368,-15.511566198547216,40.586802180387274,0.0,5.0,electron,-1
11,1132,736.7156765429676,369.3209667562031,823.9684829101685,824.1043408148624,0.46469292379818894,17,2,2229,14656,16.36309680936181,-0.03151708983145031,0.0,5.0,electron,-1
12,1409,895.9962079457911,484.19629496746217,1019.8056497509816,1018.4572925329048,0.4954428568728785,17,4,3129,18076,-21.90298202817331,-10.19435024900819,0.0,5.0,electron,-1
13,1418,901.244138680092,488.24098273856487,1026.4118911208618,1024.9976852318937,0.49648029293152596,17,4,3128,18075,21.878933736995133,-3.5881088791346016,0.0,5.0,electron,-1
0,7,-20.034465368226062,24.259916690603795,18.345582089667953,31.463047538750693,2.2610875435558757,8,2,126,881,3.2113659392720106,-16.65441791031539,0.0,19.0,positron,1
1,54,-45.51295603248209,55.46865838015517,41.83703808072167,71.75096674825369,2.257922807046948,8,4,252,1231,-0.007008146233926702,6.837038080714831,0.0,19.0,positron,1
2,104,-72.85415278815015,89.59012140944472,67.33205374053253,115.47344903759551,2.2535307968283766,8,6,409,1836,2.118408340124879,32.33205374050019,0.0,19.0,positron,1
3,169,-107.45076362723483,133.73893165461766,100.03716989585392,171.55689564746265,2.247629297193262,8,8,691,2846,5.6128974533096745,-4.962830104141116,0.0,19.0,positron,1
4,268,-159.22961197441566,201.9518178674762,149.972600071322,257.17427178763677,2.238456941204373,13,2,475,5498,-10.19223357672048,46.97260007127503,0.0,19.0,positron,1
5,392,-222.01454916035615,288.35730523082066,212.25171886028275,363.92361220296885,2.226930247298329,13,4,720,6583,14.363152049367468,6.251718860276498,0.0,19.0,positron,1
6,548,-298.2018363037071,399.2056549698243,290.682717687793,498.2865542384115,2.212366971022736,13,6,1081,8120,-1.4407023559211019,-18.31728231218868,0.0,19.0,positron,1
7,738,-386.835790329496,537.5809564930913,386.5047575584647,662.2954125342201,2.194546744559129,13,8,1515,10192,5.19244332911782,-25.495242441509813,0.0,19.0,positron,1
8,920,-466.98895610654495,672.9029435102378,478.2157859168134,819.0708495058427,2.177478380731595,17,2,1902,14329,3.763090430050397,-36.78421408314983,0.0,19.0,positron,1
9,1153,-562.7470584229013,849.9541836324559,595.5926869188373,1019.3656684614912,2.1556245029709595,17,4,2561,17508,-15.00467806047013,-22.40731308114026,0.0,19.0,positron,1
0,7,-20.04126940585287,24.253839293166283,18.345376744926213,31.46269536859026,2.26137728922755,8,2,126,881,3.2204889698890984,-16.654623255057132,0.0,19.0,electron,-1
1,54,-45.83702541085937,55.11627969206187,41.79897145505067,71.68568326806518,2.2645357407226374,8,4,252,1231,0.47173155529889105,6.798971455043869,0.0,19.0,electron,-1
2,104,-74.09280102025224,88.30305067581641,67.21341508299632,115.26999575640875,2.2689130334456977,8,6,409,1836,3.9046895375419544,32.213415082964104,0.0,19.0,electron,-1
3,171,-111.86737669677277,131.69492340143867,100.7587884712368,172.79427889466842,2.274967137298648,8,8,692,2847,-3.631560782322259,-4.24121152875896,0.0,19.0,electron,-1
4,270,-169.33162337252273,195.66249111330578,150.89787458311423,258.7605246219723,2.284178719861168,13,2,475,5498,1.7076095024098346,47.897874583066326,0.0,19.0,electron,-1
5,274,-171.36997514926912,197.8878623382156,152.65750742542164,261.77714652629567,2.284503550787323,13,2,515,5538,1.8128630088870672,-53.34249257452501,0.0,19.0,electron,-1
6,389,-239.40143257197573,270.5198454617096,210.68549893175344,361.2395779896515,2.2952441625422373,13,4,721,6584,-1.7716112435381812,4.685498931748757,0.0,19.0,electron,-1
7,549,-336.7013283395436,369.15783021059224,291.4760597492063,499.64516220154235,2.3102453002516663,13,6,1082,8121,7.309716754556262,-17.52394025077619,0.0,19.0,electron,-1
8,739,-455.7151466758747,482.1264971528866,387.1604944978384,663.417104216289,2.3280400871720808,13,8,1517,10194,12.106464065304003,-24.839505502136774,0.0,19.0,electron,-1
9,922,-573.7099359299029,586.5377387557548,479.03435302982206,820.4691399250843,2.345138850550807,17,2,1905,14332,12.549679607185602,-35.965646970141975,0.0,19.0,electron,-1
10,1154,-728.9483167988925,713.4892538498224,595.9742088575512,1020.0159625825054,2.3669113984479924,17,4,2566,17513,-10.265909314901657,-22.02579114242681,0.0,19.0,electron,-1
0,19,-27.578066873404058,15.193020886824158,-86.66448641445729,31.486150227384442,2.638051386699092,8,2,95,850,2.715602671706176,18.335513585524378,0.0,29.0,positron,1
1,138,-63.36931222868876,35.013233831905005,-199.27543329244892,72.39886929852358,2.6368116656811833,8,4,158,1137,-1.016783826014373,-24.275433292424644,0.0,29.0,positron,1
2,265,-101.19589358408734,56.13471707427839,-318.52318294520643,115.72257921119461,2.6351379217055224,8,6,152,1579,4.356009937879314,-3.5231829452029055,0.0,29.0,positron,1
3,430,-150.13924279737367,83.73088859126877,-473.17652084659983,171.90885355923987,2.6328659394863143,8,8,72,2227,2.5817425473660633,-18.17652084658165,0.0,29.0,positron,1
4,688,-226.74660171403565,127.53597084501224,-716.0743533462947,260.15273446236023,2.6292333207611605,13,2,157,5180,9.843367765524942,4.925646653700332,0.0,29.0,positron,1
5,984,-313.8056540298782,178.23310312515008,-993.3710719470882,360.8892178366375,2.625055471875321,13,4,52,5915,-4.2479659882072065,36.628928052875125,0.0,29.0,positron,1
6,1226,-385.10640358091337,220.48893504975112,-1221.5,443.7592957430849,2.62160886993272,12,12,157,5010,-6.693735514503476,-26.29124361501799,0.0,29.0,positron,1
7,1524,-472.21684667277606,273.0255912351179,-1501.5,545.4646860713036,2.6173729861411172,12,10,157,4840,-10.538050138705149,75.36283049836683,0.0,29.0,positron,1
8,1837,-563.199067823613,328.9832691737994,-1795.5,652.2447250792198,2.612921627237167,12,8,158,4671,-37.439286803131985,29.169390825955347,0.0,29.0,positron,1
9,1840,-564.1248796947336,329.5584435067741,-1798.5,653.3342540975525,2.6128761930772364,12,8,155,4668,30.853103434477028,30.605673587172834,0.0,29.0,positron,1
10,2209,-670.5486763427563,396.45925855684663,-2144.5,778.9836141026761,2.6076347440065497,16,6,89,12124,42.89286227940859,-50.19822075157509,0.0,29.0,positron,1
11,2212,-671.4683466442185,397.0442027170359,-2147.5,780.0729705971917,2.6075892884197276,16,6,91,12126,-59.11547073519279,-50.170489198467266,0.0,29.0,positron,1
12,2643,-795.1320382041786,476.77791550581867,-2552.5,927.120347577813,2.6014518323302935,16,4,90,12027,23.496225165484788,-15.177601212361788,0.0,29.0,positron,1
0,19,-27.57959396614619,15.189851870989951,-86.66395958935732,31.48595882611969,2.6381629457546945,8,2,95,850,2.7191204371333333,18.336040410624342,0.0,29.0,electron,-1
1,138,-63.43450758808483,34.835113909136304,-199.19606666626288,72.37003464145428,2.6394016132059064,8,4,158,1137,-0.8271074126840959,-24.196066666238682,0.0,29.0,electron,-1
2,265,-101.46701552584636,55.500076907806935,-318.3340152894194,115.6538532712803,2.641073681589963,8,6,152,1579,5.046136917645463,-3.334015289416092,0.0,29.0,electron,-1
3,429,-150.81754046398302,82.0502342189318,-472.5798537003704,171.69208323911363,2.643339536528336,8,8,72,2227,4.3941130513680635,-17.57985370035281,0.0,29.0,electron,-1
4,691,-229.79033532390127,123.92069596558856,-718.6118512746448,261.0745814836573,2.6470191504433656,13,2,157,5180,14.569309654881271,2.388148725352834,0.0,29.0,electron,-1
5,988,-319.6346860331701,170.64285034656,-997.3459040267187,362.333154555199,2.651218865145538,13,4,52,5915,5.322277025327626,32.654095973248644,0.0,29.0,electron,-1
6,1226,-392.17083951959773,207.66401996709175,-1221.5,443.759295743085,2.6546054655604743,12,12,157,5010,7.948131633834162,-26.311941904836548,0.0,29.0,electron,-1
7,1524,-483.12956662162196,253.21442614288398,-1501.5,545.4646860713041,2.6588413493520773,12,10,157,4840,12.079834304559792,75.33085701284472,0.0,29.0,electron,-1
8,1837,-579.0489678860266,300.209050802595,-1795.5,652.2447250792203,2.663292708256027,12,8,158,4671,-4.605567156246195,30.228555123787977,0.0,29.0,electron,-1
9,2212,-694.4368531902675,355.34672699706397,-2147.5,780.0729705971917,2.668625047073467,16,6,91,12126,-11.559430341949891,-48.01299146144448,0.0,29.0,electron,-1
10,2646,-828.9094766595935,417.7102920305882,-2555.5,928.2094637334616,2.6748079719329083,16,4,92,12029,-25.023127483835367,-14.127780361563305,0.0,29.0,electron,-1
0,33,-18.852120946026915,25.31599212049561,157.22783313847916,31.56425068346503,2.2108790517115358,8,2,158,913,1.6260477862435427,-17.77216686150307,0.0,53.0,positron,1
1,243,-43.21149365962747,58.70257585639542,363.0951705459284,72.89187606634833,2.2053477510696893,8,4,412,1391,-3.875493496726163,-21.904829454049697,0.0,53.0,positron,1
2,483,-70.38359369992233,97.24509641272945,598.0,120.04357141653523,2.1973012641856973,9,2,92,3339,-3.1097386485592313,-19.99700229624625,0.0,53.0,positron,1
3,487,-70.84048831843094,97.90546578253705,602.0,120.84641084984395,2.197160061212684,9,2,94,3341,8.046477743528557,-19.421998534090868,0.0,53.0,positron,1
4,585,-81.74740543611166,113.79463434534941,698.0,140.11372916787204,2.1937494216930884,9,4,92,3447,-3.132109584389651,0.07842852102901232,0.0,53.0,positron,1
5,707,-95.22234646351268,133.76407436798686,818.0,164.1953801345871,2.1894429749973647,9,6,92,3555,-2.963445944998451,24.1683459780324,0.0,53.0,positron,1
6,1113,-138.58583369367813,200.7506583322714,1215.5,243.9402798256413,2.175008337422041,14,2,143,10962,-5.472290176381421,-74.12108848817168,0.0,53.0,positron,1
7,1116,-138.90561187126082,201.26101569878983,1218.5,244.54195028550393,2.174898828222541,14,2,147,10966,22.95990473999189,-74.53792706353683,0.0,53.0,positron,1
8,1398,-167.94301623319058,248.68562923416795,1495.5,300.0823201874708,2.1647675571761695,14,4,143,11132,-3.659166284153587,-17.93996902825849,0.0,53.0,positron,1
9,1704,-198.29108528265843,300.7055666414058,1795.5,360.19882330693906,2.153764797831376,14,6,143,11302,-0.4291905612889444,42.19859131123305,0.0,53.0,positron,1
10,2068,-232.7996100318533,363.2887026511443,2151.5,431.47924620418826,2.140685062601193,14,8,145,11474,20.362678250411335,-39.00209480672476,0.0,53.0,positron,1
11,2071,-233.0834105449336,363.81990881938043,2154.5,432.07962498201687,2.1405747654674716,14,8,142,11471,-28.013398808695907,-38.82949027284704,0.0,53.0,positron,1
12,2476,-269.59708578001874,434.66013814266074,2551.5,511.4802287002653,2.125971180553893,14,10,145,11644,31.652672807480965,40.49930171210978,0.0,53.0,positron,1
13,2479,-269.8650884891995,435.19948707623894,2554.5,512.0798370729948,2.1258607768109368,14,10,142,11641,-25.677910374409887,41.43558007710719,0.0,53.0,positron,1
14,2881,-304.0204858897505,506.5393151946531,2948.5,590.7711347709095,2.1113564708659647,14,12,144,11813,20.907707037419463,-31.598615722643125,0.0,53.0,positron,1
0,33,-18.86397778571141,25.305401537217286,157.22081695839154,31.562842154337314,2.211380751981687,8,2,158,913,1.6419457452785398,-17.77918304159068,0.0,53.0,electron,-1
1,242,-43.790291025530216,58.07321723729374,362.3036830959786,72.73299215892705,2.216886393952394,8,4,412,1391,-3.020450420494289,-22.69631690399869,0.0,53.0,electron,-1
2,483,-73.04587710244365,95.26152883914641,598.0,120.04357141653536,2.2249586364115594,9,2,92,3339,-6.4271019888826935,-20.12888748330897,0.0,53.0,electron,-1
3,487,-73.5479410817328,95.88824421130715,602.0,120.8464108498441,2.2250998393845722,9,2,94,3341,4.674846824099241,-19.244267624928987,0.0,53.0,electron,-1
4,585,-85.65284666910983,110.88483646922063,698.0,140.1137291678722,2.2285104789041683,9,4,92,3447,-7.99852146295451,-0.11504068179466032,0.0,53.0,electron,-1
5,589,-86.15952071556532,111.50783069678441,702.0,140.9164976737595,2.2286533674645197,9,4,94,3449,4.950855745141274,0.8292781981811408,0.0,53.0,electron,-1
6,711,-101.44501631601611,130.12787888953224,822.0,164.99804907830136,2.232961077445023,9,6,94,3557,5.086566180777103,24.919403833556125,0.0,53.0,electron,-1
7,1113,-152.7146085590841,190.22383776503364,1215.5,243.94027982564117,2.247251563175216,14,2,143,10962,-23.061291690880125,-75.15223162784187,0.0,53.0,electron,-1
8,1116,-153.11215570418196,190.67625238884924,1218.5,244.54195028550376,2.247361072374716,14,2,147,10966,5.273306671268038,-73.51452550062983,0.0,53.0,electron,-1
9,1401,-190.65465553543183,232.5112414347127,1498.5,300.68367942215525,2.2576022433304304,14,4,147,11136,3.405128703906575,-17.335209795266707,0.0,53.0,electron,-1
10,1707,-231.8283990349529,276.4635113425643,1798.5,360.79977785881397,2.268605236968274,14,6,147,11306,0.11622091682517066,42.80015641612184,0.0,53.0,electron,-1
11,2071,-281.9352182888137,327.4222579682671,2154.5,432.07962498201584,2.2816851351297855,14,8,148,11477,7.9538576780770995,-37.9938024939857,0.0,53.0,electron,-1
12,2479,-339.8092746672482,383.08669565363766,2554.5,512.0798370729941,2.29639912378632,14,10,148,11647,1.892362549740902,42.076131322141414,0.0,53.0,electron,-1
13,2878,-397.94465660252206,435.8251108106737,2945.5,590.1724128859593,2.3107929603409834,14,12,146,11815,-34.98779632494851,-32.86558629443043,0.0,53.0,electron,-1
14,2881,-398.39655778987526,436.223241494175,2948.5,590.7711347709084,2.3109034297312925,14,12,149,11818,26.74750455708227,-31.834089216595675,0.0,53.0,electron,-1
0,13,-13.246804697495167,28.67403871303056,53.9132151083483,31.58604645741463,2.003567244883217,8,2,125,880,7.471334106352456,18.913215108329382,0.0,70.0,positron,1
1,15,-13.785647213370565,29.841389563736914,56.10775850216938,32.87175991921056,2.0035548421965674,8,2,126,881,-5.167211969050626,21.107758502148272,0.0,70.0,positron,1
2,94,-30.559032493038536,66.27492972110474,124.5689123271615,72.98096173967535,2.0028383778397267,8,4,283,1262,-4.333517289668419,19.568912327141927,0.0,70.0,positron,1
3,179,-48.31304080409041,105.04231053640213,197.34868047687604,115.62022709960245,2.0018846060625366,8,6,511,1938,0.9551065678203139,22.34868047685369,0.0,70.0,positron,1
4,289,-71.31894673859871,155.59402236919595,292.14901846412084,171.16042755534625,2.000585267084741,8,8,922,3077,4.669776422010113,-22.850981535856302,0.0,70.0,positron,1
5,471,-109.08245281334447,239.36320298028173,448.98941060954166,263.0470004633299,1.998396308526218,13,2,593,5616,9.282495098006725,36.989410609504674,0.0,70.0,positron,1
6,669,-149.93147170043204,331.11219744299905,620.4131919658373,363.47590498104415,1.9959859897488454,13,4,942,6805,11.941439733038935,2.4131919658349,0.0,70.0,positron,1
7,946,-205.96007583599425,458.94487210558236,858.6449673733275,503.0407025980878,1.9926257988857377,13,6,1468,8507,9.697215598208876,34.64496737329287,0.0,70.0,positron,1
8,1683,-351.2698753503555,801.957897319671,1494.5,875.5152736543448,1.9836392491485155,18,4,81,18318,39.65234402370782,46.6165484102268,0.0,70.0,positron,1
9,1696,-353.7292723111725,807.9147098274082,1505.5,881.9583756874792,1.9834836923684676,18,4,80,18317,-31.476094650918952,-60.60291223396912,0.0,70.0,positron,1
0,13,-13.248792655371714,28.673343654541746,53.91356128836623,31.586249273322732,2.0036336086179345,8,2,125,880,7.473440069985045,18.913561288347317,0.0,70.0,electron,-1
1,15,-13.787983797337166,29.83930251628215,56.106197396742,32.870845316995336,2.003646000140262,8,2,126,881,-5.1640790164957036,21.10619739672089,0.0,70.0,electron,-1
2,94,-30.65060079971686,66.2080432138299,124.53082564327498,72.9586479835528,2.004362001194372,8,4,283,1262,-4.220121700497863,19.530825643255447,0.0,70.0,electron,-1
3,179,-48.651255517178136,104.82889495206909,197.26012067410716,115.56834289834605,2.005315048370834,8,6,511,1938,1.355025814400047,22.260120674084895,0.0,70.0,electron,-1
4,289,-72.20743584804607,155.05808708976414,291.9546523647698,171.04655554464279,2.0066128863641817,8,8,922,3077,5.707388835844908,-23.045347635207154,0.0,70.0,electron,-1
5,293,-73.08279156549663,156.91789162050986,295.46313645753474,173.10204832303953,2.006661496266214,8,8,923,3078,-8.292950067812182,-19.536863542445715,0.0,70.0,electron,-1
6,472,-111.7948244426985,238.69167728978923,449.8907154556087,263.5750359567208,2.008817185161614,13,2,593,5616,12.076758258251374,37.890715455570806,0.0,70.0,electron,-1
7,660,-152.90385191630736,324.5311978734184,612.3428796923987,358.7479426059471,2.011101191306414,13,4,943,6806,-23.419615037048008,-5.657120307595646,0.0,70.0,electron,-1
8,671,-155.4204005621925,329.75325506796923,622.2372539046058,364.544524220065,2.0112405546850463,13,4,942,6805,17.596089538999923,4.237253904601599,0.0,70.0,electron,-1
9,937,-214.1619125382858,450.5989416283566,851.5828426826829,498.9035287294043,2.0144753517883034,13,6,1469,8508,-19.997749865596333,27.582842682655308,0.0,70.0,electron,-1
10,950,-216.87197784490348,456.12640962799657,862.0904641841255,505.05916122221487,2.0146236971495615,13,6,1468,8507,20.96723494998208,38.0904641840874,0.0,70.0,electron,-1
11,1683,-382.9975292539301,787.2991089715683,1494.5,875.5152736543438,2.023561602449348,18,4,81,18318,4.71325993099342,47.50226891878032,0.0,70.0,electron,-1
12,1692,-385.1369359227126,791.4692899694253,1502.5,880.20116812956,2.023674735852614,18,4,82,18319,43.79514286703733,-62.889158894577925,0.0,70.0,electron,-1
13,1696,-385.93945538580965,793.0329836909685,1505.5,881.9583756874785,2.023717159229396,18,4,80,18317,-66.90269543422502,-62.58221095810639,0.0,70.0,electron,-1
0,42,-10.227161257961905,-30.91239928262549,178.213871606741,32.56027114145123,-1.890304210780052,8,2,148,903,-4.039452730853058,3.2138716067377944,0.0,76.0,positron,1
1,264,-23.1169252464671,-68.80496502104197,397.2856920442857,72.5845399819931,-1.8949248072187652,8,4,391,1370,-2.1696772242783076,12.285692044273437,0.0,76.0,positron,1
2,468,-35.34361682694388,-103.377624927559,598.0,109.25248091495634,-1.9002266320757544,9,2,22,3269,0.6587316418234117,-30.74904154634098,0.0,76.0,positron,1
3,570,-41.58353313187422,-120.5493396411668,698.0,127.5199337972345,-1.9029654799353153,9,4,22,3377,1.1181604426161202,-12.484505776866722,0.0,76.0,positron,1
4,692,-49.201269438697786,-141.10773855225702,818.0,149.4394820444432,-1.9062935986025633,9,6,22,3485,1.8077266302097312,9.429009931475921,0.0,76.0,positron,1
5,835,-58.267189995274485,-165.0255953272646,958.0,175.010035549575,-1.9102121276961468,9,8,22,3593,2.802799108855094,34.988051756412744,0.0,76.0,positron,1
6,1384,-95.06181902427778,-256.66166673622564,1498.5,273.7004943510733,-1.9255086340187173,14,4,34,11023,1.54571254621996,-44.303492327361596,0.0,76.0,positron,1
7,1689,-116.7047481420801,-307.0179654683866,1798.5,328.4509542675341,-1.9340512620633705,14,6,34,11193,4.660559288069606,10.418266896640244,0.0,76.0,positron,1
8,2045,-143.04526603702118,-365.28591737639886,2148.5,392.2954875717021,-1.9440387566778086,14,8,34,11363,9.483753176451867,74.181217763386,0.0,76.0,positron,1
9,2051,-143.50699836295726,-366.2801518411257,2154.5,393.3896391771191,-1.9442101079576126,14,8,32,11361,-7.586160049150596,-76.68307653363127,0.0,76.0,positron,1
10,2458,-175.05803026720093,-432.1981484765778,2554.5,466.30521496935273,-1.9556409447292435,14,10,32,11531,-3.662490445346635,-3.708733703540795,0.0,76.0,positron,1
11,2865,-208.11277536997227,-497.3750901070796,2954.5,539.159445369566,-1.9670823457660753,14,12,32,11701,1.934018415052023,69.15640873562432,0.0,76.0,positron,1
0,42,-10.20862211851449,-30.91344506104778,178.1874607414896,32.555445797915944,-1.8897534778872267,8,2,148,903,-4.020884119058998,3.1874607414864,0.0,76.0,electron,-1
1,264,-22.40675747815436,-68.9155849790628,396.6406052595102,72.46668637167876,-1.8851488640365996,8,4,391,1370,-1.4509456789418067,11.640605259498567,0.0,76.0,electron,-1
2,468,-33.227933271102714,-104.07693806316573,598.0,109.2524809149563,-1.8798307421759133,9,2,22,3269,-1.5695119674083724,-30.758325295401093,0.0,76.0,electron,-1
3,570,-38.45091934875572,-121.58478653551418,698.0,127.51993379723449,-1.877091894316352,9,4,22,3377,-2.181116816099446,-12.498251878066178,0.0,76.0,electron,-1
4,692,-44.5858393603284,-142.6333121057154,818.0,149.43948204444308,-1.8737637756491041,9,6,22,3485,-3.053256737359069,9.40875714152828,0.0,76.0,electron,-1
5,835,-51.559964097837735,-167.24258621921962,958.0,175.01003554957475,-1.8698452465555206,9,8,22,3593,-4.2612692393508,34.95862003825734,0.0,76.0,electron,-1
6,1381,-76.4942420004425,-262.2234298926717,1495.5,273.1528807168234,-1.8546340451002592,14,4,37,11026,13.9594331621293,-45.203776619607815,0.0,76.0,electron,-1
7,1384,-76.62518268486717,-262.75566975144915,1498.5,273.70049435107325,-1.8545487402329497,14,4,34,11023,-17.86333051184361,-44.882698534777575,0.0,76.0,electron,-1
8,1686,-89.13439908291043,-315.5563431032112,1795.5,327.9035632202601,-1.846091636935938,14,6,37,11196,13.959451697474648,9.606561844828372,0.0,76.0,electron,-1
9,2042,-102.71896722928514,-378.04183430335144,2145.5,391.7484074148784,-1.8361042918525385,14,8,37,11366,12.767693956458407,73.54056544013633,0.0,76.0,electron,-1
10,2048,-102.94090268061389,-379.11535354725174,2151.5,392.84256482712937,-1.83593294238643,14,8,35,11364,-6.035189789225399,-77.20374561762016,0.0,76.0,electron,-1
11,2455,-116.90210436692455,-450.8491304020466,2551.5,465.75856448346383,-1.824502206277756,14,10,35,11534,-12.478126719552112,-4.408564059494338,0.0,76.0,electron,-1
12,2862,-129.21421704259802,-522.8842730457853,2951.5,538.6132906683152,-1.8130608678811087,14,12,35,11704,-20.58913050468264,68.21967777403196,0.0,76.0,electron,-1
