event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight,n_merged,beamspot_z0
2.0,0,1,10,33.197138082984736,-1.8740058962987116,-10.53773141105059,33.25,-0.056390977443609,48.350277237637215,0.01,2,13.71226858894941
2.0,0,2,31,50.42099833605327,-2.8235264822142216,-23.087731411050587,50.5,-0.0559405940594059,48.350277237637215,0.01,2,13.71226858894941
2.0,1,3,78,88.35019764760763,-5.147093901287451,-51.087731411050584,88.50000000000001,-0.0581920903954802,48.350277237637215,0.01,1,13.71226858894941
2.0,-1,3,78,88.3698624151321,-4.7976469993763695,-51.087731411050584,88.50000000000001,-0.0542372881355932,48.350277237637215,0.01,1,13.71226858894941
2.0,1,4,120,122.2825541565836,-7.295680156243407,-75.8877314110506,122.5,-0.0595918367346938,48.350277237637215,0.01,1,13.71226858894941
2.0,-1,4,120,122.3275914773602,-6.496950311344209,-75.8877314110506,122.5,-0.0530612244897959,48.350277237637215,0.01,1,13.71226858894941
2.0,1,5,339,298.33520645404,-19.9274832837803,-206.34328613832437,299.00000000000006,-0.0666965394158523,48.350277237637215,0.01,1,13.71226858894941
2.0,-1,5,339,298.6844629703231,-13.732864964371322,-206.1264355310705,299.0,-0.0459454776063057,48.350277237637215,0.01,1,13.71226858894941
2.0,1,6,428,370.1010944271332,-25.810461131842136,-256.7490513375856,371.00000000000006,-0.0696262182449263,48.350277237637215,0.01,1,13.71226858894941
2.0,-1,6,428,370.65866947267057,-15.910711635547768,-256.93786776350186,371.0,-0.0428991721491563,48.350277237637215,0.01,1,13.71226858894941
2.0,1,7,518,441.8261476929486,-32.22817423945655,-312.0562492960515,443.0,-0.0728141541683554,48.350277237637215,0.01,1,13.71226858894941
2.0,-1,7,518,442.64555378793415,-17.717610216197652,-309.2381212680082,443.0,-0.0400052754879207,48.350277237637215,0.01,1,13.71226858894941
2.0,1,8,606,512.5323411433321,-38.81493632785007,-362.88897425238434,514.0,-0.0755873972948415,48.350277237637215,0.01,1,13.71226858894941
