event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight
2.0,1,1,12,33.195729055729515,-1.8989661551999817,-24.25,33.25,-0.0571428571428571,48.350277237637215,0.01
2.0,1,2,33,50.41675555341781,-2.898406366766914,-36.8,50.5,-0.0574257425742574,48.350277237637215,0.01
2.0,1,3,80,88.35019764760762,-5.147093901287451,-64.8,88.5,-0.0581920903954802,48.350277237637215,0.01
2.0,1,4,122,122.2825541565836,-7.295680156243407,-89.60000000000001,122.5,-0.0595918367346938,48.350277237637215,0.01
2.0,1,5,341,298.3329305164269,-19.961527233174575,-220.05557776935308,299.0,-0.06681065293138276,48.350277237637215,0.01
2.0,1,6,430,370.09809602317085,-25.853419890293175,-270.46134952876747,371.0,-0.06974229175313076,48.350277237637215,0.01
2.0,1,7,520,441.8223617201349,-32.28003537857871,-325.76855396767195,443.0,-0.07293153373389571,48.350277237637215,0.01
2.0,1,8,608,512.5277449555676,-38.87557910514925,-376.6012853870012,514.0000000000001,-0.0757057177290303,48.350277237637215,0.01
2.0,-1,1,12,33.19854711023995,-1.8490456373974415,-24.25,33.24999999999999,-0.0556390977443609,48.350277237637215,0.01
2.0,-1,2,33,50.42239612155469,-2.79856558990976,-36.8,50.50000000000001,-0.0554455445544554,48.350277237637215,0.01
2.0,-1,3,80,88.36986241513208,-4.79764699937637,-64.8,88.49999999999999,-0.0542372881355932,48.350277237637215,0.01
2.0,-1,4,122,122.3275914773602,-6.496950311344209,-89.60000000000001,122.5,-0.0530612244897959,48.350277237637215,0.01
2.0,-1,5,341,298.6860281311004,-13.698780940927481,-219.83872716209925,299.0,-0.04583136409077534,48.350277237637215,0.01
2.0,-1,6,430,370.6605137878309,-15.867687876349331,-270.6501659546838,371.0,-0.04278309864095196,48.350277237637215,0.01
2.0,-1,7,520,442.6476304239421,-17.665652551468703,-322.9504259396287,443.0,-0.03988789592238044,48.350277237637215,0.01
2.0,-1,8,608,513.6495433287121,-18.977529823593713,-377.23122323682685,513.9999999999999,-0.03692965778476209,48.350277237637215,0.01
3.0,1,1,10,-33.08558573623952,-3.302501550331961,-13.5,33.25000000000001,-3.0421052631578944,47.54800641016002,0.01
3.0,1,2,29,-50.25263497942426,-4.992261774461082,-20.8,50.5,-3.0425742574257426,47.54800641016002,0.01
3.0,1,3,70,-88.07946739462267,-8.617274713017125,-36.0,88.5,-3.04406779661017,47.54800641016002,0.01
3.0,1,4,106,-121.93738068320918,-11.727113545886748,-50.0,122.5,-3.045714285714286,47.54800641016002,0.01
3.0,1,5,297,-297.8232813311747,-26.50081314095728,-123.33198120269746,298.99999999999994,-3.052844718026162,47.54800641016002,0.01
3.0,1,6,375,-369.6361852316065,-31.78192202220531,-151.7105744634578,371.00000000000006,-3.0558219706761047,47.54800641016002,0.01
3.0,1,7,453,-441.48760232017145,-36.57454029220556,-181.87691499563866,443.0,-3.0589375318699368,47.54800641016002,0.01
3.0,1,8,530,-512.3655801436128,-40.957444794555826,-210.2934846702877,514.0,-3.0618243416862354,47.54800641016002,0.01
3.0,-1,1,10,-33.08558573623951,-3.3025015503319457,-13.5,33.25,-3.042105263157895,47.54800641016002,0.01
3.0,-1,2,29,-50.24766751556401,-5.042014403522915,-20.8,50.49999999999999,-3.0415841584158425,47.54800641016002,0.01
3.0,-1,3,70,-88.04469906511447,-8.965543292708526,-36.0,88.5,-3.0401129943502827,47.54800641016002,0.01
3.0,-1,4,106,-121.85307410418366,-12.572920558100863,-50.0,122.49999999999996,-3.0387755102040828,47.54800641016002,0.01
3.0,-1,5,297,-297.191961780649,-32.83196389144643,-122.62815230430222,299.0,-3.0315648872652043,47.54800641016002,0.01
3.0,-1,6,375,-368.62796421650893,-41.88584483560295,-151.2287452920515,371.0,-3.02845157203738,47.54800641016002,0.01
3.0,-1,7,453,-440.0154054760086,-51.33656536800783,-180.58728436064118,443.0,-3.0254478098620163,47.54800641016002,0.01
3.0,-1,8,530,-510.35045768841223,-61.142541141402695,-210.58567189009415,514.0,-3.0223559550599353,47.54800641016002,0.01
4.0,1,1,21,8.870244585315158,32.044988079209624,64.25,33.25,1.300751879699248,16.483321659111457,0.01
4.0,1,2,58,13.556862125683494,48.64628957387407,97.6,50.50000000000001,1.299009900990099,16.483321659111457,0.01
4.0,1,3,141,24.10693961214632,85.15342308173129,170.8,88.49999999999999,1.2949152542372884,16.483321659111457,0.01
4.0,1,4,215,33.82718515872167,117.73687419087344,236.4,122.5,1.2910204081632652,16.483321659111457,0.01
4.0,1,5,599,88.60672125660015,285.56934175109757,576.1275318801576,299.0,1.2699343764949051,16.483321659111457,0.01
4.0,1,6,755,112.98349006760037,353.3776039481626,717.4263462955932,371.0,1.2613432798568112,16.483321659111457,0.01
4.0,1,7,912,138.6133599053653,420.7556731117784,854.2422662674397,443.00000000000006,1.252554689572122,16.483321659111457,0.01
4.0,1,8,1067,165.05074794416254,486.77946814042247,993.203903977453,514.0,1.2438945742233511,16.483321659111457,0.01
4.0,-1,1,21,8.870244585315158,32.044988079209624,64.25,33.25,1.300751879699248,16.483321659111457,0.01
4.0,-1,2,58,13.364097738978357,48.69959847496725,97.6,50.49999999999999,1.302970297029703,16.483321659111457,0.01
4.0,-1,3,141,23.09497178756517,85.43343770521919,170.8,88.5,1.306779661016949,16.483321659111457,0.01
4.0,-1,4,215,31.51415919838209,118.37697314097464,236.4,122.5,1.3106122448979594,16.483321659111457,0.01
4.0,-1,5,599,70.8001664917175,290.49670639224996,577.7015671961595,299.0,1.3317359247211717,16.483321659111457,0.01
4.0,-1,6,755,84.76030674780108,361.1878879475593,716.3860455707949,371.0,1.3402962133360665,16.483321659111457,0.01
4.0,-1,7,912,97.41345870928714,432.1569368438901,855.4705265529227,443.0,1.3490895529512466,16.483321659111457,0.01
4.0,-1,8,1067,108.67801358773696,502.37942768650834,992.7085871801563,514.0,1.357752563613857,16.483321659111457,0.01
5.0,1,1,13,31.3147834529789,11.177962126122962,33.25,33.25000000000001,0.3428571428571428,12.774309851914332,0.01
5.0,1,2,38,47.59909759622181,16.869377819746386,50.400000000000006,50.5,0.3405940594059405,12.774309851914332,0.01
5.0,1,3,91,83.56303731569396,29.14564795258359,88.4,88.5,0.3355932203389831,12.774309851914332,0.01
5.0,1,4,139,115.88208359320043,39.71892121015503,122.0,122.5,0.3302040816326531,12.774309851914332,0.01
5.0,1,5,389,285.35921003810853,89.2811360054668,298.3044557598777,299.0,0.3032244681074001,12.774309851914332,0.01
5.0,1,6,491,355.30262561358967,106.7756724731309,370.84507857645684,371.0,0.29193411932265967,12.774309851914332,0.01
5.0,1,7,593,425.6825594289058,122.65137014341155,441.6759973325538,443.00000000000006,0.2805304435896288,12.774309851914332,0.01
5.0,1,8,693,495.4490349791983,136.8439028169731,512.2960665888444,514.0,0.2694831477863745,12.774309851914332,0.01
5.0,-1,1,13,31.314783452978894,11.17796212612296,33.25,33.25,0.3428571428571428,12.774309851914332,0.01
5.0,-1,2,38,47.5150029020455,17.10480924239167,50.400000000000006,50.5,0.3455445544554455,12.774309851914332,0.01
5.0,-1,3,91,83.12590932492664,30.36993906651896,88.4,88.5,0.3502824858757062,12.774309851914332,0.01
5.0,-1,4,139,114.83995553376506,42.63841710245422,122.0,122.5,0.3555102040816327,12.774309851914332,0.01
5.0,-1,5,389,277.37133200391884,111.65188839590598,299.9601959603029,299.0,0.38269049013564094,12.774309851914332,0.01
5.0,-1,6,491,342.5911109387277,142.3809351906652,371.23598712581094,371.00000000000006,0.3938820728389902,12.774309851914332,0.01
5.0,-1,7,593,407.14532290552376,174.5900513664993,441.6583493087454,443.00000000000006,0.4050976056666328,12.774309851914332,0.01
