event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight,n_merged
2.0,0,1,10,33.197138082984736,-1.8740058962987114,-24.25,33.25,-0.05639097744360902,48.350277237637215,0.01,2
2.0,0,2,31,50.420998336053266,-2.8235264822142216,-36.8,50.5,-0.055940594059405956,48.350277237637215,0.01,2
2.0,1,3,78,88.35019764760763,-5.147093901287451,-64.8,88.50000000000001,-0.05819209039548021,48.350277237637215,0.01,1
2.0,-1,3,78,88.3698624151321,-4.7976469993763695,-64.8,88.50000000000001,-0.05423728813559321,48.350277237637215,0.01,1
2.0,1,4,120,122.2825541565836,-7.295680156243407,-89.60000000000001,122.5,-0.059591836734693863,48.350277237637215,0.01,1
2.0,-1,4,120,122.3275914773602,-6.496950311344209,-89.60000000000001,122.5,-0.05306122448979591,48.350277237637215,0.01,1
3.0,0,1,8,-33.08558573623951,-3.3025015503319457,-13.5,33.25,-3.042105263157895,47.54800641016002,0.01,2
3.0,0,2,27,-50.25015124749414,-5.017138088992009,-20.8,50.5,-3.0420792079207923,47.54800641016002,0.01,2
3.0,1,3,68,-88.07946739462267,-8.617274713017165,-36.0,88.50000000000001,-3.0440677966101695,47.54800641016002,0.01,1
3.0,-1,3,68,-88.04469906511447,-8.965543292708485,-36.0,88.50000000000001,-3.040112994350283,47.54800641016002,0.01,1
3.0,1,4,105,-121.93258394916852,-11.776882927114949,-50.0,122.5,-3.0453061224489795,47.54800641016002,0.01,1
3.0,-1,4,105,-121.85307410418368,-12.572920558101032,-50.0,122.5,-3.0387755102040814,47.54800641016002,0.01,1
4.0,0,1,17,8.870244585315158,32.044988079209624,64.25,33.25,1.300751879699248,16.483321659111457,0.01,2
4.0,1,2,55,13.55686212568348,48.646289573874064,97.6,50.5,1.2990099009900993,16.483321659111457,0.01,1
4.0,-1,2,55,13.412308604947532,48.68634282717947,97.6,50.5,1.301980198019802,16.483321659111457,0.01,1
4.0,1,3,138,24.0588264887444,85.16702923070929,170.8,88.5,1.2954802259887006,16.483321659111457,0.01,1
4.0,-1,3,138,23.143235578049417,85.420376064373,170.8,88.5,1.3062146892655369,16.483321659111457,0.01,1
4.0,1,4,211,33.779126475281295,117.7506713975209,236.4,122.5,1.2914285714285716,16.483321659111457,0.01,1
4.0,-1,4,211,31.5624737038487,118.36410035857097,236.4,122.5,1.310204081632653,16.483321659111457,0.01,1
5.0,0,1,11,31.314783452978897,11.17796212612296,33.25,33.25,0.3428571428571428,12.774309851914332,0.01,2
5.0,1,2,36,47.59909759622181,16.869377819746386,50.400000000000006,50.5,0.3405940594059406,12.774309851914332,0.01,1
5.0,-1,2,36,47.531915064591054,17.057756308861403,50.400000000000006,50.5,0.3445544554455447,12.774309851914332,0.01,1
5.0,1,3,89,83.56303731569398,29.14564795258359,88.4,88.50000000000001,0.335593220338983,12.774309851914332,0.01,1
5.0,-1,3,89,83.12590932492664,30.36993906651896,88.4,88.50000000000001,0.3502824858757062,12.774309851914332,0.01,1
5.0,1,4,137,115.86586213625684,39.7662167099401,122.0,122.5,0.33061224489795926,12.774309851914332,0.01,1
5.0,-1,4,137,114.85734940282354,42.591540100795946,122.0,122.5,0.3551020408163265,12.774309851914332,0.01,1
7.0,0,1,21,-26.213215306379315,-20.455542483677107,80.25,33.25,-2.478947368421053,23.021788705138967,0.01,2
7.0,1,2,66,-39.851387696426514,-31.01800926347637,121.6,50.5,-2.48019801980198,23.021788705138967,0.01,1
7.0,-1,2,66,-39.78988780375549,-31.09686203726269,121.6,50.5,-2.4782178217821786,23.021788705138967,0.01,1
7.0,1,3,165,-69.99336095525473,-54.1588351258354,213.2,88.5,-2.483050847457627,23.021788705138967,0.01,1
7.0,-1,3,165,-69.56280100936043,-54.710755027984426,213.2,88.5,-2.475141242937853,23.021788705138967,0.01,1
7.0,1,4,254,-97.08278815041152,-74.70731051873248,295.2,122.5,-2.4857142857142858,23.021788705138967,0.01,1
7.0,-1,4,254,-96.06775038289032,-76.00813993494826,295.2,122.5,-2.472244897959184,23.021788705138967,0.01,1
8.0,0,1,18,-5.643567365921817,-32.76755479718165,-65.25,33.25,-1.7413533834586468,24.24634810176271,0.01,2
8.0,1,2,56,-8.632186295767617,-49.75676195006224,-99.2,50.5,-1.7425742574257426,24.24634810176271,0.01,1
8.0,-1,2,56,-8.48435607144647,-49.7821825762281,-99.2,50.5,-1.7396039603960398,24.24634810176271,0.01,1
8.0,1,3,140,-15.3071576314351,-87.1661684671662,-174.0,88.5,-1.7446327683615819,24.24634810176271,0.01,1
8.0,-1,3,140,-14.666547030048193,-87.27624188870294,-174.0,88.5,-1.7372881355932202,24.24634810176271,0.01,1
8.0,1,4,215,-21.51526991365683,-120.59578417400208,-240.8,122.5,-1.7473469387755103,24.24634810176271,0.01,1
8.0,-1,4,215,-19.987682515075104,-120.85835737621358,-240.8,122.5,-1.7346938775510203,24.24634810176271,0.01,1
10.0,0,1,10,32.484198400137586,7.0950232064806205,24.25,33.24999999999999,0.21503759398496244,17.96214608728148,0.01,2
10.0,1,2,31,49.34954340045926,10.717862014701796,36.8,50.5,0.21386138613861388,17.96214608728148,0.01,1
10.0,-1,2,31,49.31749051649323,10.86439732132436,36.8,50.5,0.21683168316831683,17.96214608728148,0.01,1
10.0,1,3,78,86.5421627151632,18.51226816417201,64.4,88.5,0.21073446327683615,17.96214608728148,0.01,1
