event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight
1.0,1,1,9,-11.17261133448775,31.316692928348548,0.7660750649588145,33.25,1.9134826037574015,8.927509450638745,0.01
1.0,1,2,27,-16.84548373646352,47.607559039343144,1.1635207543357147,50.5,1.9108884447688916,8.927509450638745,0.01
1.0,1,3,65,-28.897493462502855,83.64917735151138,2.0391206075772086,88.5,1.9034214110034982,8.927509450638745,0.01
1.0,1,4,99,-39.160517089133734,116.07197724391389,2.8226748758700984,122.5,1.8961856357069495,8.927509450638745,0.01
1.0,1,5,275,-84.45986648535536,286.8231701820408,6.893907611920636,299.0,1.8571689812518397,8.927509450638745,0.01
1.0,1,6,348,-99.05272409663971,357.53259690416337,8.55744588814585,371.0,1.8410630369187202,8.927509450638745,0.01
1.0,1,7,420,-111.36430484295308,428.77382336943776,10.22323474869494,443.0,1.8249090173304974,8.927509450638745,0.01
1.0,1,8,491,-121.25160458349976,499.49379213952864,11.868528761712698,514.0,1.8089389361706647,8.927509450638745,0.01
1.0,-1,1,9,-11.212824306540833,31.302317343459524,0.7660750649588146,33.25,1.9147669730360144,8.927509450638745,0.01
1.0,-1,2,27,-17.153277550180903,47.49752698074353,1.163520754335715,50.5,1.9173611320245243,8.927509450638745,0.01
1.0,-1,3,65,-30.681393259003148,83.01145768920334,2.0391206075772086,88.5,1.9248281657899182,8.927509450638745,0.01
1.0,-1,4,99,-43.298887499861934,114.592566692933,2.8226748758700997,122.5,1.9320639410864668,8.927509450638745,0.01
1.0,-1,5,275,-116.51436647216651,275.36412694029275,6.893907611920633,298.99999999999994,1.9710805955415764,8.927509450638745,0.01
1.0,-1,6,348,-150.0553081492884,339.29987399971446,8.557445888145843,371.0,1.9871865398746953,8.927509450638745,0.01
1.0,-1,7,420,-185.69765748049267,402.20067131502606,10.223234748694937,443.0,2.003340559462919,8.927509450638745,0.01
1.0,-1,8,491,-222.88441819503774,463.16145794513113,11.86852876171269,514.0,2.0193106406227512,8.927509450638745,0.01
2.0,1,1,30,33.16290759629853,2.4050072264684306,-100.25984330902496,33.25,0.0723942633733319,3.8342020764436726,0.01
2.0,1,2,85,50.38888011853373,3.348247362432526,-152.28020646013024,50.5,0.06635060092622201,3.8342020764436726,0.01
2.0,1,3,206,88.39396396596698,4.330950748199768,-266.9235910894908,88.5,0.04895685065783117,3.8342020764436726,0.01
2.0,1,4,314,122.43693134065357,3.9303745221141146,-369.5866013786855,122.5,0.03209019733752678,3.8342020764436726,0.01
2.0,1,5,879,298.4757364317827,-17.698439521748334,-905.1586278163325,299.0,-0.059226725318479154,3.8342020764436726,0.01
2.0,1,6,1111,369.2486538841539,-36.005994011279604,-1125.6396496373877,371.0,-0.0972041993407949,3.8342020764436726,0.01
2.0,1,7,1345,438.9374891322947,-59.85716861192721,-1347.795160252039,443.0,-0.13553231353437992,3.8342020764436726,0.01
2.0,1,8,1578,506.26446641315493,-88.83856171395088,-1568.8712397088407,514.0,-0.17370997244542746,3.8342020764436726,0.01
2.0,-1,1,30,33.15558137430592,2.503981575766531,-100.25984330902496,33.24999999999999,0.07537908034829832,3.8342020764436726,0.01
2.0,-1,2,85,50.3326934709379,4.107306655291868,-152.2802064601303,50.49999999999999,0.08142274279540823,3.8342020764436726,0.01
2.0,-1,3,206,88.0682635422264,8.731034111544599,-266.92359108949057,88.5,0.09881649306379899,3.8342020764436726,0.01
2.0,-1,4,314,121.68123005715258,14.13959871348229,-369.58660137868566,122.5,0.11568314638410347,3.8342020764436726,0.01
2.0,-1,5,879,292.61691156994164,61.45195735913513,-905.1586278163335,299.0,0.20700006904010962,3.8342020764436726,0.01
2.0,-1,6,1111,359.9229683378935,89.9803137516185,-1125.6396496373889,371.0,0.24497754306242553,3.8342020764436726,0.01
