event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight
1.0,1,1,9,-11.17261133448775,31.316692928348548,0.7660750649588145,33.25,1.913482603757401,8.927509450638745,0.01
1.0,1,2,27,-16.84548373646352,47.60755903934314,1.163520754335715,50.5,1.910888444768892,8.927509450638745,0.01
1.0,1,3,65,-28.89749346250285,83.64917735151138,2.0391206075772086,88.5,1.9034214110034984,8.927509450638745,0.01
1.0,1,4,99,-39.16051708913373,116.07197724391388,2.8226748758700984,122.5,1.896185635706949,8.927509450638745,0.01
1.0,1,5,275,-84.45986648535536,286.8231701820408,6.893907611920636,299.0,1.85716898125184,8.927509450638745,0.01
1.0,1,6,348,-99.05272409663972,357.53259690416337,8.55744588814585,371.0,1.84106303691872,8.927509450638745,0.01
1.0,1,7,420,-111.36430484295308,428.77382336943776,10.22323474869494,443.0,1.8249090173304972,8.927509450638745,0.01
1.0,1,8,491,-121.25160458349976,499.49379213952864,11.868528761712698,514.0,1.8089389361706647,8.927509450638745,0.01
1.0,-1,1,9,-11.212824306540831,31.302317343459524,0.7660750649588146,33.25,1.9147669730360144,8.927509450638745,0.01
1.0,-1,2,27,-17.153277550180903,47.49752698074353,1.163520754335715,50.5,1.9173611320245243,8.927509450638745,0.01
1.0,-1,3,65,-30.681393259003148,83.01145768920334,2.0391206075772086,88.5,1.9248281657899184,8.927509450638745,0.01
1.0,-1,4,99,-43.298887499861934,114.592566692933,2.8226748758701,122.5,1.9320639410864668,8.927509450638745,0.01
1.0,-1,5,275,-116.51436647216651,275.36412694029275,6.893907611920633,298.99999999999994,1.9710805955415764,8.927509450638745,0.01
1.0,-1,6,348,-150.0553081492884,339.29987399971446,8.557445888145843,371.0,1.9871865398746955,8.927509450638745,0.01
1.0,-1,7,420,-185.6976574804927,402.20067131502606,10.223234748694937,443.0,2.003340559462919,8.927509450638745,0.01
1.0,-1,8,491,-222.8844181950377,463.16145794513113,11.86852876171269,514.0,2.0193106406227512,8.927509450638745,0.01
3.0,1,1,20,-30.06204945817925,14.206888553585006,-63.142745883256765,33.25,2.7001161783756857,202.0249609270577,0.01
3.0,1,2,57,-45.6556754580354,21.58261565405233,-95.90101387297057,50.5,2.700001495931876,202.0249609270577,0.01
3.0,1,3,139,-79.99795749220665,37.84939625773569,-168.06416578428107,88.5,2.699671556414283,202.0249609270577,0.01
3.0,1,4,212,-110.71488299699006,52.425801691178776,-232.63121619888116,122.5,2.699351890595039,202.0249609270577,0.01
3.0,1,5,591,-270.01392320722147,128.4269491744031,-567.8107573342708,299.0,2.697629733997802,202.0249609270577,0.01
3.0,1,6,746,-334.92081702267666,159.59024508052724,-704.541662114785,371.0,2.6969200057826037,202.0249609270577,0.01
3.0,1,7,900,-399.78335815061934,190.84618556789027,-841.2729253456215,443.0,2.696209119461536,202.0249609270577,0.01
3.0,1,8,1053,-463.7015013595765,221.75869235922767,-976.105562074663,513.9999999999999,2.695507448123588,202.0249609270577,0.01
