event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight
1.0,1,1,9,-11.150666588398153,31.324513318396203,0.75,33.25,1.912781954887218,8.927509450638745,0.01
1.0,1,2,27,-16.845609626978202,47.60751449398991,1.2000000000000002,50.5,1.9108910891089108,8.927509450638745,0.01
1.0,1,3,65,-28.894851765664107,83.65008990694689,2.0,88.5,1.9033898305084749,8.927509450638745,0.01
1.0,1,4,99,-39.17687065062583,116.06645857449142,2.8000000000000003,122.5,1.896326530612245,8.927509450638745,0.01
1.0,1,5,275,-84.46980488695863,286.8202434668082,5.6875260486816615,299.0,1.8572036313545544,8.927509450638745,0.01
1.0,1,6,348,-99.0773129890651,357.52578375673386,9.648500959159659,371.0,1.8411318114218398,8.927509450638745,0.01
1.0,1,7,420,-111.30009863803191,428.79049434795587,8.71270652073465,443.0,1.8247592764808032,8.927509450638745,0.01
1.0,1,8,491,-121.25582848302449,499.49276677334916,11.501687354594143,514.0,1.808947392539746,8.927509450638745,0.01
1.0,-1,1,9,-11.197758494495131,31.30770998809977,0.75,33.25,1.9142857142857144,8.927509450638745,0.01
1.0,-1,2,27,-17.175155472560437,47.48962028162972,1.2000000000000002,50.5,1.917821782178218,8.927509450638745,0.01
1.0,-1,3,65,-30.683932670746827,83.0105190675078,2.0,88.5,1.9248587570621472,8.927509450638745,0.01
1.0,-1,4,99,-43.319623103334656,114.58472958551256,2.8000000000000003,122.5,1.932244897959184,8.927509450638745,0.01
1.0,-1,5,275,-116.51384038892272,275.3643495404309,5.90437665593528,298.99999999999994,1.9710786850420607,8.927509450638745,0.01
1.0,-1,6,348,-150.08265242516052,339.28777968124416,9.459684533243422,371.0,1.98726713160285,8.927509450638745,0.01
1.0,-1,7,420,-185.69969575822128,402.19973022778623,11.530834548777856,443.0,2.003345627281693,8.927509450638745,0.01
1.0,-1,8,491,-222.89874123727404,463.15456508042615,10.871749504768134,514.0,2.0193415653652345,8.927509450638745,0.01
3.0,1,1,20,-30.071074721148207,14.187775199625955,-63.25,33.25,2.7007518796992485,202.0249609270577,0.01
3.0,1,2,57,-45.65564317186158,21.582683951808423,-96.0,50.5,2.7,202.0249609270577,0.01
3.0,1,3,139,-79.98900280625483,37.868316968951184,-168.0,88.5,2.699435028248588,202.0249609270577,0.01
3.0,1,4,212,-110.7060625129116,52.44442508872901,-232.8,122.5,2.699183673469388,202.0249609270577,0.01
3.0,1,5,591,-270.01930810796716,128.4156269653141,-568.9230611512324,299.0,2.697671665525089,202.0249609270577,0.01
3.0,1,6,746,-334.93366373077413,159.56328180342973,-704.5995761715291,371.0,2.697000510661969,202.0249609270577,0.01
3.0,1,7,900,-399.78065036903575,190.85185770778023,-842.06280361713,443.0,2.6961949313794578,202.0249609270577,0.01
3.0,1,8,1053,-463.71943313462907,221.7211927924306,-976.2848162738628,513.9999999999999,2.6955883166168078,202.0249609270577,0.01
3.0,-1,1,20,-30.071074721148207,14.187775199625955,-63.25,33.25,2.7007518796992485,202.0249609270577,0.01
3.0,-1,2,57,-45.655643171861584,21.582683951808445,-96.0,50.50000000000001,2.6999999999999997,202.0249609270577,0.01
3.0,-1,3,139,-80.03174079200461,37.77790975955903,-168.0,88.5,2.7005649717514126,202.0249609270577,0.01
3.0,-1,4,212,-110.791538479465,52.26361068040772,-232.8,122.5,2.7008163265306124,202.0249609270577,0.01
3.0,-1,5,591,-270.65024493426614,127.08046630785455,-568.2192322528376,299.0,2.7026105711317445,202.0249609270577,0.01
3.0,-1,6,746,-335.95072212217184,157.41064864103473,-704.1177470001232,371.0,2.7034177885727453,202.0249609270577,0.01
3.0,-1,7,900,-401.2790118617899,187.68099168329633,-840.7731729821328,443.00000000000006,2.704111568836789,202.0249609270577,0.01
3.0,-1,8,1053,-465.76894664737074,217.38281518785865,-976.5770034936705,514.0,2.704923228585221,202.0249609270577,0.01
4.0,1,1,24,23.5215434646646,23.501053019809437,-75.5,33.25,0.7849624060150376,21.070010513281368,0.01
4.0,1,2,66,35.75313500890159,35.6645950073074,-114.4,50.5,0.7841584158415842,21.070010513281368,0.01
4.0,1,3,161,62.866598879219424,62.28997307239205,-200.8,88.5,0.7807909604519775,21.070010513281368,0.01
4.0,1,4,245,87.29763086958681,85.93819665641911,-277.6,122.5,0.7775510204081633,21.070010513281368,0.01
4.0,1,5,683,216.53473333442224,206.1885284388795,-679.0314083542803,298.99999999999994,0.760927923239508,21.070010513281368,0.01
4.0,1,6,861,270.38337480212624,254.0350972417256,-840.1240935237389,371.00000000000006,0.7542341491044791,21.070010513281368,0.01
4.0,1,7,1040,324.9379123946607,301.1052192981713,-1005.7939742675626,443.0,0.7473477658093163,21.070010513281368,0.01
4.0,1,8,1216,379.3761649433802,346.79925817806065,-1165.2272495205702,514.0,0.740567288695945,21.070010513281368,0.01
