event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight,beamspot_z0
1.0,1,1,9,-11.150666588398153,31.324513318396203,14.46226858894941,33.25,1.912781954887218,8.927509450638745,0.01,13.71226858894941
1.0,1,2,27,-16.845609626978202,47.60751449398991,14.91226858894941,50.5,1.9108910891089108,8.927509450638745,0.01,13.71226858894941
1.0,1,3,65,-28.894851765664107,83.65008990694689,15.71226858894941,88.5,1.9033898305084749,8.927509450638745,0.01,13.71226858894941
1.0,1,4,99,-39.17687065062583,116.06645857449142,16.51226858894941,122.5,1.896326530612245,8.927509450638745,0.01,13.71226858894941
1.0,1,5,275,-84.46980488695863,286.8202434668082,19.39979463763107,299.0,1.8572036313545544,8.927509450638745,0.01,13.71226858894941
1.0,1,6,348,-99.0773129890651,357.52578375673386,23.36076954810907,371.0,1.84113181142184,8.927509450638745,0.01,13.71226858894941
1.0,1,7,420,-111.30009863803193,428.7904943479559,22.424975109684063,443.0,1.8247592764808032,8.927509450638745,0.01,13.71226858894941
1.0,1,8,491,-121.25582848302447,499.4927667733492,25.213955943543553,514.0,1.808947392539746,8.927509450638745,0.01,13.71226858894941
1.0,-1,1,9,-11.197758494495131,31.30770998809977,14.46226858894941,33.25,1.9142857142857144,8.927509450638745,0.01,13.71226858894941
1.0,-1,2,27,-17.175155472560437,47.48962028162972,14.91226858894941,50.5,1.917821782178218,8.927509450638745,0.01,13.71226858894941
1.0,-1,3,65,-30.683932670746827,83.0105190675078,15.71226858894941,88.5,1.9248587570621472,8.927509450638745,0.01,13.71226858894941
1.0,-1,4,99,-43.319623103334656,114.58472958551256,16.51226858894941,122.5,1.932244897959184,8.927509450638745,0.01,13.71226858894941
1.0,-1,5,275,-116.51384038892272,275.3643495404309,19.61664524488469,298.99999999999994,1.9710786850420607,8.927509450638745,0.01,13.71226858894941
1.0,-1,6,348,-150.08265242516052,339.28777968124416,23.171953122192832,371.0,1.98726713160285,8.927509450638745,0.01,13.71226858894941
1.0,-1,7,420,-185.69969575822128,402.19973022778623,25.243103137727267,443.0,2.003345627281693,8.927509450638745,0.01,13.71226858894941
