event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight
1.0,1,1,9,-11.150666588398153,31.324513318396203,0.75,33.25,1.912781954887218,8.927509450638745,0.01
1.0,1,2,27,-16.845609626978202,47.60751449398991,1.2000000000000002,50.5,1.9108910891089108,8.927509450638745,0.01
1.0,1,3,65,-28.894851765664107,83.65008990694689,2.0,88.5,1.9033898305084749,8.927509450638745,0.01
1.0,1,4,99,-39.17687065062583,116.06645857449142,2.8000000000000003,122.5,1.896326530612245,8.927509450638745,0.01
1.0,1,5,275,-84.45986648535536,286.8231701820408,6.893907611920636,299.0,1.85716898125184,8.927509450638745,0.01
1.0,1,6,348,-99.05272409663972,357.53259690416337,8.55744588814585,371.0,1.84106303691872,8.927509450638745,0.01
1.0,1,7,420,-111.36430484295308,428.77382336943776,10.22323474869494,443.0,1.8249090173304967,8.927509450638745,0.01
1.0,1,8,491,-121.25160458349976,499.49379213952864,11.868528761712698,514.0,1.8089389361706647,8.927509450638745,0.01
1.0,-1,1,9,-11.197758494495131,31.30770998809977,0.75,33.25,1.9142857142857144,8.927509450638745,0.01
1.0,-1,2,27,-17.175155472560437,47.48962028162972,1.2000000000000002,50.5,1.917821782178218,8.927509450638745,0.01
1.0,-1,3,65,-30.683932670746827,83.0105190675078,2.0,88.5,1.9248587570621472,8.927509450638745,0.01
1.0,-1,4,99,-43.319623103334656,114.58472958551255,2.8000000000000003,122.5,1.9322448979591837,8.927509450638745,0.01
1.0,-1,5,275,-116.51436647216651,275.36412694029275,6.893907611920633,298.99999999999994,1.9710805955415764,8.927509450638745,0.01
1.0,-1,6,348,-150.0553081492884,339.29987399971446,8.557445888145843,371.0,1.9871865398746955,8.927509450638745,0.01
1.0,-1,7,420,-185.6976574804927,402.20067131502606,10.223234748694937,443.0,2.003340559462919,8.927509450638745,0.01
1.0,-1,8,491,-222.8844181950377,463.16145794513113,11.86852876171269,514.0,2.0193106406227512,8.927509450638745,0.01
3.0,1,1,20,-30.071074721148207,14.187775199625955,-63.25,33.25,2.7007518796992485,202.0249609270577,0.01
3.0,1,2,57,-45.65564317186158,21.582683951808423,-96.0,50.5,2.6999999999999997,202.0249609270577,0.01
3.0,1,3,139,-79.98900280625483,37.868316968951184,-168.0,88.5,2.6994350282485877,202.0249609270577,0.01
3.0,1,4,212,-110.7060625129116,52.44442508872901,-232.8,122.5,2.699183673469388,202.0249609270577,0.01
3.0,1,5,591,-270.01392320722147,128.4269491744031,-567.8107573342708,299.0,2.697629733997802,202.0249609270577,0.01
3.0,1,6,746,-334.92081702267666,159.59024508052724,-704.541662114785,371.0,2.696920005782604,202.0249609270577,0.01
3.0,1,7,900,-399.78335815061934,190.84618556789027,-841.2729253456215,443.0,2.696209119461536,202.0249609270577,0.01
3.0,1,8,1053,-463.7015013595765,221.75869235922767,-976.105562074663,513.9999999999999,2.695507448123588,202.0249609270577,0.01
3.0,-1,1,20,-30.071074721148207,14.187775199625955,-63.25,33.25,2.7007518796992485,202.0249609270577,0.01
3.0,-1,2,57,-45.655643171861584,21.582683951808445,-96.0,50.50000000000001,2.6999999999999993,202.0249609270577,0.01
3.0,-1,3,139,-80.03174079200461,37.77790975955903,-168.0,88.5,2.7005649717514126,202.0249609270577,0.01
3.0,-1,4,212,-110.79153847946499,52.26361068040772,-232.8,122.5,2.7008163265306124,202.0249609270577,0.01
3.0,-1,5,591,-270.65643421650617,127.06728381926663,-567.8107573342713,299.0,2.702659277305502,202.0249609270577,0.01
3.0,-1,6,746,-335.9430427505643,157.42703715528825,-704.5416621147856,371.0,2.7033690055207003,202.0249609270577,0.01
3.0,-1,7,900,-401.2730664906237,187.6937029023925,-841.272925345622,443.00000000000006,2.704079891841768,202.0249609270577,0.01
3.0,-1,8,1053,-465.7381463490315,217.44879635299915,-976.1055620746644,514.0,2.704781563179716,202.0249609270577,0.01
4.0,1,1,24,23.5215434646646,23.501053019809433,-75.5,33.25,0.7849624060150376,21.070010513281368,0.01
4.0,1,2,66,35.75313500890159,35.6645950073074,-114.4,50.5,0.7841584158415842,21.070010513281368,0.01
4.0,1,3,161,62.866598879219424,62.28997307239205,-200.8,88.5,0.7807909604519775,21.070010513281368,0.01
4.0,1,4,245,87.29763086958681,85.93819665641911,-277.6,122.5,0.7775510204081633,21.070010513281368,0.01
4.0,1,5,683,216.52272282818453,206.20114087722493,-678.0874319895128,298.99999999999994,0.760986171576593,21.070010513281368,0.01
4.0,1,6,861,270.39771489244873,254.0198334401116,-841.4337013832951,371.00000000000006,0.7541776981600922,21.070010513281368,0.01
4.0,1,7,1040,324.9352790957253,301.1080609996735,-1004.819392754286,443.0,0.7473565112123869,21.070010513281368,0.01
4.0,1,8,1216,379.3572507563968,346.8199479536151,-1165.981937154447,514.0,0.740621826363909,21.070010513281368,0.01
