event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight
1.0,1,1,9,-10.013142128653003,31.706458091552804,-3.5,33.25,1.8766917293233083,9.108631887542044,0.01
1.0,1,2,27,-15.04293689248527,48.20746881603208,-5.6000000000000005,50.49999999999999,1.8732673267326736,9.108631887542044,0.01
1.0,1,3,65,-25.756333189011325,84.66912838016366,-9.6,88.50000000000001,1.866101694915254,9.108631887542044,0.01
1.0,1,4,99,-34.83980099948329,117.44121195864936,-13.2,122.5,1.859183673469388,9.108631887542044,0.01
1.0,1,5,277,-73.99853929967368,289.6984918523303,-33.403998119159716,299.00000000000006,1.8208817784390356,9.108631887542044,0.01
1.0,1,6,350,-86.14508224499176,360.8601180582354,-38.87538492945577,371.0,1.8051321237204307,9.108631887542044,0.01
1.0,1,7,422,-95.93504472500737,432.4875341482236,-49.25588548571609,443.0,1.7890834001879663,9.108631887542044,0.01
1.0,1,8,494,-103.52423850267212,503.46671393692134,-55.794918860443964,513.9999999999999,1.7735925386439808,9.108631887542044,0.01
1.0,-1,1,9,-10.013142128653003,31.706458091552804,-3.5,33.25,1.8766917293233083,9.108631887542044,0.01
1.0,-1,2,27,-15.376684099114753,48.10205386588011,-5.6000000000000005,50.5,1.8801980198019803,9.108631887542044,0.01
1.0,-1,3,65,-27.520496686632512,84.11225988000231,-9.6,88.49999999999999,1.8870056497175145,9.108631887542044,0.01
1.0,-1,4,99,-38.93991890697048,116.14616961191,-13.2,122.5,1.8942857142857144,9.108631887542044,0.01
1.0,-1,5,277,-105.80329682802352,279.6545411401737,-33.187147511906076,298.99999999999994,1.932488235207274,9.108631887542044,0.01
1.0,-1,6,350,-136.76979667317994,344.8695734882638,-39.06420135537196,371.0,1.9483545165539538,9.108631887542044,0.01
1.0,-1,7,422,-169.77994067369832,409.17450035997535,-46.43775745767284,443.0,1.964109200824225,9.108631887542044,0.01
1.0,-1,8,494,-204.40793367374758,471.6072483022592,-56.424856710269914,514.0,1.979784116510694,9.108631887542044,0.01
3.0,1,1,20,-29.353809139752688,15.617822799192329,-62.25,33.25,2.6526315789473687,204.55647954522595,0.01
3.0,1,2,57,-44.57876826594881,23.727271648692263,-94.8,50.5,2.6524752475247526,204.55647954522595,0.01
3.0,1,3,138,-78.10247709252836,41.62034444849153,-166.0,88.49999999999999,2.651977401129944,204.55647954522595,0.01
3.0,1,4,210,-108.07631411396298,57.66940547239938,-229.6,122.5,2.651428571428572,204.55647954522595,0.01
3.0,1,5,585,-263.571685411297,141.17707550961774,-561.7847476766285,299.0,2.649848458520951,204.55647954522595,0.01
3.0,1,6,738,-326.9243510640493,175.38947711122876,-695.7423172504889,371.0,2.64918608623883,204.55647954522595,0.01
3.0,1,7,891,-390.203594804811,209.7383002729899,-831.4865860320498,443.0,2.64838930574719,204.55647954522595,0.01
3.0,1,8,1042,-452.59627893822505,243.62390747065933,-964.0134990181284,514.0,2.647791374112091,204.55647954522595,0.01
3.0,-1,1,20,-29.353809139752688,15.617822799192329,-62.25,33.25,2.6526315789473687,204.55647954522595,0.01
3.0,-1,2,57,-44.57876826594881,23.727271648692263,-94.8,50.50000000000001,2.6524752475247526,204.55647954522595,0.01
3.0,-1,3,138,-78.1259789452901,41.5762121151036,-166.0,88.5,2.652542372881356,204.55647954522595,0.01
3.0,-1,4,210,-108.17032416181485,57.49287756520712,-229.6,122.5,2.653061224489796,204.55647954522595,0.01
3.0,-1,5,585,-264.2570213369669,139.89005209132574,-561.0809187782336,299.0,2.654725119646765,204.55647954522595,0.01
3.0,-1,6,738,-328.0293036775534,173.31409616306297,-695.2604880790828,371.0,2.6555235545067664,204.55647954522595,0.01
3.0,-1,7,891,-391.83164161807116,206.6808279132039,-830.1969553970522,443.0,2.656208535979939,204.55647954522595,0.01
3.0,-1,8,1042,-454.8232555941005,239.4406109472317,-964.3056862379358,514.0,2.6570115126008207,204.55647954522595,0.01
4.0,1,1,29,19.167718121046143,27.169120008423523,-96.5,33.25,0.956390977443609,16.979292088752636,0.01
4.0,1,2,82,29.150872318316654,41.23683599745742,-146.4,50.5,0.9554455445544554,16.979292088752636,0.01
4.0,1,3,199,51.37722516412761,72.05991073013158,-256.8,88.5,0.9514124293785312,16.979292088752636,0.01
4.0,1,4,304,71.47968798519811,99.48318554177246,-355.6,122.5,0.9477551020408164,16.979292088752636,0.01
4.0,1,5,846,179.45229777980583,239.16076773072095,-869.0677675572649,298.99999999999994,0.9270765638680569,16.979292088752636,0.01
4.0,1,6,1067,225.13096050937048,294.884809069793,-1075.9810268375468,371.0,0.9187401730382813,16.979292088752636,0.01
4.0,1,7,1289,271.81696339930676,349.8064299128591,-1287.5098518555878,443.00000000000006,0.9102069986198846,16.979292088752636,0.01
4.0,1,8,1507,318.7825509745636,403.2042722915393,-1492.2100500943582,514.0,0.9017993091570086,16.979292088752636,0.01
4.0,-1,1,29,19.126840644979534,27.197912915177124,-96.5,33.25,0.9578947368421054,16.979292088752636,0.01
4.0,-1,2,82,29.02825825285945,41.32324071034721,-146.4,50.5,0.9584158415841584,16.979292088752636,0.01
4.0,-1,3,199,50.55972639510228,72.63583183837298,-256.8,88.5,0.9627118644067796,16.979292088752636,0.01
4.0,-1,4,304,69.59935152824116,100.80763992301534,-355.6,122.5,0.966530612244898,16.979292088752636,0.01
4.0,-1,5,846,164.78843505339248,249.49102523468426,-867.4937322412636,299.0,0.987076193743321,16.979292088752636,0.01
4.0,-1,6,1067,201.89175621924747,311.25667666848204,-1077.0213275623469,371.0,0.9953817765498976,16.979292088752636,0.01
4.0,-1,7,1289,237.89093338735313,373.7069758675825,-1286.2815915701067,443.0,1.003919700298783,16.979292088752636,0.01
4.0,-1,8,1507,272.36136261753643,435.9074307156496,-1492.7053668916565,514.0,1.0123302850754996,16.979292088752636,0.01
6.0,1,1,18,17.66954697974216,-28.16646249585994,51.75,33.25,-1.0105263157894735,4.484943220290583,0.01
6.0,1,2,49,26.65117735346165,-42.89481024173359,78.80000000000001,50.5,-1.0148514851485149,4.484943220290583,0.01
6.0,1,3,120,45.565754202070174,-75.8683863278805,137.6,88.5,-1.029943502824859,4.484943220290583,0.01
6.0,1,4,183,61.5370357536136,-105.92187323994268,190.8,122.5,-1.0444897959183674,4.484943220290583,0.01
6.0,1,5,511,129.67150001594592,-269.4184516391083,466.8428052738078,299.0,-1.1222191174740668,4.484943220290583,0.01
6.0,1,6,646,149.98927113004837,-339.3290711770461,580.8370836082643,371.0,-1.1546007326434562,4.484943220290583,0.01
6.0,1,7,781,165.75504270166235,-410.82145248145224,693.6961772220758,443.0,-1.1873002467020242,4.484943220290583,0.01
6.0,1,8,916,176.84138184438265,-482.6210994842323,806.4450826124796,514.0,-1.2195701557445375,4.484943220290583,0.01
6.0,-1,1,18,17.754178105477,-28.113193696181177,51.75,33.25,-1.0075187969924813,4.484943220290583,0.01
6.0,-1,2,49,27.20106590759264,-42.54823161414351,78.80000000000001,50.5,-1.001980198019802,4.484943220290583,0.01
6.0,-1,3,120,48.73865477528198,-73.87011256723441,137.6,88.5,-0.9875706214689266,4.484943220290583,0.01
6.0,-1,4,183,68.93953643763065,-101.26001340985788,190.8,122.5,-0.973061224489796,4.484943220290583,0.01
6.0,-1,5,511,187.02741607474726,-233.28468795959017,468.49854547423286,299.0,-0.8950116168739322,4.484943220290583,0.01
6.0,-1,6,646,241.2861812182135,-281.81905321168665,581.2279921576175,371.00000000000006,-0.8627287677859337,4.484943220290583,0.01
6.0,-1,7,781,298.8988869059671,-326.9685847392282,693.678529198267,443.0,-0.8302173966327534,4.484943220290583,0.01
6.0,-1,8,916,358.94448427986873,-367.90604399093394,807.8661988208191,514.0,-0.7977268407756144,4.484943220290583,0.01
8.0,1,1,28,-3.066657688845128,-33.10827858133743,92.5,33.24999999999999,-1.6631578947368426,7.300618836645946,0.01
8.0,1,2,79,-4.817448779131868,-50.26969452125645,140.4,50.5,-1.6663366336633665,7.300618836645946,0.01
