event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight
1.0,1,1,9,-10.013142128653003,31.706458091552804,-3.5,33.25,1.8766917293233085,9.108631887542044,0.01
1.0,1,2,27,-15.04293689248527,48.207468816032076,-5.6000000000000005,50.49999999999999,1.8732673267326736,9.108631887542044,0.01
1.0,1,3,65,-25.756333189011325,84.66912838016366,-9.600000000000001,88.50000000000001,1.866101694915254,9.108631887542044,0.01
1.0,1,4,99,-34.83980099948329,117.44121195864935,-13.200000000000001,122.5,1.8591836734693878,9.108631887542044,0.01
1.0,1,5,277,-73.9885011727543,289.7010557354069,-32.19761655592074,299.00000000000006,1.820847128336321,9.108631887542044,0.01
1.0,1,6,350,-86.12026406596597,360.8660417900364,-39.966440000469575,371.0,1.8050633492173112,9.108631887542044,0.01
1.0,1,7,422,-95.99980470006736,432.4731639044773,-47.745357257755806,443.0,1.7892331410376598,9.108631887542044,0.01
1.0,1,8,494,-103.51998099861753,503.4675893580895,-55.42807745332541,513.9999999999999,1.7735840822748996,9.108631887542044,0.01
1.0,-1,1,9,-10.013142128653003,31.706458091552804,-3.5,33.25,1.8766917293233085,9.108631887542044,0.01
1.0,-1,2,27,-15.376684099114753,48.10205386588011,-5.6000000000000005,50.5,1.8801980198019803,9.108631887542044,0.01
1.0,-1,3,65,-27.520496686632512,84.11225988000231,-9.600000000000001,88.49999999999999,1.8870056497175145,9.108631887542044,0.01
1.0,-1,4,99,-38.93991890697048,116.14616961191,-13.200000000000001,122.5,1.8942857142857144,9.108631887542044,0.01
1.0,-1,5,277,-105.80383110769576,279.65433900251605,-32.197616555920725,298.99999999999994,1.9324901457067896,9.108631887542044,0.01
1.0,-1,6,350,-136.7420025941329,344.88059488255664,-39.96644000046954,371.0,1.9482739248257992,9.108631887542044,0.01
1.0,-1,7,422,-169.77786704930324,409.1753607686918,-47.74535725775576,443.0,1.9641041330054507,9.108631887542044,0.01
1.0,-1,8,494,-204.3933492433012,471.6135693394602,-55.42807745332536,514.0,1.9797531917682103,9.108631887542044,0.01
3.0,1,1,20,-29.353809139752688,15.617822799192329,-62.25,33.25,2.6526315789473687,204.55647954522595,0.01
3.0,1,2,57,-44.57876826594881,23.727271648692263,-94.80000000000001,50.5,2.6524752475247526,204.55647954522595,0.01
3.0,1,3,138,-78.10247709252836,41.62034444849153,-166.0,88.49999999999999,2.651977401129944,204.55647954522595,0.01
3.0,1,4,210,-108.07631411396298,57.66940547239938,-229.60000000000002,122.5,2.6514285714285717,204.55647954522595,0.01
3.0,1,5,585,-263.5657654091918,141.1881273488209,-560.6724438596668,299.0,2.649806526993664,204.55647954522595,0.01
3.0,1,6,738,-326.9102302959637,175.41579554829144,-695.6844031937449,371.0,2.649105581359465,204.55647954522595,0.01
3.0,1,7,891,-390.20657054975567,209.7327640112497,-830.6967077605412,443.0,2.648403493829268,204.55647954522595,0.01
3.0,1,8,1042,-452.5765759600122,243.66050745311875,-963.8342448189286,514.0,2.6477105056188712,204.55647954522595,0.01
