pileup_event,particle_id,pdg_id,charge,mass,pT,eta,layer_id,trajectory_step,x,y,z,r,phi,pileup_z0
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,1,41,29.634448854536625,-15.078525826083034,-88.0,33.25,-0.4706766917293233,-64.07212664045841
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,2,63,45.59151938026683,-21.717812058279584,-100.4,50.5,-0.4445544554455446,-64.07212664045841
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,3,111,81.9359506787608,-33.44772019686359,-128.0,88.5,-0.3875706214689266,-64.07212664045841
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,4,154,115.6696998002111,-40.33324370948909,-152.8,122.5,-0.3355102040816327,-64.07212664045841
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,5,387,298.5540524155227,-16.324147336671235,-287.58904195977044,299.0,-0.0546229692464905,-64.07212664045841
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,6,492,370.07046029884543,26.246036161688007,-347.7346464463531,371.0,0.0708031750646902,-64.07212664045841
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,7,606,433.4596232209298,91.44263249256066,-413.48228323186777,443.0,0.2079114473699117,-64.07212664045841
1,1,-211,-1.0,0.13957,0.6657625124611152,-0.669600141560989,8,734,480.6590246219894,182.10684240148092,-487.4484966784578,514.0,0.3621584180340999,-64.07212664045841
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,1,71,26.687588955032247,-19.832677473484026,-1.5,33.25,-0.6390977443609023,-64.07212664045841
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,2,108,40.33799929101874,-30.382491885916313,30.8,50.49999999999999,-0.6455445544554457,-64.07212664045841
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,3,190,69.9510834281791,-54.213429399217375,102.4,88.5,-0.6593220338983051,-64.07212664045841
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,4,264,95.90938358194452,-76.20787453361648,166.4,122.5,-0.6714285714285714,-64.07212664045841
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,5,645,221.8816466772587,-200.42338902380652,499.0303046456443,298.99999999999994,-0.7346296031534741,-64.07212664045841
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,6,802,268.7842353800009,-255.7264843757649,635.3502244364879,371.00000000000006,-0.7605081965577267,-64.07212664045841
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,7,959,312.9103214617801,-313.58592239238914,772.1430874018315,443.00000000000006,-0.7864765428376295,-64.07212664045841
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,8,1114,353.5859119931915,-373.05898037702167,907.5949834026404,514.0,-0.8121903544243725,-64.07212664045841
