event,found,delta_s,delta_w,n_hits,reason
5.0,False,,,30,no valid outer-layer seed pairs
19.0,False,,,21,no valid outer-layer seed pairs
29.0,False,,,24,no valid outer-layer seed pairs
53.0,False,,,30,no valid outer-layer seed pairs
70.0,False,,,24,no valid outer-layer seed pairs
76.0,False,,,25,no valid outer-layer seed pairs
87.0,False,,,22,no valid outer-layer seed pairs
88.0,False,,,22,no valid outer-layer seed pairs
100.0,False,,,27,no exact8 plane survived
111.0,False,,,24,no valid outer-layer seed pairs
125.0,False,,,21,no valid outer-layer seed pairs
127.0,False,,,22,no valid outer-layer seed pairs
138.0,False,,,29,no exact8 plane survived
143.0,False,,,27,no valid outer-layer seed pairs
154.0,False,,,26,no valid outer-layer seed pairs
169.0,False,,,27,no exact8 plane survived
181.0,False,,,25,no exact8 plane survived
193.0,False,,,28,no valid outer-layer seed pairs
212.0,False,,,22,no valid outer-layer seed pairs
237.0,False,,,24,no valid outer-layer seed pairs
250.0,False,,,28,no valid outer-layer seed pairs
273.0,False,,,22,no valid outer-layer seed pairs
284.0,False,,,27,no exact8 plane survived
285.0,False,,,23,no valid outer-layer seed pairs
287.0,False,,,21,no valid outer-layer seed pairs
295.0,False,,,28,no valid outer-layer seed pairs
302.0,False,,,21,no valid outer-layer seed pairs
307.0,False,,,31,no valid outer-layer seed pairs
310.0,False,,,27,no valid outer-layer seed pairs
354.0,False,,,23,no valid outer-layer seed pairs
356.0,False,,,26,no exact8 plane survived
367.0,False,,,21,no exact8 plane survived
381.0,False,,,21,no valid outer-layer seed pairs
413.0,False,,,21,no valid outer-layer seed pairs
432.0,False,,,24,no exact8 plane survived
434.0,True,0.0007370257886792521,4.0775406480983944,23,
441.0,False,,,24,no valid outer-layer seed pairs
442.0,False,,,25,no valid outer-layer seed pairs
443.0,False,,,25,no exact8 plane survived
448.0,False,,,26,no valid outer-layer seed pairs
454.0,False,,,22,no exact8 plane survived
468.0,True,0.004263635732818934,2.720226358325497,27,
470.0,False,,,31,no valid outer-layer seed pairs
474.0,False,,,29,no exact8 plane survived
506.0,False,,,23,no exact8 plane survived
533.0,False,,,23,no valid outer-layer seed pairs
535.0,False,,,29,no valid outer-layer seed pairs
541.0,False,,,27,no valid outer-layer seed pairs
558.0,False,,,26,no exact8 plane survived
572.0,False,,,23,no valid outer-layer seed pairs
579.0,False,,,21,no exact8 plane survived
585.0,False,,,30,no valid outer-layer seed pairs
592.0,False,,,29,no valid outer-layer seed pairs
616.0,False,,,21,no valid outer-layer seed pairs
622.0,False,,,21,no valid outer-layer seed pairs
648.0,False,,,29,no exact8 plane survived
656.0,False,,,25,no exact8 plane survived
661.0,False,,,26,no exact8 plane survived
663.0,False,,,21,no valid outer-layer seed pairs
671.0,False,,,26,no valid outer-layer seed pairs
675.0,False,,,22,no valid outer-layer seed pairs
679.0,True,0.005650766986282328,3.667547265111275,25,
693.0,False,,,20,no exact8 plane survived
712.0,False,,,29,no valid outer-layer seed pairs
714.0,True,0.01889019389217445,4.154982153062827,26,
755.0,False,,,25,no exact8 plane survived
758.0,False,,,21,no valid outer-layer seed pairs
760.0,False,,,23,no exact8 plane survived
764.0,False,,,25,no valid outer-layer seed pairs
767.0,False,,,25,no valid outer-layer seed pairs
774.0,True,0.006536303512632268,2.459758977894058,22,
777.0,False,,,25,no exact8 plane survived
793.0,False,,,25,no valid outer-layer seed pairs
797.0,False,,,25,no valid outer-layer seed pairs
800.0,False,,,22,no valid outer-layer seed pairs
803.0,False,,,32,no valid outer-layer seed pairs
810.0,False,,,24,no exact8 plane survived
832.0,True,0.0016884375066527717,3.9532198730851027,22,
833.0,False,,,28,no valid outer-layer seed pairs
835.0,False,,,21,no exact8 plane survived
850.0,False,,,25,no valid outer-layer seed pairs
851.0,False,,,26,no valid outer-layer seed pairs
861.0,False,,,24,no exact8 plane survived
866.0,False,,,24,no exact8 plane survived
882.0,True,0.014566098669034922,4.182941933477828,21,
886.0,False,,,34,no exact8 plane survived
914.0,False,,,24,no valid outer-layer seed pairs
917.0,False,,,21,no valid outer-layer seed pairs
939.0,False,,,25,no valid outer-layer seed pairs
948.0,False,,,24,no valid outer-layer seed pairs
962.0,False,,,24,no valid outer-layer seed pairs
966.0,False,,,23,no exact8 plane survived
1018.0,False,,,28,no valid outer-layer seed pairs
1034.0,True,0.0043732337132770084,2.7487745357299818,20,
1044.0,False,,,23,no valid outer-layer seed pairs
1048.0,False,,,23,no valid outer-layer seed pairs
1066.0,True,0.008270545615578965,4.145595169128246,21,
1088.0,False,,,21,no valid outer-layer seed pairs
1092.0,False,,,22,no valid outer-layer seed pairs
1116.0,False,,,25,no exact8 plane survived
1148.0,False,,,28,no valid outer-layer seed pairs
1163.0,False,,,24,no exact8 plane survived
1180.0,False,,,28,no valid outer-layer seed pairs
1186.0,False,,,23,no valid outer-layer seed pairs
1200.0,False,,,23,no exact8 plane survived
1203.0,False,,,23,no exact8 plane survived
1204.0,False,,,29,no valid outer-layer seed pairs
1205.0,False,,,18,no valid outer-layer seed pairs
1208.0,False,,,26,no valid outer-layer seed pairs
1217.0,False,,,22,no valid outer-layer seed pairs
1231.0,False,,,26,no exact8 plane survived
1253.0,False,,,27,no valid outer-layer seed pairs
1254.0,False,,,22,no valid outer-layer seed pairs
1269.0,False,,,25,no valid outer-layer seed pairs
1270.0,False,,,26,no valid outer-layer seed pairs
1279.0,False,,,26,no exact8 plane survived
1286.0,False,,,25,no valid outer-layer seed pairs
1294.0,False,,,27,no valid outer-layer seed pairs
1302.0,False,,,23,no exact8 plane survived
1312.0,False,,,20,no valid outer-layer seed pairs
1352.0,False,,,28,no valid outer-layer seed pairs
1365.0,False,,,23,no valid outer-layer seed pairs
1370.0,False,,,24,no valid outer-layer seed pairs
1371.0,False,,,29,no exact8 plane survived
1374.0,False,,,26,no valid outer-layer seed pairs
1379.0,True,0.0018118965292859043,4.562204164013796,24,
1413.0,False,,,23,no valid outer-layer seed pairs
1421.0,False,,,28,no valid outer-layer seed pairs
1428.0,False,,,25,no valid outer-layer seed pairs
1433.0,False,,,22,no valid outer-layer seed pairs
1439.0,False,,,26,no valid outer-layer seed pairs
1444.0,False,,,23,no exact8 plane survived
1448.0,False,,,31,no valid outer-layer seed pairs
1452.0,False,,,29,no valid outer-layer seed pairs
1460.0,False,,,23,no valid outer-layer seed pairs
1466.0,False,,,26,no valid outer-layer seed pairs
1487.0,False,,,23,no valid outer-layer seed pairs
1488.0,False,,,23,no exact8 plane survived
1493.0,False,,,25,no valid outer-layer seed pairs
1503.0,False,,,29,no valid outer-layer seed pairs
1505.0,False,,,34,no valid outer-layer seed pairs
1518.0,True,0.018402953735763287,4.4189331508120375,23,
1545.0,False,,,23,no exact8 plane survived
1549.0,False,,,28,no valid outer-layer seed pairs
