event,found,delta_s,delta_w,n_hits
5.0,False,,,30
19.0,False,,,21
29.0,False,,,24
53.0,False,,,30
70.0,True,0.0002952664120570787,2.9285510019029144,24
76.0,False,,,25
87.0,False,,,22
88.0,False,,,22
100.0,False,,,27
111.0,True,0.00038852088044917174,5.990722251205456,24
125.0,False,,,21
127.0,False,,,22
138.0,False,,,29
143.0,False,,,27
154.0,False,,,26
169.0,False,,,27
181.0,False,,,25
193.0,False,,,28
212.0,False,,,22
237.0,False,,,24
250.0,True,0.0001631528080748715,1.9979047050761882,28
273.0,False,,,22
284.0,False,,,27
285.0,False,,,23
287.0,False,,,21
295.0,False,,,28
302.0,False,,,21
307.0,False,,,31
310.0,False,,,27
354.0,False,,,23
356.0,False,,,26
367.0,False,,,21
381.0,False,,,21
413.0,True,0.009790929164224998,3.2630310913567127,21
432.0,False,,,24
434.0,False,,,23
441.0,False,,,24
442.0,True,0.0038531817347464727,1.6945184822750925,25
443.0,False,,,25
448.0,False,,,26
454.0,False,,,22
468.0,False,,,27
470.0,False,,,31
474.0,False,,,29
506.0,False,,,23
533.0,False,,,23
535.0,False,,,29
541.0,True,1.8286275591724667e-05,0.6655540526468413,27
558.0,False,,,26
572.0,False,,,23
579.0,False,,,21
585.0,True,0.007388241486993236,2.2135503496376865,30
592.0,False,,,29
616.0,False,,,21
622.0,True,0.007240543414080519,2.4885052494440796,21
648.0,False,,,29
656.0,False,,,25
661.0,False,,,26
663.0,False,,,21
671.0,False,,,26
675.0,False,,,22
679.0,False,,,25
693.0,False,,,20
712.0,False,,,29
714.0,False,,,26
755.0,False,,,25
758.0,False,,,21
760.0,False,,,23
764.0,False,,,25
767.0,False,,,25
774.0,False,,,22
777.0,False,,,25
793.0,False,,,25
797.0,False,,,25
800.0,False,,,22
803.0,True,0.00020148898733111096,2.2438725888483004,32
810.0,False,,,24
832.0,False,,,22
833.0,False,,,28
835.0,False,,,21
850.0,False,,,25
851.0,False,,,26
861.0,False,,,24
866.0,False,,,24
882.0,False,,,21
886.0,False,,,34
914.0,False,,,24
917.0,False,,,21
939.0,False,,,25
948.0,False,,,24
962.0,False,,,24
966.0,False,,,23
1018.0,False,,,28
1034.0,False,,,20
1044.0,False,,,23
1048.0,False,,,23
1066.0,False,,,21
1088.0,False,,,21
1092.0,False,,,22
1116.0,False,,,25
1148.0,False,,,28
1163.0,False,,,24
1180.0,False,,,28
1186.0,False,,,23
1200.0,False,,,23
1203.0,False,,,23
1204.0,False,,,29
1205.0,False,,,18
1208.0,False,,,26
1217.0,False,,,22
1231.0,False,,,26
1253.0,True,5.4926505890068906e-05,1.1147263656002548,27
1254.0,False,,,22
1269.0,False,,,25
1270.0,False,,,26
1279.0,False,,,26
1286.0,False,,,25
1294.0,False,,,27
1302.0,False,,,23
1312.0,False,,,20
1352.0,False,,,28
1365.0,True,0.038426354096799606,6.947389674135909,23
1370.0,False,,,24
1371.0,False,,,29
1374.0,False,,,26
1379.0,False,,,24
1413.0,False,,,23
1421.0,True,0.001581061015204572,7.344464402390635,28
1428.0,True,8.93461908128713e-05,4.753414498576493,25
1433.0,False,,,22
1439.0,False,,,26
1444.0,False,,,23
1448.0,True,0.00012991919801716,2.9971879726617856,31
1452.0,False,,,29
1460.0,False,,,23
1466.0,True,0.0007781527952342468,8.405295122756868,26
1487.0,False,,,23
1488.0,False,,,23
1493.0,False,,,25
1503.0,False,,,29
1505.0,False,,,34
1518.0,True,0.00010349268095453239,2.9455091778070512,23
1545.0,False,,,23
1549.0,False,,,28
1554.0,True,0.0006999208431039773,5.747104661202834,32
1598.0,False,,,21
1630.0,False,,,25
1631.0,False,,,21
1655.0,True,0.0031585167111701008,7.622085387994861,26
1684.0,False,,,23
1687.0,False,,,22
1691.0,False,,,24
1709.0,False,,,23
1728.0,False,,,22
1738.0,False,,,29
1777.0,False,,,25
1791.0,False,,,25
1796.0,False,,,27
1799.0,False,,,24
1802.0,False,,,23
1813.0,False,,,26
1836.0,False,,,25
1838.0,False,,,25
1840.0,False,,,20
1866.0,False,,,22
1883.0,False,,,25
1886.0,False,,,26
1902.0,False,,,24
1913.0,False,,,27
1914.0,False,,,29
1918.0,False,,,22
1975.0,False,,,21
1980.0,False,,,22
1981.0,False,,,25
1983.0,False,,,24
1989.0,False,,,20
1992.0,False,,,31
2009.0,False,,,27
2012.0,False,,,27
2023.0,False,,,27
2032.0,False,,,21
2035.0,False,,,26
2041.0,False,,,18
2050.0,False,,,26
2075.0,False,,,26
2078.0,False,,,23
2096.0,False,,,24
2103.0,False,,,26
2108.0,False,,,21
2116.0,True,0.015757103841034976,4.090893660053198,27
2123.0,False,,,24
2131.0,False,,,26
2137.0,False,,,23
2145.0,False,,,24
2149.0,False,,,24
2165.0,True,0.005372019700406032,2.863731161141812,22
2182.0,False,,,23
2200.0,False,,,22
2204.0,False,,,22
2208.0,False,,,30
2215.0,False,,,24
2216.0,True,0.003153992000406227,8.601721851898349,26
2234.0,False,,,25
2237.0,True,2.6865012570567496e-05,0.6090308373507787,30
2239.0,True,0.08639660407619025,7.978554600722734,30
2244.0,False,,,24
2247.0,False,,,26
2282.0,True,0.0005812790170710952,6.266460349511857,26
2285.0,False,,,21
2307.0,False,,,27
2321.0,False,,,23
2322.0,False,,,22
2326.0,False,,,18
