event,found,delta_s,delta_w,reason
414.0,False,,,no valid outer-layer seed pairs
533.0,False,,,no valid outer-layer seed pairs
551.0,False,,,no valid outer-layer seed pairs
866.0,False,,,no exact8 plane survived
885.0,False,,,no valid outer-layer seed pairs
951.0,False,,,no valid outer-layer seed pairs
1201.0,False,,,no valid outer-layer seed pairs
1272.0,False,,,no valid outer-layer seed pairs
1346.0,False,,,no valid outer-layer seed pairs
1516.0,False,,,no valid outer-layer seed pairs
1530.0,False,,,no valid outer-layer seed pairs
1742.0,False,,,no valid outer-layer seed pairs
2016.0,False,,,no valid outer-layer seed pairs
2270.0,False,,,no valid outer-layer seed pairs
2533.0,False,,,no valid outer-layer seed pairs
2547.0,False,,,no valid outer-layer seed pairs
2736.0,False,,,no valid outer-layer seed pairs
2759.0,False,,,no valid outer-layer seed pairs
3035.0,False,,,no valid outer-layer seed pairs
3181.0,False,,,no valid outer-layer seed pairs
3249.0,False,,,no valid outer-layer seed pairs
3429.0,False,,,no valid outer-layer seed pairs
3623.0,False,,,no valid outer-layer seed pairs
4178.0,False,,,no valid outer-layer seed pairs
4219.0,False,,,no valid outer-layer seed pairs
4302.0,False,,,no valid outer-layer seed pairs
4470.0,False,,,no valid outer-layer seed pairs
4539.0,False,,,no valid outer-layer seed pairs
4611.0,False,,,no valid outer-layer seed pairs
5066.0,False,,,no valid outer-layer seed pairs
5319.0,False,,,no valid outer-layer seed pairs
5377.0,False,,,no valid outer-layer seed pairs
5628.0,False,,,no valid outer-layer seed pairs
5817.0,False,,,no valid outer-layer seed pairs
6050.0,False,,,no valid outer-layer seed pairs
6206.0,False,,,no valid outer-layer seed pairs
6495.0,False,,,no valid outer-layer seed pairs
6745.0,False,,,no valid outer-layer seed pairs
6895.0,False,,,no valid outer-layer seed pairs
7576.0,False,,,no exact8 plane survived
7601.0,False,,,no exact8 plane survived
7617.0,False,,,no valid outer-layer seed pairs
8000.0,False,,,no valid outer-layer seed pairs
8632.0,False,,,no valid outer-layer seed pairs
8954.0,False,,,no valid outer-layer seed pairs
9001.0,False,,,no exact8 plane survived
9413.0,False,,,no valid outer-layer seed pairs
9577.0,False,,,no valid outer-layer seed pairs
9677.0,False,,,no valid outer-layer seed pairs
9730.0,False,,,no valid outer-layer seed pairs
