event,found,delta_s,delta_w,n_hits
414.0,False,,,29
533.0,False,,,23
551.0,False,,,25
866.0,False,,,24
885.0,False,,,23
951.0,False,,,26
1201.0,False,,,32
1272.0,False,,,21
1346.0,False,,,21
1516.0,False,,,26
1530.0,False,,,30
1742.0,False,,,19
2016.0,False,,,26
2270.0,False,,,25
2533.0,False,,,29
2547.0,False,,,32
2736.0,False,,,30
2759.0,False,,,21
3035.0,False,,,16
3181.0,False,,,28
3249.0,False,,,24
3429.0,False,,,28
3623.0,False,,,26
4178.0,False,,,23
4219.0,False,,,31
4302.0,False,,,23
4470.0,False,,,20
4539.0,False,,,28
4611.0,False,,,27
5066.0,False,,,14
5319.0,False,,,26
5377.0,False,,,13
5628.0,False,,,23
5817.0,False,,,23
6050.0,False,,,14
6206.0,False,,,23
6495.0,False,,,26
6745.0,False,,,24
6895.0,False,,,20
7576.0,False,,,28
7601.0,False,,,20
7617.0,False,,,22
8000.0,False,,,26
8632.0,False,,,22
8954.0,False,,,23
9001.0,False,,,26
9413.0,False,,,14
9577.0,False,,,22
9677.0,False,,,24
9730.0,False,,,24
