event,found,delta_s,delta_w,n_hits
53.0,False,,,30
442.0,True,0.0038531817347464727,1.6945184822750925,25
622.0,True,0.007240543414080519,2.4885052494440796,21
675.0,False,,,22
774.0,False,,,22
777.0,False,,,25
800.0,False,,,22
810.0,False,,,24
850.0,False,,,25
1044.0,False,,,23
1148.0,False,,,28
1205.0,False,,,18
1270.0,False,,,26
1370.0,False,,,24
1379.0,False,,,24
1684.0,False,,,23
1914.0,False,,,29
2396.0,False,,,20
2484.0,False,,,25
2691.0,False,,,24
2844.0,False,,,22
3000.0,False,,,28
3042.0,False,,,20
3163.0,False,,,20
3287.0,False,,,25
3315.0,False,,,22
3344.0,False,,,24
3585.0,False,,,22
3604.0,False,,,26
3616.0,False,,,23
3648.0,False,,,28
3659.0,False,,,26
3767.0,False,,,24
4053.0,False,,,34
4347.0,False,,,25
4477.0,False,,,27
4512.0,True,0.0013202213744392143,6.510844449354397,24
4622.0,False,,,22
4761.0,False,,,28
4854.0,False,,,29
4989.0,False,,,23
4991.0,False,,,25
5200.0,False,,,28
5227.0,True,4.944305561740971e-05,1.0404166537124238,26
5271.0,False,,,19
5401.0,False,,,27
5423.0,False,,,21
5428.0,True,0.0012989443893101794,3.7467730128073935,23
5475.0,False,,,25
5675.0,False,,,28
5702.0,False,,,31
5736.0,True,0.020943623059633987,5.9205529783479705,20
5797.0,False,,,23
5853.0,True,0.02067946822950951,4.822607192574418,28
6193.0,False,,,21
6317.0,False,,,31
6399.0,False,,,22
6407.0,False,,,25
6440.0,False,,,23
6692.0,False,,,29
6885.0,False,,,22
6922.0,False,,,24
7045.0,False,,,21
7307.0,False,,,27
7327.0,False,,,25
7331.0,True,0.0017568606241612945,2.7014102668219664,25
7351.0,False,,,22
7446.0,True,0.0011661880980375322,9.849814569423168,29
7500.0,False,,,24
7528.0,False,,,22
7768.0,False,,,22
7800.0,True,0.007254200171048811,5.498342225584949,22
7892.0,False,,,26
7918.0,False,,,22
7982.0,False,,,25
8119.0,False,,,21
8289.0,False,,,21
8378.0,False,,,24
8401.0,False,,,23
8443.0,False,,,23
8666.0,False,,,27
8671.0,False,,,27
8810.0,False,,,22
8882.0,False,,,22
8926.0,False,,,22
8973.0,False,,,22
9026.0,False,,,29
9113.0,False,,,23
9140.0,True,0.04779689593768984,7.160741391775548,22
9329.0,False,,,28
9367.0,False,,,24
9415.0,False,,,26
9640.0,False,,,26
9771.0,False,,,27
