event,reason
2.0,seed_ds_fail
3.0,seed_dw_fail
4.0,no_outer_pairs
5.0,no_outer_pairs
7.0,seed_dw_fail
8.0,seed_dw_fail
10.0,no_outer_pairs
13.0,seed_ds_fail
14.0,no_outer_pairs
15.0,seed_ds_fail
17.0,seed_dw_fail
18.0,no_outer_pairs
19.0,no_outer_pairs
20.0,no_outer_pairs
21.0,no_outer_pairs
22.0,no_outer_pairs
24.0,seed_dw_fail
26.0,no_outer_pairs
27.0,no_outer_pairs
28.0,no_outer_pairs
29.0,seed_dw_fail
31.0,no_outer_pairs
32.0,seed_ds_fail
33.0,no_outer_pairs
34.0,seed_dw_fail
36.0,no_outer_pairs
37.0,seed_dw_fail
38.0,seed_dw_fail
39.0,seed_ds_fail
40.0,no_outer_pairs
41.0,seed_dw_fail
43.0,seed_ds_fail
44.0,seed_ds_fail
45.0,no_outer_pairs
46.0,no_outer_pairs
48.0,final_ds_fail
49.0,seed_ds_fail
50.0,no_outer_pairs
52.0,no_outer_pairs
55.0,no_outer_pairs
56.0,seed_ds_fail
57.0,seed_ds_fail
59.0,seed_ds_fail
60.0,seed_ds_fail
62.0,no_outer_pairs
63.0,final_ds_fail
64.0,seed_ds_fail
65.0,no_outer_pairs
66.0,no_outer_pairs
69.0,seed_dw_fail
70.0,seed_ds_fail
71.0,no_outer_pairs
72.0,no_outer_pairs
74.0,no_outer_pairs
75.0,seed_dw_fail
77.0,final_ds_fail
78.0,no_outer_pairs
79.0,seed_ds_fail
81.0,no_outer_pairs
82.0,seed_ds_fail
83.0,no_outer_pairs
85.0,seed_ds_fail
87.0,no_outer_pairs
89.0,final_ds_fail
90.0,no_outer_pairs
91.0,seed_dw_fail
92.0,seed_dw_fail
94.0,seed_ds_fail
95.0,seed_dw_fail
96.0,no_outer_pairs
97.0,seed_dw_fail
98.0,no_outer_pairs
99.0,seed_ds_fail
100.0,no_outer_pairs
101.0,seed_dw_fail
103.0,no_outer_pairs
105.0,seed_ds_fail
108.0,no_outer_pairs
109.0,coverage_2hit_fail
110.0,seed_ds_fail
111.0,seed_ds_fail
112.0,seed_ds_fail
114.0,seed_ds_fail
115.0,seed_dw_fail
116.0,seed_dw_fail
117.0,no_outer_pairs
118.0,no_outer_pairs
119.0,no_outer_pairs
120.0,seed_dw_fail
121.0,seed_ds_fail
123.0,seed_dw_fail
125.0,no_outer_pairs
126.0,seed_ds_fail
127.0,seed_dw_fail
128.0,seed_ds_fail
129.0,no_outer_pairs
130.0,no_outer_pairs
131.0,seed_ds_fail
132.0,final_ds_fail
133.0,no_outer_pairs
135.0,final_ds_fail
136.0,seed_ds_fail
138.0,seed_ds_fail
139.0,seed_ds_fail
141.0,no_outer_pairs
142.0,seed_dw_fail
144.0,seed_dw_fail
145.0,no_outer_pairs
146.0,seed_ds_fail
