event,photon_pT,weight,found,pT_bin
2.0,48.350277237637215,0.01,False,>20
3.0,47.54800641016002,0.01,False,>20
4.0,16.483321659111457,0.01,False,5-20
5.0,12.774309851914332,0.01,False,5-20
7.0,23.021788705138967,0.01,False,>20
8.0,24.24634810176271,0.01,False,>20
10.0,17.96214608728148,0.01,False,5-20
13.0,19.63702502724616,0.01,False,5-20
14.0,11.868590176714402,0.01,False,5-20
15.0,74.01545084851018,0.01,False,>20
17.0,24.8603588185733,0.01,False,>20
18.0,16.761479079572354,0.01,False,5-20
19.0,18.42165394370655,0.01,False,5-20
20.0,17.37607845417396,0.01,False,5-20
21.0,13.883915454200858,0.01,False,5-20
22.0,12.42087794514057,0.01,False,5-20
24.0,22.46017710856511,0.01,False,>20
26.0,18.34267034279568,0.01,False,5-20
27.0,14.171801602404685,0.01,False,5-20
28.0,11.446201842001454,0.01,False,5-20
29.0,47.94022684772855,0.01,False,>20
31.0,15.226291791717316,0.01,False,5-20
32.0,23.78242138601016,0.01,False,>20
33.0,10.103415163726345,0.01,False,5-20
34.0,30.938474815687428,0.01,False,>20
36.0,13.245555596798075,0.01,False,5-20
37.0,21.5385333590844,0.01,False,>20
38.0,35.344448531932784,0.01,False,>20
39.0,31.511907055228363,0.01,False,>20
40.0,8.69070266324446,0.01,False,5-20
41.0,21.009505489922663,0.01,False,>20
43.0,26.975789555489765,0.01,False,>20
44.0,22.10071709711522,0.01,False,>20
45.0,10.634668410159986,0.01,False,5-20
46.0,15.289175770967644,0.01,False,5-20
48.0,272.0767448845086,0.01,False,>20
49.0,33.52600795280153,0.01,False,>20
50.0,10.864751944521956,0.01,False,5-20
52.0,11.375909361795577,0.01,False,5-20
55.0,9.875264294930243,0.01,False,5-20
56.0,28.51161582641021,0.01,False,>20
57.0,20.65656275077251,0.01,False,>20
59.0,64.85839726973856,0.01,False,>20
60.0,38.86262621614621,0.01,False,>20
62.0,12.81839601665093,0.01,False,5-20
63.0,104.0752558631664,0.01,False,>20
64.0,58.08918179955129,0.01,False,>20
65.0,11.416936087142972,0.01,False,5-20
66.0,12.746765204304303,0.01,False,5-20
69.0,29.605424052960867,0.01,False,>20
70.0,82.84742645308187,0.01,False,>20
71.0,17.158210339641744,0.01,False,5-20
72.0,7.748710113667967,0.01,False,5-20
74.0,15.033467853724344,0.01,False,5-20
