event,hard_found,combined_found,transition,hard_hits,combined_premerge_hits,combined_postmerge_hits,combined_ds,combined_dw
1.0,False,False,0->0,16,3226,3225,,
3.0,False,False,0->0,16,3539,3536,,
4.0,False,False,0->0,16,2921,2920,,
6.0,False,False,0->0,16,3714,3714,,
8.0,False,False,0->0,16,3059,3056,,
10.0,False,False,0->0,16,4123,4121,,
11.0,False,False,0->0,16,5311,5310,,
13.0,False,False,0->0,16,4314,4310,,
15.0,False,False,0->0,16,3016,3014,,
17.0,False,False,0->0,16,2826,2824,,
18.0,False,False,0->0,16,4713,4710,,
19.0,False,False,0->0,16,4693,4688,,
21.0,False,False,0->0,16,3307,3304,,
22.0,False,False,0->0,16,2460,2459,,
23.0,False,False,0->0,16,3023,3023,,
24.0,False,False,0->0,16,3199,3198,,
25.0,False,False,0->0,16,5037,5032,,
26.0,False,False,0->0,16,3335,3334,,
27.0,False,False,0->0,16,3537,3537,,
30.0,False,False,0->0,16,3182,3181,,
31.0,False,False,0->0,16,3510,3509,,
32.0,False,False,0->0,16,3337,3336,,
33.0,False,False,0->0,16,2680,2679,,
34.0,False,False,0->0,16,3649,3649,,
35.0,False,False,0->0,16,4250,4249,,
37.0,False,False,0->0,16,3029,3028,,
38.0,False,False,0->0,14,2569,2569,,
40.0,False,False,0->0,16,2178,2175,,
41.0,False,False,0->0,16,2880,2878,,
45.0,False,False,0->0,16,2700,2696,,
46.0,False,False,0->0,16,3845,3843,,
47.0,False,False,0->0,16,2833,2832,,
48.0,False,False,0->0,16,3902,3899,,
49.0,False,False,0->0,16,2514,2511,,
50.0,False,False,0->0,16,3799,3797,,
53.0,False,False,0->0,16,2237,2237,,
54.0,False,False,0->0,16,3024,3023,,
55.0,False,False,0->0,16,2738,2735,,
56.0,False,False,0->0,16,3356,3355,,
58.0,False,False,0->0,16,4084,4083,,
59.0,False,False,0->0,12,3473,3473,,
60.0,False,False,0->0,16,2980,2979,,
63.0,False,False,0->0,16,4454,4449,,
64.0,False,False,0->0,16,3013,3011,,
65.0,False,False,0->0,16,2899,2898,,
67.0,False,False,0->0,16,4098,4095,,
68.0,False,False,0->0,16,3101,3101,,
69.0,False,False,0->0,16,2132,2130,,
70.0,False,False,0->0,16,2991,2990,,
73.0,False,False,0->0,16,3786,3785,,
74.0,False,False,0->0,16,2084,2083,,
75.0,False,False,0->0,16,3806,3804,,
77.0,False,False,0->0,16,3545,3543,,
79.0,False,False,0->0,16,4809,4807,,
83.0,False,False,0->0,16,5642,5638,,
86.0,False,False,0->0,16,3570,3570,,
87.0,False,False,0->0,16,2203,2203,,
88.0,False,False,0->0,16,2364,2362,,
89.0,False,False,0->0,16,3423,3421,,
91.0,False,False,0->0,16,3971,3969,,
92.0,False,False,0->0,16,2315,2314,,
95.0,False,False,0->0,16,3653,3651,,
96.0,False,False,0->0,16,2407,2406,,
99.0,False,False,0->0,16,2031,2028,,
100.0,False,False,0->0,16,3663,3659,,
101.0,False,False,0->0,16,2339,2339,,
