event,hard_found,combined_found,transition,hard_hits,combined_premerge_hits,combined_postmerge_hits,combined_ds,combined_dw
1.0,False,False,0->0,16,1017,1016,,
3.0,False,False,0->0,16,864,862,,
4.0,False,False,0->0,16,642,641,,
6.0,False,False,0->0,16,917,917,,
8.0,False,False,0->0,16,480,479,,
9.0,False,False,0->0,8,631,631,,
10.0,False,False,0->0,16,1248,1248,,
11.0,False,False,0->0,16,528,527,,
13.0,False,False,0->0,16,1179,1177,,
15.0,False,False,0->0,16,1238,1237,,
17.0,False,False,0->0,16,884,881,,
18.0,False,False,0->0,16,655,655,,
19.0,False,False,0->0,16,554,553,,
21.0,False,False,0->0,16,486,486,,
22.0,False,False,0->0,16,1208,1208,,
23.0,False,False,0->0,16,735,735,,
24.0,False,False,0->0,16,608,608,,
25.0,False,False,0->0,16,1184,1181,,
26.0,False,False,0->0,16,312,311,,
30.0,False,False,0->0,16,934,932,,
31.0,False,False,0->0,16,1024,1023,,
32.0,False,False,0->0,16,358,358,,
33.0,False,False,0->0,16,1263,1262,,
34.0,False,False,0->0,16,695,695,,
35.0,False,False,0->0,16,325,324,,
38.0,False,False,0->0,14,894,894,,
40.0,False,False,0->0,16,627,625,,
41.0,False,False,0->0,16,925,923,,
45.0,False,False,0->0,16,2338,2337,,
46.0,False,False,0->0,16,725,724,,
48.0,False,False,0->0,16,1291,1289,,
49.0,False,False,0->0,16,1081,1080,,
50.0,False,False,0->0,16,2005,2004,,
53.0,False,False,0->0,16,859,857,,
54.0,False,False,0->0,16,1141,1141,,
55.0,False,False,0->0,16,568,566,,
56.0,False,False,0->0,16,500,499,,
58.0,False,False,0->0,14,856,856,,
59.0,False,False,0->0,8,709,709,,
60.0,False,False,0->0,16,1086,1085,,
63.0,False,False,0->0,16,656,653,,
64.0,False,False,0->0,16,755,755,,
65.0,False,False,0->0,16,769,768,,
67.0,False,False,0->0,16,1160,1157,,
68.0,False,False,0->0,16,1313,1310,,
69.0,False,False,0->0,16,1882,1880,,
70.0,False,False,0->0,16,866,865,,
73.0,False,False,0->0,16,1356,1355,,
74.0,False,False,0->0,16,560,559,,
75.0,False,False,0->0,16,1007,1006,,
77.0,False,False,0->0,16,1050,1050,,
79.0,False,False,0->0,16,1457,1457,,
83.0,False,False,0->0,16,631,630,,
86.0,False,False,0->0,16,792,792,,
87.0,False,False,0->0,16,603,603,,
88.0,False,False,0->0,16,817,815,,
89.0,False,False,0->0,16,762,761,,
90.0,False,False,0->0,16,1342,1342,,
91.0,False,False,0->0,16,392,390,,
92.0,False,False,0->0,16,1796,1795,,
95.0,False,False,0->0,16,549,548,,
96.0,False,False,0->0,16,471,471,,
99.0,False,False,0->0,16,403,400,,
100.0,False,False,0->0,16,564,561,,
101.0,False,False,0->0,16,1351,1350,,
103.0,False,False,0->0,16,484,482,,
105.0,False,False,0->0,16,733,732,,
106.0,False,False,0->0,14,1040,1040,,
107.0,False,False,0->0,16,580,578,,
108.0,False,False,0->0,16,944,942,,
109.0,False,False,0->0,16,865,864,,
111.0,False,False,0->0,16,935,934,,
113.0,False,False,0->0,16,717,715,,
114.0,False,False,0->0,12,654,654,,
115.0,False,False,0->0,16,1114,1114,,
116.0,False,False,0->0,10,440,440,,
117.0,False,False,0->0,16,890,890,,
118.0,False,False,0->0,8,613,613,,
119.0,False,False,0->0,16,693,692,,
120.0,False,False,0->0,16,909,906,,
122.0,False,False,0->0,12,677,677,,
123.0,False,False,0->0,16,1536,1535,,
124.0,False,False,0->0,16,913,913,,
125.0,False,False,0->0,16,592,592,,
127.0,False,False,0->0,16,695,695,,
128.0,False,False,0->0,16,564,563,,
129.0,False,False,0->0,16,1336,1335,,
130.0,False,False,0->0,16,831,831,,
132.0,False,False,0->0,16,1209,1209,,
133.0,False,False,0->0,16,593,593,,
135.0,False,False,0->0,16,1330,1329,,
136.0,False,False,0->0,16,723,723,,
137.0,False,False,0->0,12,402,402,,
138.0,False,False,0->0,16,1226,1226,,
139.0,False,False,0->0,16,729,729,,
141.0,False,False,0->0,16,616,614,,
142.0,False,False,0->0,16,2142,2142,,
144.0,False,False,0->0,16,769,769,,
145.0,False,False,0->0,16,1203,1202,,
146.0,False,False,0->0,16,399,398,,
