event,photon_pT,weight,found,delta_s,delta_w,n_hits,reason
1.0,8.927509450638745,0.01,False,,,15,no valid outer-layer seed pairs
3.0,202.0249609270577,0.01,False,,,14,no exact8 plane survived
4.0,21.070010513281368,0.01,False,,,15,no exact8 plane survived
6.0,5.75853934766141,0.01,False,,,16,no valid outer-layer seed pairs
8.0,9.583855706293344,0.01,False,,,15,no valid outer-layer seed pairs
9.0,0.5053200284947568,0.01,False,,,8,no valid outer-layer seed pairs
10.0,4.851578813688177,0.01,False,,,16,no valid outer-layer seed pairs
11.0,30.425234685013383,0.01,False,,,15,no exact8 plane survived
13.0,86.36514827613009,0.01,False,,,14,no exact8 plane survived
15.0,37.29706364182638,0.01,False,,,15,no exact8 plane survived
17.0,81.69968174131078,0.01,False,,,14,no exact8 plane survived
18.0,1.214255459441405,0.01,False,,,16,no valid outer-layer seed pairs
19.0,31.4654181275155,0.01,False,,,15,no exact8 plane survived
21.0,5.770976468033147,0.01,False,,,16,no valid outer-layer seed pairs
22.0,6.31297671113551,0.01,False,,,16,no valid outer-layer seed pairs
23.0,3.5656892284500112,0.01,False,,,16,no valid outer-layer seed pairs
24.0,1.3815808598178858,0.01,False,,,16,no valid outer-layer seed pairs
25.0,248.7758474022441,0.01,False,,,13,no exact8 plane survived
26.0,16.968940068737798,0.01,False,,,15,no valid outer-layer seed pairs
30.0,38.37145948997172,0.01,False,,,14,no exact8 plane survived
31.0,19.35889410155392,0.01,False,,,15,no exact8 plane survived
32.0,2.606768041250312,0.01,False,,,16,no valid outer-layer seed pairs
33.0,13.719888680254396,0.01,False,,,15,no valid outer-layer seed pairs
34.0,3.248479492668622,0.01,False,,,16,no valid outer-layer seed pairs
35.0,9.031482161903767,0.01,False,,,15,no valid outer-layer seed pairs
38.0,0.9642258578055264,0.01,False,,,14,no valid outer-layer seed pairs
40.0,115.78124585598847,0.01,False,,,14,no exact8 plane survived
41.0,53.78146627227338,0.01,False,,,14,no exact8 plane survived
45.0,8.057848423027886,0.01,False,,,15,no valid outer-layer seed pairs
46.0,25.18626244157442,0.01,False,,,15,no exact8 plane survived
48.0,108.27536621593568,0.01,False,,,14,no exact8 plane survived
49.0,5.950020457140325,0.01,False,,,15,no valid outer-layer seed pairs
50.0,11.856105691622163,0.01,False,,,15,no valid outer-layer seed pairs
53.0,3.5900147557079376,0.01,False,,,16,no valid outer-layer seed pairs
54.0,1.476892056276967,0.01,False,,,16,no valid outer-layer seed pairs
55.0,273.9693396614823,0.01,False,,,14,no exact8 plane survived
56.0,26.598305172787345,0.01,False,,,15,no exact8 plane survived
58.0,1.020241405979342,0.01,False,,,14,no valid outer-layer seed pairs
59.0,0.5880164930953484,0.01,False,,,8,no valid outer-layer seed pairs
60.0,5.75287206067784,0.01,False,,,15,no valid outer-layer seed pairs
63.0,239.42332281841183,0.01,False,,,13,no exact8 plane survived
64.0,3.6483744045296014,0.01,False,,,16,no valid outer-layer seed pairs
65.0,36.77059164646484,0.01,False,,,15,no exact8 plane survived
67.0,314.7360350809773,0.01,False,,,13,no exact8 plane survived
68.0,319.32208572984433,0.01,False,,,13,no exact8 plane survived
69.0,42.369138851677135,0.01,False,,,14,no exact8 plane survived
70.0,22.83910242366992,0.01,False,,,15,no exact8 plane survived
73.0,10.961177257388236,0.01,False,,,15,no valid outer-layer seed pairs
74.0,8.390585229120195,0.01,False,,,15,no valid outer-layer seed pairs
75.0,26.53352680715496,0.01,False,,,15,no exact8 plane survived
77.0,4.553799596455891,0.01,False,,,16,no valid outer-layer seed pairs
79.0,4.280659192448275,0.01,False,,,16,no valid outer-layer seed pairs
83.0,7.899454478410265,0.01,False,,,15,no valid outer-layer seed pairs
86.0,1.2232313446548977,0.01,False,,,16,no valid outer-layer seed pairs
87.0,1.2604723887281255,0.01,False,,,16,no valid outer-layer seed pairs
88.0,47.912177949289976,0.01,False,,,14,no exact8 plane survived
89.0,25.357042892389213,0.01,False,,,15,no exact8 plane survived
90.0,1.2974885582160782,0.01,False,,,16,no valid outer-layer seed pairs
91.0,35.10271144270259,0.01,False,,,14,no exact8 plane survived
92.0,16.915367515446704,0.01,False,,,15,no valid outer-layer seed pairs
