event,photon_pT,weight,found,delta_s,delta_w,n_hits,reason
1.0,9.108631887542044,0.01,False,,,15,no valid outer-layer seed pairs
3.0,204.55647954522595,0.01,False,,,13,no exact8 plane survived
4.0,16.979292088752636,0.01,False,,,15,no valid outer-layer seed pairs
6.0,4.484943220290583,0.01,False,,,16,no valid outer-layer seed pairs
8.0,7.300618836645946,0.01,False,,,15,no valid outer-layer seed pairs
10.0,6.042641005525755,0.01,False,,,15,no valid outer-layer seed pairs
11.0,16.747246822481447,0.01,False,,,15,no valid outer-layer seed pairs
13.0,84.1509376199525,0.01,False,,,14,no exact8 plane survived
15.0,48.27558459500238,0.01,False,,,14,no exact8 plane survived
17.0,71.12353667556745,0.01,False,,,14,no exact8 plane survived
18.0,1.070909523275001,0.01,False,,,16,no valid outer-layer seed pairs
19.0,32.639204833608204,0.01,False,,,14,no exact8 plane survived
21.0,4.803947169665835,0.01,False,,,15,no valid outer-layer seed pairs
22.0,6.3168984301827305,0.01,False,,,15,no valid outer-layer seed pairs
23.0,2.740265160209612,0.01,False,,,16,no valid outer-layer seed pairs
24.0,1.2043336260784734,0.01,False,,,16,no valid outer-layer seed pairs
25.0,242.1186883891802,0.01,False,,,13,no exact8 plane survived
26.0,17.099304353435517,0.01,False,,,15,no valid outer-layer seed pairs
27.0,1.3906213085223804,0.01,False,,,16,no valid outer-layer seed pairs
30.0,38.6544467842832,0.01,False,,,15,no exact8 plane survived
31.0,19.76340185204317,0.01,False,,,15,no exact8 plane survived
32.0,2.479154189082457,0.01,False,,,16,no valid outer-layer seed pairs
33.0,13.565323784724594,0.01,False,,,15,no valid outer-layer seed pairs
34.0,3.216867263752391,0.01,False,,,16,no valid outer-layer seed pairs
35.0,8.896142326402561,0.01,False,,,15,no valid outer-layer seed pairs
37.0,18.63357791419927,0.01,False,,,15,no valid outer-layer seed pairs
38.0,0.8918013094481867,0.01,False,,,14,no valid outer-layer seed pairs
40.0,136.00351741844034,0.01,False,,,14,no exact8 plane survived
41.0,52.15897815461688,0.01,False,,,14,no exact8 plane survived
45.0,138.41647236364676,0.01,False,,,14,no exact8 plane survived
46.0,25.29450957153828,0.01,False,,,15,no exact8 plane survived
47.0,23.36612773635428,0.01,False,,,15,no exact8 plane survived
48.0,110.62532534064424,0.01,False,,,14,no exact8 plane survived
49.0,6.483522337164046,0.01,False,,,15,no valid outer-layer seed pairs
50.0,12.224375339897527,0.01,False,,,15,no valid outer-layer seed pairs
53.0,3.6904552183586254,0.01,False,,,16,no valid outer-layer seed pairs
54.0,1.531630578972803,0.01,False,,,16,no valid outer-layer seed pairs
55.0,270.2837506178115,0.01,False,,,13,no exact8 plane survived
56.0,26.624693858035013,0.01,False,,,15,no exact8 plane survived
58.0,1.0470123683578538,0.01,False,,,16,no valid outer-layer seed pairs
59.0,0.8302709757526806,0.01,False,,,12,no valid outer-layer seed pairs
60.0,5.816104398938886,0.01,False,,,16,no valid outer-layer seed pairs
63.0,258.1393954426554,0.01,False,,,13,no exact8 plane survived
64.0,3.608532086428165,0.01,False,,,16,no valid outer-layer seed pairs
65.0,36.80279899435482,0.01,False,,,15,no exact8 plane survived
67.0,317.9222293548788,0.01,False,,,13,no exact8 plane survived
68.0,3.787717833951583,0.01,False,,,16,no valid outer-layer seed pairs
69.0,41.04234857890998,0.01,False,,,15,no exact8 plane survived
70.0,23.151888711366983,0.01,False,,,15,no exact8 plane survived
73.0,6.132093405656406,0.01,False,,,15,no valid outer-layer seed pairs
74.0,8.340513801965855,0.01,False,,,15,no valid outer-layer seed pairs
75.0,28.22563854169039,0.01,False,,,15,no exact8 plane survived
77.0,4.495567469372665,0.01,False,,,15,no valid outer-layer seed pairs
79.0,4.46989253226278,0.01,False,,,15,no valid outer-layer seed pairs
83.0,16.92741751919889,0.01,False,,,15,no valid outer-layer seed pairs
86.0,1.2008383849882098,0.01,False,,,16,no valid outer-layer seed pairs
87.0,1.2537533881013825,0.01,False,,,16,no valid outer-layer seed pairs
88.0,46.6460936794017,0.01,False,,,14,no exact8 plane survived
89.0,34.116097896587995,0.01,False,,,15,no exact8 plane survived
91.0,36.181256858606986,0.01,False,,,15,no exact8 plane survived
92.0,16.463491119965287,0.01,False,,,15,no valid outer-layer seed pairs
95.0,9.778501766444384,0.01,False,,,15,no valid outer-layer seed pairs
96.0,1.9641519430680137,0.01,False,,,16,no valid outer-layer seed pairs
99.0,326.0602207160842,0.01,False,,,13,no exact8 plane survived
100.0,245.71392073068247,0.01,False,,,13,no exact8 plane survived
101.0,4.270658859952826,0.01,False,,,16,no valid outer-layer seed pairs
103.0,54.16414551312804,0.01,False,,,14,no exact8 plane survived
105.0,87.09773080524485,0.01,False,,,14,no exact8 plane survived
106.0,0.9144139701696874,0.01,False,,,14,no valid outer-layer seed pairs
107.0,155.7636494139598,0.01,False,,,14,no exact8 plane survived
108.0,54.44701286878351,0.01,False,,,14,no exact8 plane survived
109.0,9.134773143282994,0.01,False,,,15,no valid outer-layer seed pairs
110.0,2.1327801719925312,0.01,False,,,16,no valid outer-layer seed pairs
111.0,30.28903676328643,0.01,False,,,15,no exact8 plane survived
113.0,87.93572784558842,0.01,False,,,14,no exact8 plane survived
115.0,10.468818255436757,0.01,False,,,15,no valid outer-layer seed pairs
116.0,71.53417630203661,0.01,False,,,14,no exact8 plane survived
117.0,1.6517362014968289,0.01,False,,,16,no valid outer-layer seed pairs
119.0,8.57049201298586,0.01,False,,,15,no valid outer-layer seed pairs
120.0,255.3710074355975,0.01,False,,,14,no exact8 plane survived
122.0,0.8500617551435476,0.01,False,,,12,no valid outer-layer seed pairs
123.0,21.924112452302992,0.01,False,,,15,no exact8 plane survived
124.0,2.967618391265808,0.01,False,,,16,no valid outer-layer seed pairs
125.0,2.3727404809030097,0.01,False,,,16,no valid outer-layer seed pairs
127.0,1.6779454485341316,0.01,False,,,16,no valid outer-layer seed pairs
128.0,15.01800032482503,0.01,False,,,15,no valid outer-layer seed pairs
129.0,11.364483880870951,0.01,False,,,15,no valid outer-layer seed pairs
130.0,5.355945745071492,0.01,False,,,15,no valid outer-layer seed pairs
131.0,98.69751021792328,0.01,False,,,14,no exact8 plane survived
133.0,8.676041083827851,0.01,False,,,15,no valid outer-layer seed pairs
134.0,8.464748668460873,0.01,False,,,15,no valid outer-layer seed pairs
135.0,37.74933799765712,0.01,False,,,14,no exact8 plane survived
136.0,1.642822168082913,0.01,False,,,16,no valid outer-layer seed pairs
137.0,1.039909535680084,0.01,False,,,16,no valid outer-layer seed pairs
