event,hard_found,plus5pu_found,transition,hard_ds,plus5pu_ds,hard_dw,plus5pu_dw,hard_hits,combined_hits
405.0,True,True,1->1,0.08419439205925354,0.08419439205925354,2.6180437897619346,2.6180437897619346,16,1035
5833.0,True,True,1->1,0.08465253086424804,0.08465253086424804,3.134522324937597,3.134522324937597,16,1035
8053.0,True,True,1->1,0.09763464715613693,0.09763464715613693,4.270119700825562,4.270119700825562,16,1035
6409.0,False,False,0->0,,,,,16,1035
4648.0,False,False,0->0,,,,,16,1035
8718.0,False,False,0->0,,,,,16,1035
6177.0,False,False,0->0,,,,,16,1035
822.0,False,False,0->0,,,,,16,1035
2408.0,False,False,0->0,,,,,16,1035
5463.0,False,False,0->0,,,,,16,1035
971.0,False,False,0->0,,,,,16,1035
6547.0,False,False,0->0,,,,,16,1035
8868.0,False,False,0->0,,,,,16,1035
97.0,False,False,0->0,,,,,16,1035
7129.0,False,False,0->0,,,,,16,1035
653.0,False,False,0->0,,,,,16,1035
9153.0,False,False,0->0,,,,,16,1035
5917.0,False,False,0->0,,,,,16,1035
2748.0,False,False,0->0,,,,,16,1035
5375.0,False,False,0->0,,,,,16,1035
6264.0,False,False,0->0,,,,,16,1035
3232.0,False,False,0->0,,,,,16,1035
2467.0,False,False,0->0,,,,,16,1035
8464.0,False,False,0->0,,,,,16,1035
6026.0,False,False,0->0,,,,,16,1035
8328.0,False,False,0->0,,,,,16,1035
828.0,False,False,0->0,,,,,16,1035
687.0,False,False,0->0,,,,,16,1035
3489.0,False,False,0->0,,,,,16,1035
9279.0,False,False,0->0,,,,,16,1035
4668.0,False,False,0->0,,,,,16,1035
2770.0,False,False,0->0,,,,,16,1035
5035.0,False,False,0->0,,,,,16,1035
9578.0,False,False,0->0,,,,,16,1035
9919.0,False,False,0->0,,,,,16,1035
7270.0,False,False,0->0,,,,,16,1035
4450.0,False,False,0->0,,,,,16,1035
5991.0,False,False,0->0,,,,,16,1035
2143.0,False,False,0->0,,,,,16,1035
6811.0,False,False,0->0,,,,,16,1035
6704.0,False,False,0->0,,,,,16,1035
5644.0,False,False,0->0,,,,,16,1035
1277.0,False,False,0->0,,,,,16,1035
7666.0,False,False,0->0,,,,,16,1035
2520.0,False,False,0->0,,,,,16,1035
9785.0,False,False,0->0,,,,,16,1035
2896.0,False,False,0->0,,,,,16,1035
4408.0,False,False,0->0,,,,,16,1035
3089.0,False,False,0->0,,,,,16,1035
2588.0,False,False,0->0,,,,,16,1035
7450.0,False,False,0->0,,,,,16,1035
7155.0,False,False,0->0,,,,,16,1035
818.0,False,False,0->0,,,,,16,1035
6502.0,False,False,0->0,,,,,16,1035
722.0,False,False,0->0,,,,,16,1035
242.0,False,False,0->0,,,,,16,1035
4255.0,False,False,0->0,,,,,16,1035
1210.0,False,False,0->0,,,,,16,1035
49.0,False,False,0->0,,,,,16,1035
6976.0,False,False,0->0,,,,,16,1035
2536.0,False,False,0->0,,,,,16,1035
5399.0,False,False,0->0,,,,,16,1035
2142.0,False,False,0->0,,,,,16,1035
3671.0,False,False,0->0,,,,,16,1035
3081.0,False,False,0->0,,,,,16,1035
1596.0,False,False,0->0,,,,,16,1035
3407.0,False,False,0->0,,,,,16,1035
2885.0,False,False,0->0,,,,,16,1035
6574.0,False,False,0->0,,,,,16,1035
