pseudo_event,mu,found,delta_s,delta_w,hits,pu_events
0,5,False,,,479,"409,454,434,753,32"
1,5,False,,,1127,"624,125,171,519,113"
2,5,False,,,797,"988,765,422,948,790"
3,5,False,,,691,"860,310,15,169,284"
4,5,False,,,1646,"56,735,397,241,544"
5,5,False,,,512,"736,565,732,897,542"
6,5,False,,,863,"762,43,691,917,79"
7,5,False,,,1206,"269,426,532,585,840"
8,5,False,,,1172,"182,453,63,326,847"
9,5,False,,,688,"4,966,751,619,801"
10,5,False,,,381,"226,347,639,492,59"
11,5,False,,,254,"752,926,727,459,49"
12,5,False,,,882,"787,532,214,61,225"
13,5,False,,,1116,"989,626,5,695,288"
14,5,False,,,897,"308,700,490,910,593"
15,5,False,,,862,"289,703,420,142,818"
16,5,False,,,1062,"150,162,147,293,413"
17,5,False,,,327,"585,570,331,958,506"
18,5,False,,,556,"402,12,838,43,304"
19,5,False,,,1353,"162,350,32,823,733"
20,5,False,,,821,"356,792,263,238,632"
21,5,False,,,1098,"662,860,505,955,535"
22,5,False,,,748,"263,887,768,547,355"
23,5,False,,,1386,"363,953,444,290,823"
24,5,False,,,1163,"109,247,72,595,493"
25,5,False,,,590,"301,61,159,767,280"
26,5,False,,,1673,"588,876,417,350,97"
27,5,False,,,739,"756,893,168,158,584"
28,5,False,,,336,"342,276,362,595,814"
29,5,False,,,1098,"625,493,347,156,964"
30,5,False,,,246,"40,13,873,476,975"
31,5,False,,,582,"355,702,817,950,319"
32,5,False,,,1164,"554,320,716,445,651"
33,5,False,,,775,"656,600,263,313,489"
34,5,False,,,689,"373,798,164,428,721"
35,5,False,,,771,"617,592,817,663,930"
36,5,False,,,511,"477,438,301,862,614"
37,5,False,,,833,"157,1000,565,873,68"
38,5,False,,,641,"3,250,398,59,763"
39,5,False,,,583,"476,681,473,810,378"
40,5,False,,,666,"307,463,679,867,183"
41,5,False,,,415,"654,641,575,415,17"
42,5,False,,,925,"18,57,202,1,78"
43,5,False,,,414,"288,475,650,244,981"
44,5,False,,,554,"873,276,241,5,572"
45,5,False,,,304,"65,180,412,551,22"
46,5,False,,,485,"331,637,261,821,560"
47,5,False,,,508,"128,425,202,597,454"
48,5,False,,,779,"164,468,810,360,723"
49,5,False,,,268,"515,571,528,970,60"
