event,mu,hard_found,pu_found,transition,hard_ds,pu_ds,hard_dw,pu_dw,hard_hits,combined_hits,pu_events
405,0,True,True,1->1,0.08419439229535289,0.08419439229535289,2.6180437897879743,2.6180437897879743,16,16,
405,5,True,True,1->1,0.08419439229535289,0.08419439229535289,2.6180437897879743,2.6180437897879743,16,835,"423,38,138,511,761"
405,10,True,True,1->1,0.08419439229535289,0.08419439229535289,2.6180437897879743,2.6180437897879743,16,1609,"389,868,955,790,196,210,989,980,44,43"
405,20,True,False,1->0,0.08419439229535289,,2.6180437897879743,,16,4326,"613,423,36,833,487,877,211,164,335,735,563,374,697,471,429,988,475,771,693,937"
5833,0,True,True,1->1,0.08465253060234482,0.08465253060234482,3.134522324941086,3.134522324941086,16,16,
5833,5,True,True,1->1,0.08465253060234482,0.08465253060234482,3.134522324941086,3.134522324941086,16,901,"483,852,536,312,456"
5833,10,True,True,1->1,0.08465253060234482,0.08465253060234482,3.134522324941086,3.134522324941086,16,1395,"837,725,342,499,896,445,212,968,599,280"
5833,20,True,True,1->1,0.08465253060234482,0.08465253060234482,3.134522324941086,3.134522324941086,16,3486,"39,434,929,459,81,848,817,140,326,684,989,100,378,11,663,860,372,746,203,181"
8053,0,True,True,1->1,0.09763464711699259,0.09763464711699259,4.270119700823243,4.270119700823243,16,16,
8053,5,True,True,1->1,0.09763464711699259,0.09472295271713407,4.270119700823243,4.198787581767916,16,1231,"217,745,544,456,371"
8053,10,True,True,1->1,0.09763464711699259,0.09763464711699259,4.270119700823243,4.270119700823243,16,1333,"76,972,456,933,740,982,110,505,749,98"
8053,20,True,True,1->1,0.09763464711699259,0.09763464711699259,4.270119700823243,4.270119700823243,16,3448,"973,483,555,33,930,750,594,68,950,226,524,32,52,733,418,482,756,953,457,422"
6409,0,False,False,0->0,,,,,16,16,
6409,5,False,False,0->0,,,,,16,733,"13,133,667,185,605"
6409,10,False,False,0->0,,,,,16,1034,"160,945,788,385,54,977,203,134,781,854"
6409,20,False,False,0->0,,,,,16,3955,"627,200,876,355,587,514,495,486,325,704,6,828,631,174,575,371,681,890,633,822"
4648,0,False,False,0->0,,,,,16,16,
4648,5,False,False,0->0,,,,,16,605,"823,302,638,696,308"
4648,10,False,False,0->0,,,,,16,1304,"585,284,187,433,950,570,125,121,364,745"
4648,20,False,False,0->0,,,,,16,2735,"888,46,254,49,489,271,491,17,62,358,910,67,963,163,169,383,655,475,599,81"
8718,0,False,False,0->0,,,,,16,16,
8718,5,False,False,0->0,,,,,16,1405,"335,350,471,483,62"
8718,10,False,False,0->0,,,,,16,1178,"171,763,801,872,777,560,301,389,233,680"
8718,20,False,False,0->0,,,,,16,4609,"64,526,941,605,853,198,284,329,324,1,105,93,550,653,62,400,182,539,145,964"
6177,0,False,False,0->0,,,,,16,16,
6177,5,False,False,0->0,,,,,16,691,"436,565,737,400,87"
6177,10,False,False,0->0,,,,,16,1500,"159,604,458,623,567,397,774,546,736,144"
6177,20,False,False,0->0,,,,,16,3961,"593,567,49,805,648,294,104,273,451,114,246,163,662,69,378,156,499,735,683,293"
822,0,False,False,0->0,,,,,16,16,
822,5,False,False,0->0,,,,,16,393,"352,247,850,429,686"
822,10,False,False,0->0,,,,,16,1671,"407,68,789,403,565,309,833,456,154,381"
822,20,False,False,0->0,,,,,16,4094,"649,764,358,428,724,543,422,706,50,434,17,228,323,717,244,821,383,580,695,774"
2408,0,False,False,0->0,,,,,16,16,
2408,5,False,False,0->0,,,,,16,511,"788,297,915,612,8"
2408,10,False,False,0->0,,,,,16,1159,"571,538,754,748,836,72,220,232,742,479"
2408,20,False,False,0->0,,,,,16,2489,"750,577,658,245,342,740,193,447,31,486,587,497,272,394,491,65,465,969,982,637"
5463,0,False,False,0->0,,,,,16,16,
5463,5,False,False,0->0,,,,,16,1067,"777,264,870,588,697"
5463,10,False,False,0->0,,,,,16,1739,"572,706,704,269,392,127,93,823,903,943"
5463,20,False,False,0->0,,,,,16,2568,"15,847,121,144,550,379,919,471,705,451,58,975,21,742,161,412,601,888,688,446"
971,0,False,False,0->0,,,,,16,16,
971,5,False,False,0->0,,,,,16,1437,"735,127,612,444,594"
971,10,False,False,0->0,,,,,16,1161,"223,895,13,773,474,410,550,445,369,974"
971,20,False,False,0->0,,,,,16,4840,"712,284,630,832,856,731,391,680,439,922,785,6,314,414,643,590,366,140,395,253"
6547,0,False,False,0->0,,,,,16,16,
6547,5,False,False,0->0,,,,,16,635,"448,720,548,355,271"
6547,10,False,False,0->0,,,,,16,1253,"861,597,85,302,161,687,61,943,737,777"
6547,20,False,False,0->0,,,,,16,2987,"528,310,395,178,144,730,554,99,756,183,232,52,59,415,414,721,627,567,866,867"
8868,0,False,False,0->0,,,,,16,16,
8868,5,False,False,0->0,,,,,16,839,"736,830,460,880,937"
8868,10,False,False,0->0,,,,,16,2088,"518,13,707,424,663,759,303,291,159,375"
8868,20,False,False,0->0,,,,,16,4484,"969,578,145,2,615,744,274,429,951,109,548,592,323,705,917,700,255,879,426,402"
97,0,False,False,0->0,,,,,16,16,
97,5,False,False,0->0,,,,,16,1821,"343,113,264,208,232"
97,10,False,False,0->0,,,,,16,2279,"588,244,626,85,159,148,174,197,498,499"
97,20,False,False,0->0,,,,,16,2682,"438,190,232,356,878,226,749,272,851,565,663,607,895,362,447,741,993,885,139,883"
7129,0,False,False,0->0,,,,,16,16,
7129,5,False,False,0->0,,,,,16,1111,"662,61,835,38,619"
7129,10,False,False,0->0,,,,,16,1436,"867,326,574,503,943,96,448,650,477,189"
7129,20,False,False,0->0,,,,,16,3450,"958,521,317,251,620,25,624,986,641,757,448,84,543,898,252,745,72,504,623,76"
653,0,False,False,0->0,,,,,16,16,
653,5,False,False,0->0,,,,,16,365,"656,956,78,796,745"
653,10,False,False,0->0,,,,,16,1052,"581,878,125,620,251,325,727,966,536,154"
653,20,False,False,0->0,,,,,16,3787,"53,205,231,207,79,216,914,702,507,877,477,723,469,813,368,643,6,734,876,623"
9153,0,False,False,0->0,,,,,16,16,
9153,5,False,False,0->0,,,,,16,383,"990,63,991,82,254"
9153,10,False,False,0->0,,,,,16,790,"382,927,327,821,182,415,108,138,242,722"
9153,20,False,False,0->0,,,,,16,4310,"187,900,501,960,155,818,433,162,577,127,605,733,688,942,879,727,613,396,557,158"
5917,0,False,False,0->0,,,,,16,16,
5917,5,False,False,0->0,,,,,16,1488,"556,487,626,700,357"
5917,10,False,False,0->0,,,,,16,2177,"504,834,593,495,163,185,732,253,571,139"
5917,20,False,False,0->0,,,,,16,3477,"309,51,822,390,477,805,249,443,168,589,905,588,713,693,175,400,95,642,673,375"
2748,0,False,False,0->0,,,,,16,16,
2748,5,False,False,0->0,,,,,16,799,"902,891,251,955,298"
2748,10,False,False,0->0,,,,,16,1425,"426,267,520,979,556,96,732,62,919,252"
2748,20,False,False,0->0,,,,,16,3634,"132,325,670,637,403,639,142,565,880,942,944,625,981,961,987,828,822,147,995,632"
5375,0,False,False,0->0,,,,,16,16,
5375,5,False,False,0->0,,,,,16,592,"383,62,599,970,369"
