event,mu,pre_found,post_found,pre_ds,post_ds,pre_dw,post_dw,hits_pre,hits_post,merged_away,merge_transition
405,0,True,False,0.08419439229535289,,2.6180437897879743,,16,14,2,1->0
405,5,True,False,0.08419439229535289,,2.6180437897879743,,835,833,2,1->0
405,10,True,False,0.08419439229535289,,2.6180437897879743,,1609,1607,2,1->0
405,20,False,False,,,,,4326,4322,4,0->0
5833,0,True,False,0.08465253060234482,,3.134522324941086,,16,14,2,1->0
5833,5,True,False,0.08465253060234482,,3.134522324941086,,901,899,2,1->0
5833,10,True,False,0.08465253060234482,,3.134522324941086,,1395,1393,2,1->0
5833,20,True,False,0.08465253060234482,,3.134522324941086,,3486,3484,2,1->0
8053,0,True,False,0.09763464711699259,,4.270119700823243,,16,14,2,1->0
8053,5,True,False,0.09472295271713407,,4.198787581767916,,1231,1229,2,1->0
8053,10,True,False,0.09763464711699259,,4.270119700823243,,1333,1330,3,1->0
8053,20,True,False,0.09763464711699259,,4.270119700823243,,3448,3446,2,1->0
6409,0,False,False,,,,,16,15,1,0->0
6409,5,False,False,,,,,733,732,1,0->0
6409,10,False,False,,,,,1034,1033,1,0->0
6409,20,False,False,,,,,3955,3953,2,0->0
4648,0,False,False,,,,,16,14,2,0->0
4648,5,False,False,,,,,605,603,2,0->0
4648,10,False,False,,,,,1304,1301,3,0->0
4648,20,False,False,,,,,2735,2733,2,0->0
8718,0,False,False,,,,,16,14,2,0->0
8718,5,False,False,,,,,1405,1403,2,0->0
8718,10,False,False,,,,,1178,1175,3,0->0
8718,20,False,False,,,,,4609,4606,3,0->0
6177,0,False,False,,,,,16,14,2,0->0
6177,5,False,False,,,,,691,689,2,0->0
6177,10,False,False,,,,,1500,1498,2,0->0
6177,20,False,False,,,,,3961,3959,2,0->0
822,0,False,False,,,,,16,15,1,0->0
822,5,False,False,,,,,393,392,1,0->0
822,10,False,False,,,,,1671,1670,1,0->0
822,20,False,False,,,,,4094,4092,2,0->0
2408,0,False,False,,,,,16,14,2,0->0
2408,5,False,False,,,,,511,509,2,0->0
2408,10,False,False,,,,,1159,1157,2,0->0
2408,20,False,False,,,,,2489,2486,3,0->0
5463,0,False,False,,,,,16,15,1,0->0
5463,5,False,False,,,,,1067,1066,1,0->0
5463,10,False,False,,,,,1739,1738,1,0->0
5463,20,False,False,,,,,2568,2567,1,0->0
971,0,False,False,,,,,16,15,1,0->0
971,5,False,False,,,,,1437,1436,1,0->0
971,10,False,False,,,,,1161,1160,1,0->0
971,20,False,False,,,,,4840,4836,4,0->0
6547,0,False,False,,,,,16,14,2,0->0
6547,5,False,False,,,,,635,632,3,0->0
6547,10,False,False,,,,,1253,1251,2,0->0
6547,20,False,False,,,,,2987,2984,3,0->0
8868,0,False,False,,,,,16,15,1,0->0
8868,5,False,False,,,,,839,838,1,0->0
8868,10,False,False,,,,,2088,2086,2,0->0
8868,20,False,False,,,,,4484,4482,2,0->0
97,0,False,False,,,,,16,15,1,0->0
97,5,False,False,,,,,1821,1820,1,0->0
97,10,False,False,,,,,2279,2278,1,0->0
97,20,False,False,,,,,2682,2681,1,0->0
7129,0,False,False,,,,,16,15,1,0->0
7129,5,False,False,,,,,1111,1110,1,0->0
7129,10,False,False,,,,,1436,1435,1,0->0
7129,20,False,False,,,,,3450,3449,1,0->0
653,0,False,False,,,,,16,15,1,0->0
653,5,False,False,,,,,365,364,1,0->0
653,10,False,False,,,,,1052,1051,1,0->0
653,20,False,False,,,,,3787,3786,1,0->0
9153,0,False,False,,,,,16,15,1,0->0
9153,5,False,False,,,,,383,382,1,0->0
9153,10,False,False,,,,,790,789,1,0->0
9153,20,False,False,,,,,4310,4307,3,0->0
5917,0,False,False,,,,,16,15,1,0->0
5917,5,False,False,,,,,1488,1487,1,0->0
5917,10,False,False,,,,,2177,2176,1,0->0
5917,20,False,False,,,,,3477,3476,1,0->0
2748,0,False,False,,,,,16,15,1,0->0
2748,5,False,False,,,,,799,798,1,0->0
2748,10,False,False,,,,,1425,1424,1,0->0
2748,20,False,False,,,,,3634,3632,2,0->0
