event,hard_found,combined_found,transition,premerge_hits,postmerge_hits,accepted_hits,accepted_fraction,delta_s,layer_counts
0,True,True,1->1,7502,7498,19,0.0025340090690850895,0.04366225150715606,"{802: 3, 804: 3, 806: 3, 808: 2, 1302: 2, 1304: 2, 1306: 2, 1308: 2}"
1,True,True,1->1,8391,8388,16,0.0019074868860276585,0.03325372889809818,"{802: 2, 804: 2, 806: 2, 808: 2, 1302: 2, 1304: 2, 1306: 2, 1308: 2}"
2,False,False,0->0,8628,8621,0,0.0,,{}
3,True,True,1->1,7501,7498,17,0.0022672712723392904,0.06257227935429217,"{802: 3, 804: 2, 806: 2, 808: 2, 1302: 2, 1304: 2, 1306: 2, 1308: 2}"
4,False,False,0->0,9369,9366,0,0.0,,{}
5,False,False,0->0,7317,7314,0,0.0,,{}
6,True,True,1->1,8833,8830,16,0.001812004530011325,0.0726179063750663,"{802: 2, 804: 2, 806: 2, 808: 2, 1302: 2, 1304: 2, 1306: 2, 1308: 2}"
7,False,False,0->0,8755,8750,0,0.0,,{}
8,True,True,1->1,8419,8409,16,0.001902723272684029,0.07241847269932952,"{802: 2, 804: 2, 806: 2, 808: 2, 1302: 2, 1304: 2, 1306: 2, 1308: 2}"
9,True,True,1->1,9145,9140,16,0.00175054704595186,0.07387030923755342,"{802: 2, 804: 2, 806: 2, 808: 2, 1302: 2, 1304: 2, 1306: 2, 1308: 2}"
10,False,False,0->0,6661,6657,0,0.0,,{}
11,False,False,0->0,8715,8709,0,0.0,,{}
12,True,True,1->1,6951,6948,16,0.002302820955670697,0.08028305056082184,"{802: 2, 804: 2, 806: 2, 808: 2, 1302: 2, 1304: 2, 1306: 2, 1308: 2}"
13,True,False,1->0,9013,9008,0,0.0,,{}
14,False,False,0->0,8207,8197,0,0.0,,{}
15,True,True,1->1,10095,10092,16,0.0015854141894569957,0.033524368601165346,"{802: 2, 804: 2, 806: 2, 808: 2, 1302: 2, 1304: 2, 1306: 2, 1308: 2}"
