event,hard_found,combined_found,transition,premerge_hits,postmerge_hits
0,True,True,1->1,1017,1017
1,True,True,1->1,864,864
2,False,False,0->0,642,642
3,True,True,1->1,917,917
4,False,False,0->0,480,480
5,False,False,0->0,639,639
6,True,True,1->1,1248,1248
7,False,False,0->0,528,528
8,True,True,1->1,1179,1179
9,True,True,1->1,1238,1238
10,False,False,0->0,884,883
11,False,False,0->0,655,655
12,True,True,1->1,554,554
13,True,True,1->1,486,486
14,False,False,0->0,1208,1208
15,True,True,1->1,735,735
