sigma_z_mm,seed,found,no_seed,acceptance
0.0,0,522,3148,0.07147747501026976
0.0,1,522,3148,0.07147747501026976
0.0,2,522,3148,0.07147747501026976
0.0,3,522,3148,0.07147747501026976
0.0,4,522,3148,0.07147747501026976
0.0,5,522,3148,0.07147747501026976
0.0,6,522,3148,0.07147747501026976
0.0,7,522,3148,0.07147747501026976
0.0,8,522,3148,0.07147747501026976
0.0,9,522,3148,0.07147747501026976
0.1,0,971,3148,0.13295905792140217
0.1,1,992,3148,0.1358345885252636
0.1,2,962,3148,0.1317266876626044
0.1,3,979,3148,0.1340544981514446
0.1,4,986,3148,0.13501300835273175
0.1,5,978,3148,0.13391756812268932
0.1,6,971,3148,0.13295905792140217
0.1,7,976,3148,0.1336437080651787
0.1,8,968,3148,0.13254826783513624
0.1,9,984,3148,0.13473914829522113
0.3,0,342,3148,0.04683006983431467
0.3,1,335,3148,0.045871559633027525
0.3,2,326,3148,0.04463918937422977
0.3,3,314,3148,0.0429960290291661
0.3,4,325,3148,0.044502259345474464
0.3,5,306,3148,0.041900588799123645
0.3,6,314,3148,0.0429960290291661
0.3,7,310,3148,0.042448308914144875
0.3,8,311,3148,0.04258523894290018
0.3,9,303,3148,0.04148979871285773
0.58,0,69,3148,0.009448171984116117
0.58,1,61,3148,0.008352731754073668
0.58,2,60,3148,0.008215801725318363
0.58,3,73,3148,0.00999589209913734
0.58,4,58,3148,0.007941941667807751
0.58,5,58,3148,0.007941941667807751
0.58,6,46,3148,0.006298781322744078
0.58,7,52,3148,0.007120361495275914
0.58,8,57,3148,0.007805011639052444
0.58,9,58,3148,0.007941941667807751
0.87,0,13,3148,0.0017800903738189786
0.87,1,15,3148,0.0020539504313295907
0.87,2,19,3148,0.002601670546350815
0.87,3,22,3148,0.0030124606326167327
0.87,4,13,3148,0.0017800903738189786
0.87,5,13,3148,0.0017800903738189786
0.87,6,10,3148,0.0013693002875530603
0.87,7,16,3148,0.0021908804600848965
0.87,8,8,3148,0.0010954402300424482
0.87,9,18,3148,0.0024647405175955085
1.16,0,2,3148,0.00027386005751061206
1.16,1,3,3148,0.0004107900862659181
1.16,2,10,3148,0.0013693002875530603
1.16,3,11,3148,0.0015062303163083663
1.16,4,3,3148,0.0004107900862659181
1.16,5,6,3148,0.0008215801725318362
1.16,6,1,3148,0.00013693002875530603
1.16,7,2,3148,0.00027386005751061206
1.16,8,3,3148,0.0004107900862659181
1.16,9,9,3148,0.0012323702587977543
