source,source_event,layer_id,trajectory_step,x,y,z,r,phi,n_merged,hard_members,pileup_members
hard,-1,1,20,19.654840678854253,-26.81883177710872,76.75,33.25,-0.9383458646616543,2,2,0
pileup,-1,1,33,-30.85096405172886,12.400827273973832,-64.75,33.25,2.759398496240602,1,0,1
pileup,-1,1,33,-1.220747719745641,-33.22758304488511,-42.5,33.25,-1.607518796992481,1,0,1
pileup,-1,1,33,32.79614904134747,-5.474952790456148,-36.0,33.25,-0.16541353383458643,1,0,1
pileup,-1,1,34,4.366330296820738,-32.96206394840992,-64.0,33.25,-1.4390977443609025,1,0,1
pileup,-1,1,34,18.091089080963773,-27.8975804661378,-65.25,33.25,-0.9954887218045113,1,0,1
pileup,-1,1,34,31.212656422527758,-11.460042715855684,-31.25,33.25,-0.3518796992481203,1,0,1
pileup,-1,1,34,32.14400596661585,8.50443298628219,-44.75,33.25,0.25864661654135335,1,0,1
pileup,-1,1,34,-25.63408908054963,21.17677919350453,-44.75,33.25,2.4511278195488724,1,0,1
pileup,-1,1,35,12.69810459762129,30.72980051396151,-37.0,33.25,1.1789473684210527,1,0,1
pileup,-1,1,35,-18.377110482400816,-27.7100037949769,5.75,33.25,-2.156390977443609,1,0,1
pileup,-1,1,36,-32.471782225484525,-7.151633316991818,-55.25,33.25,-2.924812030075188,1,0,1
pileup,-1,1,36,13.57079690062182,30.35450496190101,-52.25,33.25,1.150375939849624,1,0,1
pileup,-1,1,36,-18.95636355207859,-27.31700534248633,-53.25,33.25,-2.1774436090225566,1,0,1
pileup,-1,1,36,-26.62305588519776,19.919221755220185,-39.75,33.25,2.499248120300752,1,0,1
pileup,-1,1,36,18.92180634623533,27.34095361532893,-52.75,33.25,0.9654135338345865,1,0,1
pileup,-1,1,36,24.69184104657338,-22.2682618479924,-40.0,33.25,-0.7338345864661655,1,0,1
pileup,-1,1,37,-27.881803222252582,18.115395360730748,-56.25,33.25,2.565413533834587,1,0,1
pileup,-1,1,37,32.23174384574497,-8.165610121863576,-53.75,33.25,-0.24812030075187969,1,0,1
pileup,-1,1,37,-18.66777123324318,27.515028932990397,-43.0,33.25,2.1669172932330825,1,0,1
pileup,-1,1,37,22.913144695357637,-24.09461143429386,2.25,33.25,-0.8105263157894737,1,0,1
pileup,-1,1,37,2.57639276408988,33.150033187391315,14.25,33.25,1.4932330827067668,1,0,1
pileup,-1,1,37,-31.57214304763084,10.428915733667422,0.0,33.25,2.8225563909774434,1,0,1
pileup,-1,1,38,29.7469825130195,-14.855286310607145,-82.5,33.25,-0.4631578947368421,1,0,1
pileup,-1,1,38,-18.626374158839205,-27.54306964909553,-32.0,33.25,-2.1654135338345863,1,0,1
pileup,-1,1,38,-13.151447184083242,-30.53853200408082,-56.75,33.25,-1.977443609022557,1,0,1
pileup,-1,1,38,29.47408867861622,-15.389626264632524,-20.5,33.25,-0.4812030075187969,1,0,1
pileup,-1,1,38,6.634152974575211,32.58144432510528,-54.75,33.25,1.3699248120300753,1,0,1
pileup,-1,1,38,-31.428112729294632,10.85523976127419,-20.5,33.25,2.8090225563909783,1,0,1
pileup,-1,1,38,-24.652989319479527,-22.311266607111943,-23.0,33.25,-2.406015037593985,1,0,1
pileup,-1,1,38,26.04809223983305,20.66541532767124,10.75,33.25,0.6706766917293233,1,0,1
