event,delta_s,delta_w,status,missing_layers,one_hit_layers,n_layers_with_2plus,L802,L804,L806,L808,L1302,L1304,L1306,L1308
109.0,0.09222474497993896,4.117446646244164,coverage_2hit_fail,,"1302,1304",6,2,2,2,2,1,1,2,2
405.0,0.08419439229535289,2.6180437897879743,pass,,1304,7,2,2,2,2,2,1,2,2
658.0,0.08292325983921152,2.7598829488825682,missing_layer,1302,1304,6,2,2,2,2,0,1,2,2
1456.0,0.04117232192349948,2.3711507786713826,missing_layer,"806,1302,1304",,5,2,2,0,2,0,0,2,2
1900.0,0.01067072130089822,6.429347399905113,missing_layer,"804,806,808,1302,1304",,3,2,0,0,0,0,0,2,2
2505.0,0.09065169361686885,3.398856860305664,missing_layer,1302,,7,2,2,2,2,0,2,2,2
3485.0,0.03157989437894585,2.4061110504457957,coverage_2hit_fail,,"1302,1304",6,2,2,2,2,1,1,2,2
3500.0,0.07415773904347078,5.0880887706415985,missing_layer,"1302,1304",,6,2,2,2,2,0,0,2,2
3781.0,0.08162783422894802,4.795208865057793,coverage_2hit_fail,,"1302,1304",6,2,2,2,2,1,1,2,2
4050.0,0.05127537684187903,1.4938296035017706,missing_layer,"1302,1304",,6,2,2,2,2,0,0,2,2
4648.0,0.09993586383987521,6.334272097429319,missing_layer,"806,808,1302,1304",,4,2,2,0,0,0,0,2,2
4790.0,0.0018267903387129865,7.235051237648639,missing_layer,"802,804,806,808,1302,1304",,2,0,0,0,0,0,0,2,2
5833.0,0.08465253060234482,3.134522324941086,pass,,1304,7,2,2,2,2,2,1,2,2
6899.0,0.002732869974020231,8.340817789380056,missing_layer,"802,804,806,808,1302,1304",,2,0,0,0,0,0,0,2,2
7217.0,0.09134609747442965,3.2045933908576014,missing_layer,1302,,7,2,2,2,2,0,2,2,2
7425.0,0.07826928884558576,3.2576883392740563,coverage_2hit_fail,,"1302,1304",6,2,2,2,2,1,1,2,2
7788.0,0.09885213831628759,4.771191213766587,missing_layer,1304,1302,6,2,2,2,2,1,0,2,2
7812.0,0.06032141960531307,2.9784707623196756,missing_layer,1304,,7,2,2,2,2,2,0,2,2
7921.0,0.04799467713500385,3.4859411198072054,coverage_2hit_fail,,"1302,1304",6,2,2,2,2,1,1,2,2
7986.0,0.09217148794423713,3.5779332708857563,missing_layer,1304,,7,2,2,2,2,2,0,2,2
8053.0,0.09763464711699259,4.270119700823243,pass,,1304,7,2,2,2,2,2,1,2,2
8159.0,0.07953899290426023,3.0425595707245834,missing_layer,1302,,7,2,2,2,2,0,2,2,2
9665.0,0.09754129181331496,4.769824328486549,coverage_2hit_fail,,"1302,1304",6,2,2,2,2,1,1,2,2
