event,photon_pT,weight,found,pT_bin
274.0,55.08367831311664,0.01,False,>20
440.0,12.904487769537786,0.01,False,5-20
818.0,22.679720556616697,0.01,False,>20
1150.0,183.07154275991445,0.01,False,>20
1791.0,24.738952583499067,0.01,False,>20
3273.0,35.504929991861616,0.01,False,>20
3487.0,217.127618862944,0.01,False,>20
3520.0,186.81755777419443,0.01,False,>20
3926.0,214.57832694484927,0.01,False,>20
4004.0,34.85307925975937,0.01,False,>20
4510.0,208.6139688090865,0.01,False,>20
5060.0,14.283328849898783,0.01,False,5-20
5364.0,168.4842164135801,0.01,False,>20
5392.0,17.18015869105768,0.01,False,5-20
5863.0,10.46948137397714,0.01,False,5-20
6345.0,13.725346870101038,0.01,False,5-20
6359.0,19.74349223657956,0.01,False,5-20
6516.0,38.53326751686997,0.01,False,>20
6772.0,174.53901648324938,0.01,False,>20
6907.0,395.23613538075926,0.01,False,>20
7132.0,34.565709935662575,0.01,False,>20
7238.0,25.441664479666915,0.01,False,>20
7371.0,195.03060369628784,0.01,False,>20
7681.0,67.92912961693798,0.01,False,>20
7715.0,58.51097831144521,0.01,False,>20
7966.0,14.922062297290804,0.01,False,5-20
8103.0,24.570519110135084,0.01,False,>20
8627.0,90.19574793503148,0.01,False,>20
9360.0,24.91368057093477,0.01,False,>20
9395.0,10.215918793217352,0.01,False,5-20
9653.0,23.398012948375644,0.01,False,>20
9720.0,37.551110287809294,0.01,False,>20
9791.0,473.1804634717832,0.01,False,>20
9794.0,201.3378903620516,0.01,False,>20
