benchmark,mode,reason,count,total,fraction
200 GeV,full,final_ds_fail,229,320,0.715625
200 GeV,full,seed_ds_fail,91,320,0.284375
200 GeV,pixel_only,pass,320,320,1.0
200 GeV,rphi_only,pass,320,320,1.0
200 GeV,z_only,final_ds_fail,228,320,0.7125
200 GeV,z_only,seed_ds_fail,92,320,0.2875
250 GeV,full,final_ds_fail,224,320,0.7
250 GeV,full,missing_layer_after_growth,1,320,0.003125
250 GeV,full,seed_ds_fail,95,320,0.296875
250 GeV,pixel_only,pass,320,320,1.0
250 GeV,rphi_only,pass,320,320,1.0
250 GeV,z_only,final_ds_fail,227,320,0.709375
250 GeV,z_only,seed_ds_fail,93,320,0.290625
50 GeV,full,final_ds_fail,169,320,0.528125
50 GeV,full,missing_layer_after_growth,1,320,0.003125
50 GeV,full,seed_ds_fail,150,320,0.46875
50 GeV,pixel_only,pass,320,320,1.0
50 GeV,rphi_only,pass,320,320,1.0
50 GeV,z_only,final_ds_fail,172,320,0.5375
50 GeV,z_only,missing_layer_after_growth,2,320,0.00625
50 GeV,z_only,seed_ds_fail,146,320,0.45625
