benchmark,mode,mean_delta_s_mm,mean_hits,pass_fraction
200 GeV,full,0.280967740459231,8.55625,0.0
200 GeV,pixel_only,0.07189074155690373,16.0,1.0
200 GeV,rphi_only,0.071905714232571,15.99375,1.0
200 GeV,z_only,0.28052386640567534,8.49375,0.0
250 GeV,full,0.2629939033519511,7.1875,0.0
250 GeV,pixel_only,0.051893087382954686,16.0,1.0
250 GeV,rphi_only,0.05189301051134473,16.0,1.0
250 GeV,z_only,0.2639348395988474,7.2375,0.0
50 GeV,full,0.22816103647096614,5.76875,0.0
50 GeV,pixel_only,0.07142109206795011,16.0,1.0
50 GeV,rphi_only,0.0714207334596547,16.0,1.0
50 GeV,z_only,0.22953857863986765,5.88125,0.0
