event,phi0,lambda_eV,lambda_keV,n_hits,found,delta_s,delta_w,reason
0,0.0,10000.0,10.0,16,True,5.057621821307283e-07,2.3491082660234497,
1,0.39269908169872414,10000.0,10.0,16,True,4.1870518413062785e-07,1.3265884508426962,
2,0.7853981633974483,10000.0,10.0,16,True,2.5272089358493317e-07,1.5981876791768792,
3,1.1780972450961724,10000.0,10.0,16,True,3.444179974848208e-07,1.1104916562157496,
4,1.5707963267948966,10000.0,10.0,16,True,3.7134919618508506e-07,1.2574779524427742,
5,1.9634954084936207,10000.0,10.0,16,False,,,no exact8 plane survived
6,2.356194490192345,10000.0,10.0,16,True,2.470108715146459e-07,1.5981876791770604,
7,2.748893571891069,10000.0,10.0,16,True,4.6355083772865333e-07,1.181844611678914,
8,3.141592653589793,10000.0,10.0,16,True,1.4939764251181833e-07,1.231536535803865,
9,3.5342917352885173,10000.0,10.0,16,False,,,no exact8 plane survived
10,3.9269908169872414,10000.0,10.0,16,True,3.198270547699223e-07,0.9512176660330098,
11,4.319689898685965,10000.0,10.0,16,True,5.928792208109842e-07,1.6641001750654087,
12,4.71238898038469,10000.0,10.0,16,False,,,no exact8 plane survived
13,5.105088062083414,10000.0,10.0,16,True,4.151012804711378e-07,1.223380994349798,
14,5.497787143782138,10000.0,10.0,16,True,3.3205847356852903e-07,1.234624460189393,
15,5.890486225480862,10000.0,10.0,16,False,,,no exact8 plane survived
