event,phi0,lambda_eV,lambda_keV,n_hits,found,delta_s,delta_w,reason
0,0.0,4000.0,4.0,16,True,6.112337890883798e-07,1.6361322927637225,
1,0.39269908169872414,4000.0,4.0,16,True,3.4770970691724936e-07,0.6197889766510655,
2,0.7853981633974483,4000.0,4.0,16,True,2.3831530264137362e-07,0.6818285368976064,
3,1.1780972450961724,4000.0,4.0,16,True,4.45177312259211e-07,0.6033687096850704,
4,1.5707963267948966,4000.0,4.0,16,True,6.743495761743046e-07,1.6361322927637223,
5,1.9634954084936207,4000.0,4.0,16,True,4.4302667051539896e-07,0.776182408708354,
6,2.356194490192345,4000.0,4.0,16,True,3.412037865625674e-07,0.6818285369177407,
7,2.748893571891069,4000.0,4.0,16,True,3.483434019810587e-07,0.6814647042342094,
8,3.141592653589793,4000.0,4.0,16,True,5.636685612397106e-07,0.6687722011380323,
9,3.5342917352885173,4000.0,4.0,16,True,2.7327464255892603e-07,0.7285527402666632,
10,3.9269908169872414,4000.0,4.0,16,True,3.921371084287602e-07,0.7515651444112693,
11,4.319689898685965,4000.0,4.0,16,True,4.5318417381278977e-07,0.8082462904432746,
12,4.71238898038469,4000.0,4.0,16,True,4.686436211325281e-07,0.7898958810938643,
13,5.105088062083414,4000.0,4.0,16,True,2.858762423848756e-07,0.7945212233246115,
14,5.497787143782138,4000.0,4.0,16,True,3.687827105940586e-07,0.6299479066435644,
15,5.890486225480862,4000.0,4.0,16,True,3.9965138104021007e-07,0.6493822809411796,
