event,ds_floor_mm,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double
0,0.0,False,0.0,1.438442318277791,7,False,False
1,0.0,False,5.285723339655177e-06,1.2805450698801573,8,False,False
2,0.0,False,4.764782288048956e-06,0.903509744278964,8,False,False
3,0.0,False,2.447246886413633e-06,0.7130098117317817,8,False,False
4,0.0,False,2.84054749624067e-06,0.2824329320869309,8,False,False
5,0.0,False,2.015417772551289e-06,0.3580695547139473,8,False,False
6,0.0,False,4.782415130421241e-06,0.9035097442956567,8,False,False
7,0.0,False,5.233511631390348e-06,1.6173465118905135,8,False,False
8,0.0,False,0.0,0.6129500492073242,7,False,False
9,0.0,False,0.0,0.3801340686866444,6,False,False
10,0.0,False,3.0502422146274427e-06,0.699107738198944,8,False,False
11,0.0,False,3.308165125091804e-06,0.6668326428018427,8,False,False
12,0.0,False,4.105504317220862e-06,0.8613677064197909,8,False,False
13,0.0,False,8.60740108331898e-07,0.5361690067252917,8,False,False
14,0.0,False,2.424521845622066e-06,0.5846160108726555,8,False,False
15,0.0,False,9.462565545912295e-07,0.966842493315417,7,False,False
0,0.005,False,2.3360154559928683e-06,1.3636295747730713,8,False,False
1,0.005,False,5.285723339655177e-06,1.2805450698801573,8,False,False
2,0.005,False,4.764782288048956e-06,0.903509744278964,8,False,False
3,0.005,False,2.447246886413633e-06,0.7130098117317817,8,False,False
4,0.005,False,2.84054749624067e-06,0.2824329320869309,8,False,False
5,0.005,False,2.015417772551289e-06,0.3580695547139473,8,False,False
6,0.005,False,4.782415130421241e-06,0.9035097442956567,8,False,False
7,0.005,False,5.233511631390348e-06,1.6173465118905135,8,False,False
8,0.005,False,9.269536374279362e-07,0.5676778292499174,8,False,False
9,0.005,False,2.378332372383677e-06,0.4909982640371359,8,False,False
10,0.005,False,3.0502422146274427e-06,0.699107738198944,8,False,False
11,0.005,False,3.308165125091804e-06,0.6668326428018427,8,False,False
12,0.005,False,4.105504317220862e-06,0.8613677064197909,8,False,False
13,0.005,False,8.60740108331898e-07,0.5361690067252917,8,False,False
14,0.005,False,2.424521845622066e-06,0.5846160108726555,8,False,False
15,0.005,False,3.1127837409063117e-06,0.9047547632839877,8,False,False
0,0.01,False,2.3360154559928683e-06,1.3636295747730713,8,False,False
1,0.01,False,5.285723339655177e-06,1.2805450698801573,8,False,False
2,0.01,False,4.764782288048956e-06,0.903509744278964,8,False,False
3,0.01,False,0.05212303382054136,0.7501153361398583,11,False,False
4,0.01,False,0.05903053635712733,0.5756097813136514,12,False,False
5,0.01,False,0.05903042620440163,0.601788132887221,12,False,False
6,0.01,False,4.782415130421241e-06,0.9035097442956567,8,False,False
7,0.01,False,5.233511631390348e-06,1.6173465118905135,8,False,False
8,0.01,False,0.05901088716874385,0.7048283185490825,12,False,False
9,0.01,False,0.059031012921121846,0.6584046380313224,12,False,False
10,0.01,False,0.05208206168316126,0.7454293656328187,11,False,False
11,0.01,False,0.05903014092576612,0.7506275439494537,12,False,False
12,0.01,False,4.105504317220862e-06,0.8613677064197909,8,False,False
13,0.01,False,0.05903104583402513,0.6804753862922992,12,False,False
14,0.01,False,0.05902143684743972,0.7059337729472606,12,False,False
15,0.01,False,3.1127837409063117e-06,0.9047547632839877,8,False,False
0,0.02,True,0.07147336810341376,1.0413432602483117,16,True,True
1,0.02,True,0.07140468929377271,0.9897480618666817,16,True,True
2,0.02,True,0.0714381963346305,0.7701439218029933,16,True,True
3,0.02,True,0.07139350491224229,0.6704990334628728,16,True,True
4,0.02,True,0.07141091757019803,0.4991362690990127,16,True,True
5,0.02,True,0.07143563451418362,0.5206615929780103,16,True,True
6,0.02,True,0.07146983164826677,0.7694968860957921,16,True,True
7,0.02,True,0.07141298381261889,1.1989741241299252,16,True,True
8,0.02,True,0.07147848753981544,0.6066440263845885,16,True,True
9,0.02,True,0.07149050958116422,0.5681116281611195,16,True,True
10,0.02,True,0.07139256101985414,0.6636635019546379,16,True,True
11,0.02,True,0.07130851837283964,0.6495674430128878,16,True,True
12,0.02,True,0.07143833600843592,0.7467847268764675,16,True,True
13,0.02,True,0.07146340745497169,0.5872167788723452,16,True,True
14,0.02,True,0.07128069438769301,0.611618557052855,16,True,True
15,0.02,True,0.07144583253310179,0.7703172424593167,16,True,True
0,0.034,True,0.07147336810341376,1.0413432602483117,16,True,True
1,0.034,True,0.07140468929377271,0.9897480618666817,16,True,True
2,0.034,True,0.0714381963346305,0.7701439218029933,16,True,True
