event,ds_floor_mm,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double
0,0.0,False,6.743495761743046e-07,0.8408919459860766,6,False,False
1,0.0,False,5.462178270927111e-07,0.4690707572704228,8,False,False
2,0.0,False,2.0280817062601662e-07,0.6730066991106248,6,False,False
3,0.0,False,8.402757389243461e-07,0.2446272247846235,8,False,False
4,0.0,False,1.8193288749585145e-07,0.904941369984749,8,False,False
5,0.0,False,0.0,0.6820304066670793,6,False,False
6,0.0,False,6.229973095333461e-07,0.785849059451983,8,False,False
7,0.0,False,0.0,0.7239277487496484,7,False,False
8,0.0,False,4.72229034075278e-07,0.5360712616368408,8,False,False
9,0.0,False,0.0,0.3315861465848102,5,False,False
10,0.0,False,4.6108545786093667e-07,0.6149416759624217,8,False,False
11,0.0,False,7.530547899047837e-07,0.6955057729004372,8,False,False
12,0.0,False,8.047737013425479e-07,0.32660555507886396,8,False,False
13,0.0,False,9.823874624029273e-08,0.918482454274007,5,False,False
14,0.0,False,4.953128387540446e-07,0.6913878474254596,8,False,False
15,0.0,False,6.044573362574966e-07,0.5010551211346024,8,False,False
0,0.005,False,0.038797774822753,0.603022217973001,12,False,False
1,0.005,False,0.06041832465425971,0.5300579925271315,14,False,True
2,0.005,False,0.03879709736465179,0.6553102025535787,12,False,False
3,0.005,False,0.06042275370691646,0.42969255308132565,14,False,True
4,0.005,False,0.038791806922595144,0.7443474260073825,12,False,False
5,0.005,False,0.03879440412057879,0.588775550304271,12,False,False
6,0.005,False,0.038795892992480485,0.6552948584727766,12,False,False
7,0.005,False,0.03879765884876289,0.606661405419037,12,False,False
8,0.005,False,0.048359179243798886,0.5200662653185177,13,False,False
9,0.005,False,0.06041332932057915,0.5123825890578958,14,False,True
10,0.005,False,0.038795503620945686,0.526372611583285,12,False,False
11,0.005,False,0.038794239662201725,0.5867623633353872,12,False,False
12,0.005,False,0.060414273949896014,0.465702258718086,14,False,True
13,0.005,False,0.03879145562563534,0.6397459548918247,12,False,False
14,0.005,False,0.03879683227820968,0.5836155719947091,12,False,False
15,0.005,False,0.0604174262401209,0.5456774931218309,14,False,True
0,0.01,False,0.038797774822753,0.603022217973001,12,False,False
1,0.01,False,0.06041832465425971,0.5300579925271315,14,False,True
2,0.01,False,0.03879709736465179,0.6553102025535787,12,False,False
3,0.01,False,0.06042275370691646,0.42969255308132565,14,False,True
4,0.01,False,0.038791806922595144,0.7443474260073825,12,False,False
5,0.01,False,0.03879440412057879,0.588775550304271,12,False,False
6,0.01,False,0.038795892992480485,0.6552948584727766,12,False,False
7,0.01,False,0.03879765884876289,0.606661405419037,12,False,False
8,0.01,False,0.048359179243798886,0.5200662653185177,13,False,False
9,0.01,False,0.06041332932057915,0.5123825890578958,14,False,True
10,0.01,False,0.038795503620945686,0.526372611583285,12,False,False
11,0.01,False,0.038794239662201725,0.5867623633353872,12,False,False
12,0.01,False,0.060414273949896014,0.465702258718086,14,False,True
13,0.01,False,0.03879145562563534,0.6397459548918247,12,False,False
14,0.01,False,0.03879683227820968,0.5836155719947091,12,False,False
15,0.01,False,0.0604174262401209,0.5456774931218309,14,False,True
