event,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double,n_802,n_804,n_806,n_808,n_1302,n_1304,n_1306,n_1308
0,True,0.07147336810341376,1.0413432602483117,16,True,True,2,2,2,2,2,2,2,2
1,True,0.07140468929377271,0.9897480618666817,16,True,True,2,2,2,2,2,2,2,2
2,True,0.0714381963346305,0.7701439218029933,16,True,True,2,2,2,2,2,2,2,2
3,True,0.07139350491224229,0.6704990334628728,16,True,True,2,2,2,2,2,2,2,2
4,True,0.07141091757019803,0.4991362690990127,16,True,True,2,2,2,2,2,2,2,2
5,True,0.07143563451418362,0.5206615929780103,16,True,True,2,2,2,2,2,2,2,2
6,True,0.07146983164826677,0.7694968860957921,16,True,True,2,2,2,2,2,2,2,2
7,True,0.07141298381261889,1.1989741241299252,16,True,True,2,2,2,2,2,2,2,2
8,True,0.07147848753981544,0.6066440263845885,16,True,True,2,2,2,2,2,2,2,2
9,True,0.07149050958116422,0.5681116281611195,16,True,True,2,2,2,2,2,2,2,2
10,True,0.07139256101985414,0.6636635019546379,16,True,True,2,2,2,2,2,2,2,2
11,True,0.07130851837283964,0.6495674430128878,16,True,True,2,2,2,2,2,2,2,2
12,True,0.07143833600843592,0.7467847268764675,16,True,True,2,2,2,2,2,2,2,2
13,True,0.07146340745497169,0.5872167788723452,16,True,True,2,2,2,2,2,2,2,2
14,True,0.07128069438769301,0.611618557052855,16,True,True,2,2,2,2,2,2,2,2
15,True,0.07144583253310179,0.7703172424593167,16,True,True,2,2,2,2,2,2,2,2
