event,variant,deepest_stage,best_naccepted,best_final_ds,best_final_dw,seed_pairs,seed_forward,seed_shape,growth_started,growth_forward,growth_n1,growth_n2,growth_3x,final_shape,coverage_all8,coverage_7double,PASS,n_802,n_804,n_806,n_808,n_1302,n_1304,n_1306,n_1308
0,truth,PASS,16,6.743495761743046e-07,1.0383976246715076,True,True,True,True,True,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2
0,pixel_only,PASS,16,0.0714733681161387,1.0413432602483117,True,True,True,True,True,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2
0,sct_only,seed_forward,0,,,True,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0
0,pixel_plus_sct,seed_forward,0,,,True,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0
1,truth,PASS,16,3.964913951071075e-06,0.9903861142119497,True,True,True,True,True,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2
1,pixel_only,final_shape,8,5.055563575082932e-06,1.2805450698783205,True,True,True,True,True,True,True,True,True,False,False,False,0,0,0,0,2,2,2,2
1,sct_only,seed_forward,0,,,True,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0
1,pixel_plus_sct,seed_forward,0,,,True,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0
2,truth,PASS,16,3.7516021146346535e-06,0.7697869610931454,True,True,True,True,True,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2
2,pixel_only,final_shape,8,4.7626883987358935e-06,0.9035097442794604,True,True,True,True,True,True,True,True,True,False,False,False,0,0,0,0,2,2,2,2
2,sct_only,seed_forward,0,,,True,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0
2,pixel_plus_sct,seed_forward,0,,,True,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0
3,truth,PASS,16,2.499616619238877e-06,0.6705278599334398,True,True,True,True,True,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2
3,pixel_only,final_shape,8,2.5752196976323733e-06,0.7130098117320014,True,True,True,True,True,True,True,True,True,False,False,False,0,0,0,0,2,2,2,2
3,sct_only,growth_3x,12,0.24115866979997697,0.8295880838135975,True,True,True,True,True,True,True,True,False,False,False,False,1,0,2,2,2,1,2,2
3,pixel_plus_sct,growth_3x,12,0.22523097484308668,0.8366692079868331,True,True,True,True,True,True,True,True,False,False,False,False,1,0,2,2,2,1,2,2
4,truth,PASS,16,1.7512533930589434e-06,0.49905007258449663,True,True,True,True,True,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2
4,pixel_only,final_shape,8,2.9809370530535466e-06,0.2824329320899675,True,True,True,True,True,True,True,True,True,False,False,False,0,0,0,0,2,2,2,2
4,sct_only,growth_3x,11,0.18008807441383806,0.9681828849833751,True,True,True,True,True,True,True,True,False,False,False,False,0,0,2,2,1,2,2,2
4,pixel_plus_sct,growth_3x,11,0.18078162743236514,0.9697362655636449,True,True,True,True,True,True,True,True,False,False,False,False,0,0,2,2,1,2,2,2
5,truth,PASS,16,1.2392831998424612e-06,0.5206828653465828,True,True,True,True,True,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2
5,pixel_only,final_shape,8,2.018715604993164e-06,0.35806955471399576,True,True,True,True,True,True,True,True,True,False,False,False,0,0,0,0,2,2,2,2
5,sct_only,growth_3x,10,0.1784394341547865,0.6712595372597495,True,True,True,True,True,True,True,True,False,False,False,False,0,0,2,2,1,1,2,2
5,pixel_plus_sct,growth_3x,10,0.18113824917761928,0.67018221365991,True,True,True,True,True,True,True,True,False,False,False,False,0,0,2,2,1,1,2,2
6,truth,PASS,16,3.757338925113189e-06,0.7697869611041003,True,True,True,True,True,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2
6,pixel_only,final_shape,8,4.823428957172904e-06,0.9035097442955625,True,True,True,True,True,True,True,True,True,False,False,False,0,0,0,0,2,2,2,2
6,sct_only,seed_forward,0,,,True,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0
6,pixel_plus_sct,seed_forward,0,,,True,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0
7,truth,PASS,16,4.0108585725647584e-06,1.1988389058671194,True,True,True,True,True,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2
7,pixel_only,final_shape,8,5.032514364289159e-06,1.6173465118913983,True,True,True,True,True,True,True,True,True,False,False,False,0,0,0,0,2,2,2,2
7,sct_only,growth_3x,10,0.332464196428562,1.1639591549965955,True,True,True,True,True,True,True,True,False,False,False,False,1,0,2,2,1,0,2,2
7,pixel_plus_sct,growth_3x,9,0.33258658958238424,1.2244159854866412,True,True,True,True,True,True,True,True,False,False,False,False,0,0,2,2,1,0,2,2
8,truth,PASS,16,1.7048810739850267e-06,0.6007743656365486,True,True,True,True,True,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2
8,pixel_only,final_shape,8,9.267203784446661e-07,0.5676778292498222,True,True,True,True,True,True,True,True,True,False,False,False,0,0,0,0,2,2,2,2
8,sct_only,seed_forward,0,,,True,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0
8,pixel_plus_sct,seed_forward,0,,,True,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0
9,truth,PASS,16,2.347776086543205e-06,0.5683450078821611,True,True,True,True,True,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2
9,pixel_only,final_shape,8,2.1008064208062465e-06,0.49099826403834196,True,True,True,True,True,True,True,True,True,False,False,False,0,0,0,0,2,2,2,2
