event,variant,deepest_stage,best_naccepted,best_final_ds,best_final_dw,seed_pairs,seed_forward,seed_shape,growth_started,growth_forward,growth_n1,growth_n2,growth_3x,final_shape,coverage_all8,coverage_7double,PASS,n_802,n_804,n_806,n_808,n_1302,n_1304,n_1306,n_1308
0,truth,final_shape,14,5.028223456569078e-07,0.6694489621106309,True,True,True,True,True,True,True,True,True,False,False,False,2,2,2,2,2,0,2,2
0,pixel_only,final_shape,6,6.743495761743046e-07,0.8408919459860766,True,True,True,True,True,True,True,True,True,False,False,False,0,0,0,0,2,0,2,2
0,sct_only,growth_3x,12,0.3204128974200148,0.8964415184950041,True,True,True,True,True,True,True,True,False,False,False,False,2,0,2,2,1,1,2,2
0,pixel_plus_sct,growth_3x,12,0.3215089163485482,0.896562776897746,True,True,True,True,True,True,True,True,False,False,False,False,2,0,2,2,1,1,2,2
1,truth,PASS,16,7.51153176348956e-07,0.5054352014626776,True,True,True,True,True,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2
1,pixel_only,final_shape,8,7.26659645257555e-07,0.46907075726260095,True,True,True,True,True,True,True,True,True,False,False,False,0,0,0,0,2,2,2,2
1,sct_only,growth_3x,12,0.25223802954944735,0.5657558036491052,True,True,True,True,True,True,True,True,False,False,False,False,2,0,2,2,1,1,2,2
1,pixel_plus_sct,growth_3x,12,0.25441452888626964,0.5718394070456647,True,True,True,True,True,True,True,True,False,False,False,False,2,0,2,2,1,1,2,2
2,truth,PASS,16,6.33764095961473e-07,0.6642615416568985,True,True,True,True,True,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2
2,pixel_only,final_shape,8,7.218715387225264e-07,0.7858490594947418,True,True,True,True,True,True,True,True,True,False,False,False,0,0,0,0,2,2,2,2
2,sct_only,seed_forward,0,,,True,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0
2,pixel_plus_sct,seed_forward,0,,,True,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0
3,truth,PASS,16,8.556858162511761e-07,0.42502241404105556,True,True,True,True,True,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2
3,pixel_only,final_shape,8,8.931377727017772e-07,0.2446272247846928,True,True,True,True,True,True,True,True,True,False,False,False,0,0,0,0,2,2,2,2
3,sct_only,growth_3x,14,0.2733694483477196,0.671695659352854,True,True,True,True,True,True,True,True,False,False,False,False,2,0,2,2,2,2,2,2
3,pixel_plus_sct,growth_3x,14,0.2679779353922736,0.6734167523497604,True,True,True,True,True,True,True,True,False,False,False,False,2,0,2,2,2,2,2,2
4,truth,PASS,16,6.053766310725566e-07,0.7313556895202773,True,True,True,True,True,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2
4,pixel_only,final_shape,8,3.133730648136201e-07,0.9049413699415955,True,True,True,True,True,True,True,True,True,False,False,False,0,0,0,0,2,2,2,2
4,sct_only,seed_forward,0,,,True,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0
4,pixel_plus_sct,seed_forward,0,,,True,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0
5,truth,PASS,16,6.680728369179409e-07,0.6165803947198735,True,True,True,True,True,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2
5,pixel_only,final_shape,8,1.9349495529708518e-07,0.698145294411569,True,True,True,True,True,True,True,True,True,False,False,False,0,0,0,0,2,2,2,2
