event,particle,charge,layer_id,trajectory_step,x,y,z,r,phi,n_merged,t
0,1,1,1,6012,33.242631851091865,0.6999482929279632,6.75,33.25,0.021052631578947368,1,
0,-1,-1,1,6012,33.242631851091865,-0.6999482929279632,6.75,33.25,-0.021052631578947368,1,
0,1,1,2,9132,50.48908455166298,-1.049924347287679,10.0,50.5,-0.02079207920792079,1,
0,-1,-1,2,9132,50.48908455166298,1.049924347287679,10.0,50.5,0.02079207920792079,1,
0,1,1,3,16007,88.49994350283087,-0.0999999787204627,17.6,88.5,-0.0011299435028248588,1,
0,-1,-1,3,16007,88.49994350283087,0.0999999787204627,17.6,88.5,0.0011299435028248588,1,
0,1,1,4,22158,122.49990816327679,-0.1499999625156213,24.400000000000002,122.5,-0.0012244897959183673,1,
0,-1,-1,4,22158,122.49990816327679,0.1499999625156213,24.400000000000002,122.5,0.0012244897959183673,1,
0,1,1,5,54134,298.9990330632129,0.7604125615276793,58.598218834071055,299.0,0.002543188565982329,1,0.7247122497959687
0,-1,-1,5,54134,298.99905779857266,-0.7506234514225139,58.81506944132468,299.0,-0.0025104489627833164,1,0.7247122497959687
0,1,1,6,67184,370.99766584533603,-1.3160308934135312,75.29651480818931,371.0,-0.003547260521202836,1,0.013921869434554661
0,-1,-1,6,67184,370.9974651362327,1.3714454016858466,75.10769838227309,371.0,0.0036966267524771107,1,0.013921869434554661
0,1,1,7,80208,442.998849339167,1.0096950896375312,87.09630689297924,443.0,0.0022792233946773047,1,0.7523653226634852
0,-1,-1,7,80208,442.99869862747227,-1.0737850650749163,89.91443492102245,443.0,-0.002423896425596377,1,0.7523653226634852
0,1,1,8,93060,513.997078707243,1.732939820147483,102.44081475079271,514.0,0.0033714846365368546,1,0.9041926189379217
0,-1,-1,8,93060,513.9971465537675,-1.7126980425084297,101.81087690096672,514.0,-0.0033321035249721516,1,0.9041926189379217
1,1,1,1,6012,30.44724045428909,13.361438871570002,6.75,33.25,0.41353383458646614,1,
1,-1,-1,1,6012,30.982675881695172,12.067986377595238,6.75,33.25,0.3714285714285715,1,
1,1,1,2,9132,47.04082313492737,18.368749516188675,10.0,50.5,0.37227722772277233,1,
1,-1,-1,2,9132,46.256612363731655,20.262670422021564,10.0,50.5,0.4128712871287129,1,
1,1,1,3,16007,81.80303114697374,33.771498266544896,17.6,88.5,0.39152542372881355,1,
1,-1,-1,3,16007,81.72650255423906,33.95627747931089,17.6,88.5,0.39378531073446327,1,
1,1,1,4,22158,113.23471126889173,46.734892359464396,24.400000000000002,122.5,0.39142857142857146,1,
1,-1,-1,4,22158,113.11991902320214,47.01206143304277,24.400000000000002,122.5,0.3938775510204082,1,
1,-1,-1,5,54136,276.7173789553134,113.26293384908178,59.395807316742875,299.0,0.38850559115272787,1,0.7915774290588874
1,1,1,5,54217,276.2471453139693,114.40504668013,58.69247837103153,299.0,0.39263645726377666,1,0.1575644373090653
1,-1,-1,6,67356,343.0361895159927,141.3052464784939,74.62971241900442,371.0,0.3907442519591555,1,0.5473288854011543
1,1,1,6,67380,342.01193555764,143.76660229732323,74.14704545798728,371.0,0.39793015653218217,1,0.9766377510491507
1,-1,-1,7,80470,408.9094645779694,170.41728133777505,89.10664006985823,443.0,0.39487100390951024,1,0.4676818966903028
1,1,1,7,80542,409.5841587615279,168.78926770269345,87.81707739299046,443.0,0.3908929362942912,1,0.881700680411967
1,-1,-1,8,93213,475.59796769388646,194.94248671196573,102.33602831167022,514.0,0.3890024016588032,1,0.9004710338567362
1,1,1,8,93293,475.4470177529684,195.31035126129015,102.628508125421,514.0,0.3897760023540544,1,0.011249621436052713
2,1,1,1,6012,23.021608662318073,23.99099903295153,6.75,33.25,0.806015037593985,1,
2,-1,-1,1,6012,24.01105359123387,23.000691412192268,6.75,33.25,0.7639097744360903,1,
2,1,1,2,9132,36.41768746595647,34.985740518558664,10.0,50.5,0.7653465346534655,1,
2,-1,-1,2,9132,34.96786243462316,36.4348541475504,10.0,50.5,0.805940594059406,1,
2,1,1,3,16007,62.65508563436289,62.50272189393557,17.6,88.5,0.784180790960452,1,
2,-1,-1,3,16007,62.51367667307568,62.644155583854385,17.6,88.5,0.7864406779661018,1,
2,1,1,4,22158,86.73454425230264,86.50646700302443,24.400000000000002,122.5,0.7840816326530613,1,
2,-1,-1,4,22158,86.48702923597494,86.75392656206182,24.400000000000002,122.5,0.7869387755102041,1,
2,1,1,5,53978,211.3046396369562,211.5451471149741,58.86080073340196,298.99999999999994,0.7859669409151809,1,0.21835298776559106
2,-1,-1,5,54046,211.28547294127202,211.56429028544264,60.43483767618739,299.00000000000006,0.7860575401501634,1,0.27857135387527615
2,-1,-1,6,67204,263.110039049229,261.56090562527345,74.47494470278342,371.0,0.7824455910508021,1,0.37905886965886765
2,1,1,6,67267,262.4432182470295,262.2299700570895,75.5155390550661,371.0,0.7849917233830712,1,0.7500823517061145
2,-1,-1,7,80309,312.3273835565428,314.16652507981206,88.86039047737017,443.0,0.7883337645498674,1,0.18329963573407387
2,1,1,7,80380,313.11615833502174,313.3803940732693,87.6325127948791,443.0,0.7858199306387265,1,0.33956354068362077
2,-1,-1,8,93252,364.66758602144614,362.23411173616876,103.06701488467135,514.0,0.782050440862298,1,0.46415072236504556
2,1,1,8,93324,363.733499913652,363.1720543221426,103.56288536059024,514.0,0.7846257859178829,1,0.39273461707540364
3,1,1,1,6012,12.09498365061491,30.972146688457972,6.75,33.25,1.1984962406015038,1,
3,-1,-1,1,6012,13.387969013555036,30.435584201590256,6.75,33.25,1.1563909774436092,1,
3,1,1,2,9132,20.285763687380154,46.24648950590486,10.0,50.5,1.1574257425742576,1,
3,-1,-1,2,9132,18.392234571763467,47.03164580851099,10.0,50.5,1.198019801980198,1,
3,1,1,3,16007,33.92439225297524,81.73974315023429,17.6,88.5,1.1774011299435028,1,
3,-1,-1,3,16007,33.78580165383595,81.79712468423114,17.6,88.5,1.1790960451977401,1,
3,1,1,4,22158,47.032883965671594,113.11126303720454,24.400000000000002,122.5,1.1767346938775511,1,
3,-1,-1,4,22158,46.70951739729184,113.2451808445379,24.400000000000002,122.5,1.1795918367346938,1,
3,-1,-1,5,54020,114.87100480018952,276.0537126288919,61.538848498665814,299.0,1.1764725355253653,1,0.9374180766491357
3,1,1,5,54083,114.60574418576235,276.16394297523277,59.883163617052354,299.0,1.1774332458225933,1,0.07587364016023121
3,-1,-1,6,67062,141.74490873695518,342.85475182233114,75.32912761716479,371.00000000000006,1.1787700570345279,1,0.15730264000715274
3,1,1,6,67128,141.85728184215083,342.80827234528135,74.93823374008832,371.0,1.1784422776436938,1,0.5425981629651907
3,1,1,7,80170,170.51759802209864,408.86764211022364,88.23604388143062,442.99999999999994,1.175679982968189,1,0.3539767432842844
3,-1,-1,7,80224,170.24079374013982,408.98297293008073,88.21851428265215,443.0,1.1763568896460077,1,0.5326041637668194
3,1,1,8,93163,197.87477748908586,474.3854681940044,102.06682182916778,514.0,1.175620593362365,1,0.7079433324516716
3,-1,-1,8,93236,195.86411384496174,475.2191588180425,103.48809990106639,514.0,1.1798553255491442,1,0.6560905627147716
4,1,1,1,6012,-0.720965627228506,33.24218266847643,6.75,33.25,1.5924812030075188,1,
4,-1,-1,1,6012,0.678930678834802,33.24306774552158,6.75,33.25,1.5503759398496242,1,
4,1,1,2,9132,1.025144082291481,50.48959377545577,10.0,50.5,1.5504950495049508,1,
4,-1,-1,2,9132,-1.0247151643726415,50.489602482411215,10.0,50.5,1.5910891089108912,1,
4,1,1,3,16007,0.06547491537541093,88.49997577985802,17.6,88.5,1.5700564971751414,1,
4,-1,-1,3,16007,-0.08452506580118277,88.49995963565888,17.6,88.5,1.5717514124293785,1,
4,1,1,4,22158,0.17254997531617008,122.49987847547449,24.400000000000002,122.5,1.5693877551020408,1,
4,-1,-1,4,22158,-0.17744990556625628,122.49987147556936,24.400000000000002,122.5,1.5722448979591839,1,
4,1,1,5,53991,0.6784273110310114,298.9992303274102,60.7249069360133,299.00000000000006,1.5685273371856743,1,0.27233056715741105
4,-1,-1,5,54057,0.4014033617277463,298.9997305606498,60.38145471507199,299.0,1.5694538402320182,1,0.8958283245087012
4,1,1,6,67060,-0.04630405333223615,370.99999711042403,73.66961567299342,371.0,1.5709211355643102,1,0.5524170549204462
4,-1,-1,6,67109,-0.09135327484113295,370.999988752802,75.00690242184953,371.0,1.5710425620395443,1,0.591508372516215
4,-1,-1,7,80213,0.34955025063528616,442.9998620932317,88.79097661536515,443.0,1.5700072742285147,1,0.3757454802147763
