event,particle,charge,layer_id,trajectory_step,x,y,z,r,phi,n_merged,t
0,1,1,1,1205,33.24759401397935,-0.39999035188921345,1.25,33.25,-0.012030075187969926,1,
0,-1,-1,1,1205,33.24759401397935,0.39999035188921345,1.25,33.25,0.012030075187969926,1,
0,1,1,2,1831,50.48574324511671,-1.1998870730833677,2.0,50.5,-0.023762376237623766,1,
0,-1,-1,2,1831,50.48574324511671,1.1998870730833677,2.0,50.5,0.023762376237623766,1,
0,1,1,3,3210,88.49796610948538,-0.599995403630213,3.6,88.5,-0.006779661016949154,1,
0,-1,-1,3,3210,88.49796610948538,0.599995403630213,3.6,88.5,0.006779661016949154,1,
0,0,0,4,4443,122.5,0.0,4.800000000000001,122.5,0.0,2,
0,1,1,5,10841,298.99833347933605,-0.9982868223822736,10.753741468373068,299.0,-0.003338758117344797,1,0.64455077076485
0,-1,-1,5,10841,298.99830063557624,1.0080759086407818,10.970592075626689,299.0,0.0033714977205438097,1,0.64455077076485
0,1,1,6,13450,370.9990863654642,-0.8233565393295751,15.931253612434872,371.00000000000006,-0.0022192916851847136,1,0.9560945470562346
0,-1,-1,6,13450,370.99895924525634,0.8787712652754767,15.742437186518643,371.00000000000006,0.002368657916458988,1,0.9560945470562346
0,1,1,7,16059,442.9992302255027,0.8258447868990652,16.20971906382914,442.99999999999994,0.0018642105310151139,1,0.8915871216827204
0,-1,-1,7,16059,442.9991061119844,-0.8899348193644504,19.02784709187235,442.99999999999994,-0.0020088835619341866,1,0.8915871216827204
0,1,1,8,18634,513.9985175191156,-1.234499150039895,20.19342688810984,514.0,-0.0024017516281914708,1,0.22365571205778476
0,-1,-1,8,18634,513.9984685045939,1.2547409820399,19.56348903828384,514.0,0.0024411327397561734,1,0.22365571205778476
1,1,1,1,1205,30.853930316156855,12.393445204854737,1.25,33.25,0.38195488721804516,1,
1,-1,-1,1,1205,30.566553860731993,13.086186804373918,1.25,33.25,0.40451127819548877,1,
