layer_id,trajectory_step,t,x,y,z,r,phi,particle,charge,event
1,6012,0.5033961946561322,33.242696461052155,0.6968730145086385,6.649072826278404,33.25,0.020960121592302098,1,1,0
2,9132,0.007736047088624909,50.48952197346674,-1.02867433661904,10.098712925680934,50.5,-0.020371197773997207,1,1,0
3,16007,0.1510967830790538,88.4999602484422,-0.08388101184911345,17.70140844678317,88.5,-0.0009478081854018582,1,1,0
4,22158,0.7218763483590895,122.49988578105523,-0.1672830787125926,24.501938016701327,122.5,-0.0013655765771768793,1,1,0
5,54134,0.7247122497959687,298.9990592320927,0.750052213866074,59.80460039731003,299.0,0.0025085384632677786,1,1,0
6,67184,0.013921869434554661,370.99757445856835,-1.341546070408141,74.2054597371755,371.0,-0.0036160350243225657,1,1,0
7,80208,0.7523653226634852,442.99869318003545,1.076030102183079,88.60683512093954,443.0,0.002428964244370827,1,1,0
8,93060,0.9041926189379217,513.9970933432437,1.7285932710814154,102.80765615791127,514.0,0.00336302826745575,1,1,0
1,6012,0.5033961946561322,33.242696461052155,-0.6968730145086385,6.649072826278404,33.25,-0.020960121592302098,-1,-1,0
2,9132,0.007736047088624909,50.48952197346674,1.02867433661904,10.098712925680934,50.5,0.020371197773997207,-1,-1,0
3,16007,0.1510967830790538,88.4999602484422,0.08388101184911345,17.70140844678317,88.5,0.0009478081854018582,-1,-1,0
4,22158,0.7218763483590895,122.49988578105523,0.1672830787125926,24.501938016701327,122.5,0.0013655765771768793,-1,-1,0
5,54134,0.7247122497959687,298.9990592320927,-0.750052213866074,59.80460039731003,299.0,-0.0025085384632677786,-1,-1,0
6,67184,0.013921869434554661,370.99757445856835,1.341546070408141,74.2054597371755,371.0,0.0036160350243225657,-1,-1,0
7,80208,0.7523653226634852,442.99869318003545,-1.076030102183079,88.60683512093954,443.0,-0.002428964244370827,-1,-1,0
8,93060,0.9041926189379217,513.9970933432437,-1.7285932710814154,102.80765615791127,514.0,-0.00336302826745575,-1,-1,0
1,6012,0.5034199291095788,30.44556477397121,13.365256660233783,6.649072852523616,33.25,0.4136592283384691,1,1,1
2,9132,0.008127018020484577,47.039893982251265,18.37112882047701,10.098713359688736,50.5,0.3723278077855256,1,1,1
3,16007,0.15105057436169841,81.79540030962093,33.78997614957523,17.701408396016756,88.5,0.3917513168842338,1,1,1
4,22158,0.7219237816901383,113.23915483857282,46.72412451235156,24.501938068722673,122.5,0.3913334801291664,1,1,1
5,54217,0.1575644373090653,276.25194224944835,114.39346311484519,59.80478218799316,299.0,0.3925945257364897,1,1,1
6,67380,0.9766377510491507,342.0235083623064,143.73906820186127,74.20495951473133,371.0,0.3978496516528171,1,1,1
7,80542,0.881700680411967,409.5817639243189,168.79507889936684,88.60695566449903,443.0,0.3909071243763692,1,1,1
8,93293,0.011249621436052713,475.46281065212435,195.27190193876373,102.80776232462081,514.0,0.3896951338608347,1,1,1
1,6012,0.5033147739197451,30.978927652829984,12.077604956311733,6.649072736244545,33.25,0.3717390404316493,-1,-1,1
2,9132,0.008023694525068239,46.25257817639708,20.271877368321782,10.09871324499171,50.5,0.41307033646026714,-1,-1,1
3,16007,0.15117189524279573,81.73120048010652,33.94496822918877,17.701408529303855,88.5,0.3936469354863821,-1,-1,1
4,22158,0.7224540884068262,113.1111064681942,47.03326050297637,24.501938650323552,122.5,0.39406496183044637,-1,-1,1
5,54136,0.7915774290588874,276.7118620229521,113.27641155947128,59.80428223530922,299.0,0.38855429732648555,-1,-1,1
6,67356,0.5473288854011543,343.04308240900684,141.2885119580758,74.20579730434208,371.0,0.3906954689071102,-1,-1,1
7,80470,0.4676818966903028,408.9148626801845,170.40432822920272,88.60688770636908,443.0,0.39483932691448936,-1,-1,1
8,93213,0.9004710338567362,475.6255795278158,194.8751089770815,102.80746973067637,514.0,0.38886073625329814,-1,-1,1
1,6012,0.5033403995636966,23.013373987870896,23.99889826001159,6.649072764581007,33.25,0.8063582212568333,1,1,2
2,9132,0.007914066557092163,36.428868892598196,34.974097718252736,10.098713123296234,50.5,0.7650268819261771,1,1,2
3,16007,0.15038653412048894,62.63820504359467,62.51963906578949,17.701407666480357,88.5,0.7844508321040692,1,1,2
4,22158,0.7220552368776323,86.73879688507186,86.5022029484235,24.501938212892924,122.5,0.7840324717321716,1,1,2
5,53978,0.21835298776559106,211.2923171254609,211.5574548999719,59.804777098169495,298.99999999999994,0.7860251892522659,1,1,2
6,67267,0.7500823517061145,262.45802095831283,262.21515447175403,74.20593119550986,371.0,0.7849352724386842,1,1,2
7,80380,0.33956354068362077,313.1134176851873,313.3831323882979,88.60709430815564,443.0,0.7858286760417971,1,1,2
8,93324,0.39273461707540364,363.71369281581275,363.19189095887674,102.80819772671359,514.0,0.7846803235858468,1,1,2
1,6012,0.5033403995636966,23.99889826001159,23.013373987870896,6.649072764581007,33.25,0.7644381055380632,-1,-1,2
2,9132,0.007914066557092163,34.974097718252736,36.428868892598196,10.098713123296234,50.5,0.8057694448687195,-1,-1,2
3,16007,0.15038653412048894,62.51963906578949,62.63820504359467,17.701407666480357,88.5,0.7863454946908275,-1,-1,2
4,22158,0.7220552368776323,86.5022029484235,86.73879688507186,24.501938212892924,122.5,0.7867638550627251,-1,-1,2
5,54046,0.27857135387527615,211.30335300737028,211.54643227396363,59.804778724953366,299.00000000000006,0.7859730229534378,-1,-1,2
6,67204,0.37905886965886765,263.09408593201294,261.57695224847043,74.20563756802602,371.0,0.7825065811587478,-1,-1,2
7,80309,0.18329963573407387,312.3301970843257,314.16372799746676,88.60671170516451,443.0,0.7883248089798656,-1,-1,2
8,93252,0.46415072236504556,364.6884657303682,362.2130905464766,102.80764404809273,514.0,0.7819927977135621,-1,-1,2
1,6012,0.5033147739197451,12.077604956311733,30.978927652829984,6.649072736244545,33.25,1.1990572863632474,1,1,3
2,9132,0.008023694525068239,20.271877368321782,46.25257817639708,10.09871324499171,50.5,1.1577259903346295,1,1,3
3,16007,0.15117189524279573,33.94496822918877,81.73120048010652,17.701408529303855,88.5,1.1771493913085145,1,1,3
4,22158,0.7224540884068262,47.03326050297637,113.1111064681942,24.501938650323552,122.5,1.1767313649644502,1,1,3
5,54083,0.07587364016023121,114.62706394181481,276.15509448872945,59.80477189644524,299.0,1.1773560449492004,1,1,3
6,67128,0.5425981629651907,141.8663648805845,342.8045135577548,74.20593939811562,371.0,1.1784157815262937,1,1,3
7,80170,0.3539767432842844,170.47187088047946,408.8867095400743,88.60686249240509,442.99999999999994,1.17579181885504,1,1,3
8,93163,0.7079433324516716,197.8600172953268,474.3916246687888,102.80792013313005,514.0,1.1756517075068122,1,1,3
1,6012,0.5034199291095788,13.365256660233783,30.44556477397121,6.649072852523616,33.25,1.1571370984564275,-1,-1,3
2,9132,0.008127018020484577,18.37112882047701,47.039893982251265,10.098713359688736,50.5,1.1984685190093711,-1,-1,3
3,16007,0.15105057436169841,33.78997614957523,81.79540030962093,17.701408396016756,88.5,1.1790450099106629,-1,-1,3
4,22158,0.7219237816901383,46.72412451235156,113.23915483857282,24.501938068722673,122.5,1.1794628466657302,-1,-1,3
5,54020,0.9374180766491357,114.86236782972632,276.05730647195094,59.80471657763392,299.0,1.1765038226041002,-1,-1,3
6,67062,0.15730264000715274,141.71770331335208,342.8659979752859,74.20592472583867,371.00000000000006,1.1788494054386613,-1,-1,3
7,80224,0.5326041637668194,170.1879683636463,409.00495770131505,88.60698091743565,443.0,1.1764860489512783,-1,-1,3
8,93236,0.6560905627147716,195.86922993232628,475.21705016309915,102.80808199668962,514.0,1.1798445597821918,-1,-1,3
1,6012,0.5033961946561322,-0.6968730145086385,33.242696461052155,6.649072826278404,33.25,1.5917564483871987,1,1,4
2,9132,0.007736047088624909,1.02867433661904,50.48952197346674,10.098712925680934,50.5,1.5504251290208995,1,1,4
3,16007,0.1510967830790538,0.08388101184911345,88.4999602484422,17.70140844678317,88.5,1.5698485186094948,1,1,4
4,22158,0.7218763081636094,0.16728324018188062,122.49988578083473,24.501938016657245,122.5,1.5694307488996018,1,1,4
5,53991,0.27233056715741105,0.7026089502514018,298.9991744815745,59.804624143181385,299.00000000000006,1.5684464619224203,1,1,4
6,67060,0.5524170549204462,-0.058160705670738694,370.99999544114866,74.20594375248432,371.0,1.5709530941962684,1,1,4
7,80267,0.6738423503266354,0.08642990625027026,442.9999915687034,88.60709368350241,443.0,1.570601225425148,1,1,4
8,93102,0.9822311714151222,0.28089944167565817,513.9999232446477,102.80821379521018,514.0,1.5702498297994534,1,1,4
1,6012,0.5033961946561322,0.6968730145086385,33.242696461052155,6.649072826278404,33.25,1.5498362052025945,-1,-1,4
2,9132,0.007736047088624909,-1.02867433661904,50.48952197346674,10.098712925680934,50.5,1.5911675245688939,-1,-1,4
3,16007,0.15109678416013472,-0.08388100558811488,88.49996024844815,17.701408446784356,88.5,1.5717441349095527,-1,-1,4
4,22158,0.7218763885559406,-0.16728291724338795,122.49988578127572,24.501938016745413,122.5,1.5721619020539563,-1,-1,4
5,54057,0.8958283245087012,0.3701420100374687,298.99977089438113,59.80474825196962,299.0,1.569558393334774,-1,-1,4
6,67109,0.591508372516215,-0.08651079995391031,370.9999899135868,74.20593941113093,371.0,1.5710295095462117,-1,-1,4
7,80213,0.3757454802147763,0.3350236649967588,442.99987331730006,88.60707057371617,443.0,1.5700400656280076,-1,-1,4
8,93062,0.16692990625693832,0.5002827201737147,513.9997565341836,102.8081831688211,514.0000000000001,1.5698230139560578,-1,-1,4
1,6012,0.5034199291095788,-13.365256660233783,30.44556477397121,6.649072852523616,33.25,1.9844555551333658,1,1,5
2,9132,0.008127018020484577,-18.37112882047701,47.039893982251265,10.098713359688736,50.5,1.9431241345804222,1,1,5
3,16007,0.15105057436169841,-33.78997614957523,81.79540030962093,17.701408396016756,88.5,1.9625476436791305,1,1,5
4,22158,0.7219237816901383,-46.72412451235156,113.23915483857282,24.501938068722673,122.5,1.962129806924063,1,1,5
5,54063,0.2375590390686266,-113.73995729177724,276.52164854720627,59.80460638957219,298.99999999999994,1.9610263925445597,1,1,5
