layer_id,trajectory_step,t,x,y,z,r,phi,particle,charge,event
1,1419,0.4802926141939871,33.17103389374993,-2.2901987729656375,1.3268623650421258,33.25,-0.0689327371535403,1,1,0
2,2212,0.16518600169294317,50.49674356800693,-0.5734884715066028,2.0199024855949568,50.5,-0.011356451460004312,1,1,0
3,3829,0.7812600259419226,88.49953049637892,-0.2882740371532446,3.5400377360865063,88.5,-0.003257339513344525,1,1,0
4,5320,0.5990483116995085,122.48547766579392,-1.8862027945849313,4.899497742565214,122.50000000000001,-0.01539818232128435,1,1,0
5,13894,0.35050725344010586,298.9956352212941,1.6155861520951067,11.960018064047464,299.0,0.0054033244600042545,1,1,0
6,17388,0.6753211720350042,370.9903508083527,-2.675744213372324,14.839851846504224,370.99999999999994,-0.007212311081050748,1,1,0
7,20563,0.6843124177987011,442.9986092724279,-1.1100372492499748,17.720227565944533,443.0,-0.0025057300470568236,1,1,0
8,24088,0.2853318972628468,513.9794055683682,4.601157635513849,20.559504591671136,514.0,0.008951788108963805,1,1,0
1,1419,0.4802926141939871,33.17103389374993,2.2901987729656375,1.3268623650421258,33.25,0.0689327371535403,-1,-1,0
2,2212,0.16518600169294317,50.49674356800693,0.5734884715066028,2.0199024855949568,50.5,0.011356451460004312,-1,-1,0
3,3829,0.7812600259419226,88.49953049637892,0.2882740371532446,3.5400377360865063,88.5,0.003257339513344525,-1,-1,0
4,5320,0.5990483116995085,122.48547766579392,1.8862027945849313,4.899497742565214,122.50000000000001,0.01539818232128435,-1,-1,0
5,13894,0.35050725344010586,298.9956352212941,-1.6155861520951067,11.960018064047464,299.0,-0.0054033244600042545,-1,-1,0
6,17388,0.6753211720350042,370.9903508083527,2.675744213372324,14.839851846504224,370.99999999999994,0.007212311081050748,-1,-1,0
7,20563,0.6843124177987011,442.9986092724279,1.1100372492499748,17.720227565944533,443.0,0.0025057300470568236,-1,-1,0
8,24088,0.2853318972628468,513.9794055683682,-4.601157635513849,20.559504591671136,514.0,-0.008951788108963805,-1,-1,0
1,1419,0.48029031418856516,31.52246035882436,10.578137497988322,1.3268623628961032,33.25,0.3237663497527338,1,1,1
2,2212,0.1651014171576316,46.87238230766517,18.79440812593142,2.0199024275960316,50.5,0.38134210188964707,1,1,1
3,3835,0.5106392835227757,82.44114708891728,32.182406166467835,3.5393110441565203,88.5,0.3721756661249294,1,1,1
4,5404,0.5844442745352635,113.88682427521466,45.12251385402165,4.8994921018542685,122.5,0.37723043371995146,1,1,1
5,13637,0.023276005134516664,276.1484352680987,114.6431057629752,11.960187804943734,299.0,0.39349837244367925,1,1,1
6,17001,0.17141105093373654,343.3692243109713,140.49404185260633,14.840099447647145,371.0,0.3883806218598575,1,1,1
7,20121,0.7038641637039676,409.308208709829,169.45734059860342,17.720284018380944,443.0,0.39252458600609985,1,1,1
8,23123,0.6185641115864192,475.1073602557363,196.1351478721394,20.560315114573278,514.0,0.3915114031326602,1,1,1
1,1419,0.4802824439073708,29.7696193585892,14.809870466844444,1.3268623555527286,33.25,0.4616317378824696,-1,-1,1
2,2212,0.1652591774679997,46.433451984729615,19.854081111494676,2.019902535770988,50.5,0.4040550959453155,-1,-1,1
3,3829,0.26806753303723213,81.71145034488411,33.992482735680525,3.5400524555253,88.5,0.3942283566137732,-1,-1,1
4,5385,0.5804736771307255,114.01389645522016,44.80046221969516,4.899258715735146,122.5,0.37440419061791463,-1,-1,1
5,13625,0.42485694626977244,275.9379304661784,115.14885379387205,11.960150089205936,299.00000000000006,0.39533050567795436,-1,-1,1
6,17009,0.5482994423732884,342.56252463815605,142.4496988888806,14.840223766733711,371.0,0.39408279774042526,-1,-1,1
7,20108,0.3494558468161273,409.13738596576206,169.86935981837053,17.720276951289723,443.0,0.39353141941724346,-1,-1,1
8,23136,0.40666503955503613,474.93395188759195,196.55467774752776,20.560327506301494,514.0,0.39239458545906253,-1,-1,1
1,1419,0.4802902448500097,25.074877527168827,21.83604856647566,1.3268623628314067,33.25,0.7164654519216159,1,1,2
2,2212,0.16514645558266453,36.112115667356825,35.3010637520662,2.0199024584785117,50.50000000000001,0.7740414775126293,1,1,2
3,3830,0.28480978073644214,62.90292696280583,62.253287298840014,3.5400086986750634,88.5,0.7802075795055046,1,1,2
4,5419,0.14248429401228246,86.85375954496226,86.3867724417684,4.900060653145968,122.5,0.7827025703583332,1,1,2
5,15263,0.2694044600925551,213.7784589724901,209.0449006298584,11.959441848508622,299.0,0.7742035108396219,1,1,2
6,19686,0.15094182993556865,261.41283656751455,263.2571535167201,14.840146019963552,371.0,0.788913343201187,1,1,2
7,23772,0.6586505799513451,313.2096372874592,313.28696607145696,17.720283306529932,443.0,0.7855215938888356,1,1,2
8,27244,0.9547938090425918,363.62657549445436,363.2791125211797,20.56032570283851,514.0,0.7849201606076234,1,1,2
1,1419,0.4802902448500097,21.83604856647566,25.074877527168827,1.3268623628314067,33.25,0.8543308748732806,-1,-1,2
2,2212,0.16514645558266453,35.3010637520662,36.112115667356825,2.0199024584785117,50.50000000000001,0.7967548492822673,-1,-1,2
3,3829,0.5634650774215226,62.43440169896262,62.72316545338392,3.540046949984437,88.5,0.7877053610253072,-1,-1,2
4,5400,0.010677865111488286,87.66524450248443,85.56316325568864,4.899717739350293,122.50000000000001,0.7732640215170228,-1,-1,2
5,15231,0.8965676774462852,213.89995622049162,208.92057995533077,11.95936181316765,299.0,0.7736221362992685,-1,-1,2
6,19709,0.9014458760613956,261.7886871230039,262.88340247039935,14.840205121001462,371.0,0.7874846356542013,-1,-1,2
7,23755,0.31924697286031395,312.97569544887983,313.52067564722114,17.720276845892588,443.0,0.7862680488206081,-1,-1,2
8,27227,0.5958665559594042,363.47183447237035,363.4339355994288,20.560328573869125,514.0,0.7853460261405059,-1,-1,2
1,1419,0.4802824439073708,14.809870466844444,29.7696193585892,1.3268623555527286,33.25,1.109164588912427,1,1,3
2,2212,0.1652591774679997,19.854081111494676,46.433451984729615,2.019902535770988,50.5,1.166741230849581,1,1,3
3,3830,0.3556143668232494,34.31208874537339,81.57775778929954,3.5400039828252217,88.5,1.17265337465817,1,1,3
4,5492,0.5893771427955734,47.6702114345467,112.84414447274442,4.899957802962998,122.5,1.1710935296693348,1,1,3
5,13252,0.048105431705166825,114.35273547609104,276.2688036842653,11.960191066792223,298.99999999999994,1.178349225888986,1,1,3
6,16533,0.011503310839907337,142.0268408183725,342.7380581247911,14.840237249320618,371.0,1.1779476094783843,1,1,3
7,20564,0.966799724424267,169.70198341319497,409.2068386838467,17.720282374759357,443.0,1.1776739684983895,1,1,3
8,23591,0.9796483993843257,196.84055284618228,474.8155397153818,20.56032802501097,514.0,1.1777997402975635,1,1,3
1,1419,0.48029031418856516,10.578137497988322,31.52246035882436,1.3268623628961032,33.25,1.247029977042163,-1,-1,3
2,2212,0.1650927837527855,18.794405880677026,46.87238320794424,2.0199024216761763,50.5,1.1894542728066846,-1,-1,3
3,3829,0.5509659312246928,33.68371384739187,81.83921689170187,3.540047515383032,88.5,1.1803437850606122,-1,-1,3
4,5471,0.07722025069864864,49.23085288150321,112.17206927109702,4.899011117129783,122.5,1.1572223832528683,-1,-1,3
5,13259,0.7240617086640625,114.51224073479395,276.2027275786693,11.960191096553542,299.0,1.1777718015503729,-1,-1,3
6,16510,0.42016561009369074,141.830174100001,342.81948852823905,14.840236180612083,371.0,1.1785213518693383,-1,-1,3
7,20571,0.74543194950314,169.5915268054042,409.2526286241933,17.720283161708267,443.0,1.1779438819431773,-1,-1,3
8,23568,0.3866524250349097,196.8364923363237,474.81722302874863,20.56032857367469,514.0,1.177808292045182,-1,-1,3
1,1419,0.4802926141939871,2.2901987729656375,33.17103389374993,1.3268623650421258,33.25,1.5018635896413564,1,1,4
2,2212,0.16518600581039986,0.5734884652913198,50.49674356807751,2.01990248559778,50.5,1.5594398754579752,1,1,4
3,3829,0.4988396484898464,0.1742825889705379,88.49982839293635,3.540049612354735,88.50000000000001,1.568827030731406,1,1,4
4,5427,0.02559766003389183,-2.3528449825286337,122.47740248914569,4.899174510668122,122.5,1.5900044057274036,1,1,4
5,14256,0.6161809138375173,1.6675840244933087,298.99534973561254,11.960005340811874,299.0,1.56521909378585,1,1,4
6,17808,0.4404501145725453,0.055330867120959394,370.99999587398264,14.840237763971666,371.0,1.5706471869907832,1,1,4
7,21716,0.7801882693849352,0.44315874070823236,442.9997783411754,17.72027409867745,443.0,1.5697959682968807,1,1,4
8,25987,0.14472703217602015,0.5383160278376296,513.9997181087303,20.560316530301346,514.0000000000001,1.5697490191562846,1,1,4
1,1419,0.4802926141939871,-2.2901987729656375,33.17103389374993,1.3268623650421258,33.25,1.639729063948437,-1,-1,4
2,2212,0.16518596007549202,-0.5734885343279699,50.49674356729347,2.01990248556642,50.5,1.5821527794989687,-1,-1,4
3,3830,0.8485919278788626,-0.6331459423620334,88.49773514737917,3.5399659235230367,88.5,1.5779505792636017,-1,-1,4
4,5445,0.3002303873084874,-1.4720942573907725,122.49115453165325,4.899724477883564,122.5,1.5828137120250592,-1,-1,4
5,14274,0.8428984810612137,1.3537969274620119,298.9969351580032,11.96006871500237,299.0,1.5662685624032824,-1,-1,4
6,17791,0.10001990653937064,0.4213919778179466,370.9997606856385,14.840228056364584,371.0,1.5696604991172023,-1,-1,4
7,21738,0.23247270135909523,0.03906266775591282,442.99999827777424,17.720282786549223,443.0,1.570708149215198,-1,-1,4
8,26017,0.42007840517369643,0.8573855810995831,513.9992849119202,20.560300049526617,514.0,1.569128260688468,-1,-1,4
1,1419,0.48029031418856516,-10.578137497988322,31.52246035882436,1.3268623628961032,33.25,1.8945626765476304,1,1,5
2,2212,0.1650927837527855,-18.794405880677026,46.87238320794424,2.0199024216761763,50.5,1.9521383807831088,1,1,5
3,3829,0.4767090042093396,-33.71759667630013,81.82526305716563,3.5400506232648232,88.5,1.9616629208444394,1,1,5
4,5329,0.7447438167365809,-47.546966455888914,112.89612916678134,4.899993073417298,122.5,1.9694072056337877,1,1,5
5,13762,0.6810851685188404,-113.79603054466558,276.49857763156314,11.960161087206533,299.0,1.9612291817014178,1,1,5
6,18982,0.35932423210154407,-143.95077918136835,341.9344574228765,14.839990984529447,371.0,1.9692650544241224,1,1,5
7,23730,0.4884981651213953,-168.3416285052804,409.7683444486533,17.720208883017683,443.0,1.9605965974754935,1,1,5
8,27973,0.2967946466279142,-196.11061519284004,475.1174871636339,20.560313010279465,514.0,1.962256094402848,1,1,5
1,1419,0.4802824439073708,-14.809870466844444,29.7696193585892,1.3268623555527286,33.25,2.032428064677366,-1,-1,5
2,2212,0.1652591774679997,-19.854081111494676,46.433451984729615,2.019902535770988,50.5,1.974851422740212,-1,-1,5
