event,variant,found,delta_s,delta_w,reason,direct_ds,direct_dw
0,truth,True,1.1680077279964342e-06,1.0383976246715076,,1.5078914929239175e-06,1.0054241767735224
0,pixel_only,True,0.07147336810341376,1.0413432602483117,,0.06920379108835129,1.008276276156804
0,sct_only,False,,,no exact8 plane survived,0.7177035862397031,1.019641941678796
0,pixel_plus_sct,False,,,no exact8 plane survived,0.7193174364408232,1.022320458932148
1,truth,True,3.7649808712153926e-06,0.990386114207679,,3.3803953426647677e-06,0.9589372316560887
1,pixel_only,True,0.07140468929377271,0.9897480618666817,,0.06913729313180235,0.9583194401369285
1,sct_only,False,,,no exact8 plane survived,0.43109615674243396,1.0155976914992675
1,pixel_plus_sct,False,,,no exact8 plane survived,0.4357313375250548,1.0166683255270887
2,truth,True,3.7606734605195744e-06,0.7697869610981132,,3.415269225082081e-06,0.7453430201168865
2,pixel_only,True,0.07143819632824831,0.7701439217990895,,0.06916973616978508,0.7456886458444625
2,sct_only,False,,,no exact8 plane survived,0.492623688340905,0.7408455387636812
2,pixel_plus_sct,False,,,no exact8 plane survived,0.49910381266224296,0.7410555254508533
3,truth,True,1.819391242677075e-06,0.6705278599325798,,2.447473297803621e-06,0.6492358086672136
3,pixel_only,True,0.07139350491224229,0.6704990334628728,,0.06912646389265852,0.6492078975641841
3,sct_only,False,,,no exact8 plane survived,0.44098412943592424,0.7566749038149511
3,pixel_plus_sct,False,,,no exact8 plane survived,0.4404815937561213,0.7591018037434998
4,truth,True,1.4997731473792608e-06,0.49905007260171025,,1.9783495529523564e-06,0.48320315502615624
4,pixel_only,True,0.07141091756448968,0.49913626908725134,,0.0691433236177437,0.4832866144032593
4,sct_only,False,,,no exact8 plane survived,0.4706498146266514,0.8458198278081506
4,pixel_plus_sct,False,,,no exact8 plane survived,0.4703303232984069,0.8494415069464484
5,truth,True,1.5862969476623728e-06,0.5206828653605473,,1.3905770467400756e-06,0.504149016547832
5,pixel_only,True,0.07143563451418362,0.5206615929780103,,0.06916725568724924,0.5041284196581578
5,sct_only,False,,,no exact8 plane survived,0.4855112244297156,0.7032904066214791
5,pixel_plus_sct,False,,,no exact8 plane survived,0.48614920650535515,0.7022218052280711
6,truth,True,3.6338839517002328e-06,0.7697869610910865,,3.4078616199521178e-06,0.7453430201121097
6,pixel_only,True,0.0714698316483255,0.769496886095475,,0.06920036693170231,0.7450621562021144
6,sct_only,False,,,no exact8 plane survived,0.6634835076426535,0.8399507414833023
6,pixel_plus_sct,False,,,no exact8 plane survived,0.6657733764285257,0.844212749131399
7,truth,True,3.89021506928414e-06,1.1988389058663447,,3.4238917878159696e-06,1.1607707792959414
7,pixel_only,True,0.07141298381261889,1.1989741241299252,,0.0691453242383592,1.1609017038282181
7,sct_only,False,,,no exact8 plane survived,0.950376841714154,1.1714181689420509
7,pixel_plus_sct,False,,,no exact8 plane survived,0.9499623234349084,1.1724356470876245
8,truth,True,1.566177265708148e-06,0.6007743656369273,,1.7815144974501747e-06,0.5816972782349986
8,pixel_only,True,0.07147848753981544,0.6066440263845885,,0.06920874799433478,0.5873805528153748
8,sct_only,False,,,no exact8 plane survived,0.550432098451453,0.6143206716944327
