event,phi0,n_hits_exact8,found,delta_s,delta_w,reason
0,0.0,16,True,3.4623447642895714e-06,1.172995068756988,
1,0.39269908169872414,16,True,4.149270327375589e-06,0.9757086632090914,
2,0.7853981633974483,16,True,3.578777459331685e-06,0.8157282525326374,
3,1.1780972450961724,16,True,3.394494443615591e-06,1.0591836705904474,
4,1.5707963267948966,16,True,2.2050572680412135e-06,0.8102825265897123,
5,1.9634954084936207,16,True,2.76602736941999e-06,0.7100143833273652,
6,2.356194490192345,16,True,3.5830193541537305e-06,0.8342202484688641,
7,2.748893571891069,16,True,5.831722911105134e-06,1.1665131877076518,
8,3.141592653589793,16,True,3.6978544381846903e-06,1.0270385971232443,
9,3.5342917352885173,16,True,2.3440761544821018e-06,0.7571366968362907,
10,3.9269908169872414,16,True,2.191106899827621e-06,0.9473335524497342,
11,4.319689898685965,16,True,3.22534231321408e-06,0.9401871586830128,
12,4.71238898038469,16,True,2.5632367784960895e-06,0.84001903968677,
13,5.105088062083414,16,True,2.447589578576311e-06,0.832225416165772,
14,5.497787143782138,16,True,2.840608067567228e-06,0.8803069995197582,
15,5.890486225480862,16,False,,,no exact8 plane survived
