event,phi0,n_hits,found,delta_s,delta_w,reason
0,0.0,16,True,6.743495761743046e-07,1.0383976246715076,
1,0.39269908169872414,16,True,3.6446813276459377e-06,0.9903861142083679,
2,0.7853981633974483,16,True,3.7707404454924813e-06,0.7697869610883838,
3,1.1780972450961724,16,True,1.819391242677075e-06,0.6705278599325798,
4,1.5707963267948966,16,True,1.1228736059889283e-06,0.4990500725872677,
5,1.9634954084936207,16,True,1.6109404872780965e-06,0.5206828653603351,
6,2.356194490192345,16,True,3.834205189249276e-06,0.7697869610995705,
7,2.748893571891069,16,True,3.5841199588069402e-06,1.1988389058656073,
8,3.141592653589793,16,True,1.566177265708148e-06,0.6007743656369273,
9,3.5342917352885173,16,True,7.311436369703206e-07,0.5683450078750228,
10,3.9269908169872414,16,True,2.6493822350518507e-06,0.6636501730318785,
11,4.319689898685965,16,True,2.5511063178705906e-06,0.6500557006871127,
12,4.71238898038469,16,True,2.972751021985741e-06,0.7471310087229391,
13,5.105088062083414,16,True,1.7614693285311853e-06,0.5873072917015624,
14,5.497787143782138,16,True,2.391197882011203e-06,0.6110493142317186,
15,5.890486225480862,16,True,0.0,0.7920242813355949,
