event,phi0,n_hits,found,delta_s,delta_w,reason
0,0.0,16,True,2.5350831905951787e-07,0.8918981274489167,
1,0.39269908169872414,16,True,5.009727397036376e-07,0.7264599815887332,
2,0.7853981633974483,16,True,5.311881529790384e-07,0.6064587879111449,
3,1.1780972450961724,16,True,4.887417032672614e-07,0.7285678791616051,
4,1.5707963267948966,16,True,4.4938480042888916e-07,0.6367412046376616,
5,1.9634954084936207,16,True,4.887417032672614e-07,0.7285678791616051,
6,2.356194490192345,16,True,5.221306253885533e-07,0.6064587879309385,
7,2.748893571891069,16,True,5.41533035099277e-07,0.6067456098188023,
8,3.141592653589793,16,True,5.887165941214101e-07,0.6734797834601876,
9,3.5342917352885173,16,True,5.550241857193431e-07,0.5899465764540276,
10,3.9269908169872414,16,True,4.997958052922745e-07,0.5852105388411917,
11,4.319689898685965,16,True,5.739527011565787e-07,0.5832989696916532,
12,4.71238898038469,16,False,,,no exact8 plane survived
13,5.105088062083414,16,False,,,no exact8 plane survived
14,5.497787143782138,16,True,4.6972863674232833e-07,0.6958266977659734,
15,5.890486225480862,16,True,7.030601432604988e-07,0.6133120171364429,
