event,layer8_time_min_ns,layer8_time_max_ns,n_layer8_hits,both_layer8_below_25ns
0,24.845797179597277,24.845797179597277,2,True
1,24.86662427864796,24.883415133084345,2,True
2,24.85770364034254,24.915090086711686,2,True
3,24.881553773797368,24.884609820922154,2,True
4,24.843221915597567,24.898176491528552,2,True
5,24.881553773797368,24.884609820922154,2,True
6,24.85770364034254,24.915090086711686,2,True
7,24.87781680657522,24.8798725178275,2,True
8,24.86951795764725,24.88387903182883,2,True
9,24.844717727728682,24.904332686039012,2,True
10,24.85053161415209,24.90201515415428,2,True
11,24.8505811170045,24.90795505620585,2,True
12,24.862147778276046,24.883265206774965,2,True
13,24.86614381973319,24.906835765618347,2,True
14,24.871026641774186,24.87494870077498,2,True
15,24.869883545489376,24.88016150899254,2,True
