event,found,delta_s,delta_w,n_hits
53.0,False,,,30
442.0,True,0.00012274647256507487,0.1679308374717996,25
622.0,True,0.00026924226293464345,0.33124762676790404,21
675.0,True,0.0010371725380136992,1.4124806895426685,22
774.0,False,,,22
777.0,True,0.0007574346781342702,0.8802603051633339,25
800.0,True,0.07074486788594474,7.5922849190764925,22
810.0,True,0.00013237666767448915,2.500421061624888,24
850.0,False,,,25
1044.0,True,0.0011969253458933404,3.0276745399619474,23
1148.0,True,0.002988398850422689,4.619761860117478,28
1205.0,False,,,18
1270.0,True,0.04957133721663469,4.1519829283077,26
1370.0,False,,,24
1379.0,True,9.365288540835329e-05,1.3568149089675106,24
1684.0,False,,,23
1914.0,True,1.5271050242624629e-06,0.18546898817463597,29
2396.0,True,0.004014966502719905,1.888764619586048,20
2484.0,False,,,25
2691.0,True,0.0077974734904763055,2.152204679862672,24
2844.0,False,,,22
3000.0,True,0.010994888611421628,2.1246840481784632,28
3042.0,True,0.07136929596918501,5.746547455245765,20
3163.0,True,1.4238396724114368e-05,0.22796381040765057,20
3287.0,False,,,25
3315.0,True,0.0237886025355034,3.6464160432103268,22
3344.0,True,0.036950196653185344,4.503612599801815,24
3585.0,False,,,22
3604.0,False,,,26
3616.0,True,0.001833921290329686,1.2049184588772675,23
3648.0,True,0.02824530651152765,3.921571358117032,28
3659.0,False,,,26
3767.0,False,,,24
4053.0,False,,,34
4347.0,True,6.098176105289982e-05,1.1042256809301751,25
4477.0,False,,,27
4512.0,False,,,24
4622.0,True,0.004223058568395495,1.4896897469780224,22
4761.0,False,,,28
4854.0,True,0.005156027913719223,1.4030761823065439,29
4989.0,False,,,23
4991.0,True,2.6084958979341886e-05,0.7234735640972868,25
5200.0,False,,,28
5227.0,True,0.00562571842219227,1.466523200800023,26
5271.0,False,,,19
5401.0,True,0.042751830449232614,6.199656174215678,27
5423.0,True,0.006812121728388331,1.8913633678095827,21
5428.0,True,6.477336387829512e-06,0.14709697477233652,23
5475.0,True,0.058283588014479915,8.769778862807467,25
5675.0,True,5.562023297696672e-05,1.272700579772721,28
5702.0,False,,,31
5736.0,True,0.0005634654927643244,0.6227150984179197,20
5797.0,True,0.0005174424282706659,0.5688666956565459,23
5853.0,True,0.02067946680922054,4.822607192524144,28
6193.0,True,0.007232733877820743,1.844795576617531,21
6317.0,False,,,31
6399.0,True,0.0007905677604442255,0.9607798424518114,22
6407.0,True,0.0031912165569235296,1.9214588873128597,25
6440.0,True,0.005636734694570286,2.5002465280190527,23
6692.0,True,0.002189798056734033,7.293498386642569,29
6885.0,True,0.009431720282669802,2.3121080916933927,22
6922.0,True,0.0013744138878448422,0.8424670942920207,24
7045.0,True,0.008572947750307395,1.9249960995269593,21
7307.0,False,,,27
7327.0,True,0.00044067301807600157,0.4760356240679579,25
7331.0,True,3.1574953660133304e-05,0.16346124693477015,25
7351.0,False,,,22
7446.0,True,0.001835381644357591,5.676810673820347,29
7500.0,False,,,24
7528.0,True,0.0004905506673283956,2.7913396140744453,22
7768.0,False,,,22
7800.0,True,0.000129079628773386,0.34703646711695413,22
7892.0,False,,,26
7918.0,True,2.33255874557072e-05,0.39790100723317035,22
7982.0,True,2.2040042405085236e-06,0.23087638459214024,25
8119.0,False,,,21
8289.0,False,,,21
8378.0,True,0.0006387930713664927,3.578145907941008,24
8401.0,True,0.005119731782536876,1.896772027125261,23
8443.0,True,0.004709279908458799,1.5989689402706992,23
8666.0,True,0.0263041763059944,3.5059529769236004,27
8671.0,True,0.00019881529989686667,0.3630124511212726,27
8810.0,True,0.002566874458908385,1.630298675155519,22
8882.0,True,0.004111503766748726,1.3264972745384818,22
8926.0,True,0.03562496186611766,4.430658693474502,22
8973.0,False,,,22
9026.0,True,0.0013800206727457257,2.1200593772553016,29
9113.0,True,0.005512091037397758,2.364453201531929,23
9140.0,True,0.0013648619951701314,0.7408673307168967,22
9329.0,True,0.0026346022655743644,1.7807596322714572,28
9367.0,True,0.011119184941885229,3.9795433461999536,24
9415.0,True,2.644056610983778e-05,0.39945881946339895,26
9640.0,True,0.003907113197890571,1.1650457413045312,26
9771.0,True,0.0007596280085944907,5.147455917051288,27
